Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Participação,Pressão na linha alta,Impacto do passe,Criação de oportunidades,Drible,Efetividade,Ameaça ofensiva,rating,percentil,rank
BEL1,2022,399305.0,Teddy Teuma,Union St.Gilloise,3184.0,MC,Meio Campo,Segundo Volante,-0.1425703285899944,0.0,0.5237218226870713,-0.0775233184931607,0.2885681075060277,-0.1584201020235771,0.1344575193604172,0.57,77.0,25
BEL1,2022,399358.0,Marlon Fossey,Standard Liege,2151.0,DMR,Meio Campo,Primeiro Volante,0.0124520354881367,0.0,-0.1744901214292598,0.1242234285064487,-0.142228946229832,0.1616423351686164,0.0852233367925296,0.452,54.0,50
BEL1,2022,399710.0,Aboubakary Koïta,St.Truiden,1486.0,DML,Meio Campo,Primeiro Volante,-0.0312504232236467,0.0,-0.2215478863057428,-0.1361582668509718,-0.1240576118956126,0.033782810567094,0.0531679371190544,0.372,40.0,65
BEL1,2022,399713.0,Daan Heymans,Sporting Charleroi,1849.0,AMC,Meio Campo,Meia,0.3694794774383086,0.0,-0.1590230707407732,0.3686921267976776,-0.481080952477814,0.7833295270473877,-0.0099586553833425,0.533,65.0,38
BEL1,2022,399964.0,Robbie D'Haese,Oostende,1272.0,DMR,Meio Campo,Primeiro Volante,-0.0322931615265747,0.0,-0.1513700182385519,0.0106134906736119,-0.2492656167064278,-0.1156582572131556,-0.0270190538653899,0.347,33.0,72
BEL1,2022,399965.0,Théo Ndicka,Oostende,1346.0,DML,Meio Campo,Primeiro Volante,-0.1323084701696481,0.0,-0.1712830069383648,0.0025443152970746,-0.323424434048157,0.362189183303753,0.0431973565706201,0.427,49.0,55
BEL1,2022,399968.0,Nick Bätzner,Oostende,2031.0,AMC,Meio Campo,Meia,0.0160884965289133,0.0,0.0989790807594865,0.2315299174351346,-0.0757833393551285,1.0498670699498438,0.1334338423641167,0.701,93.0,8
BEL1,2022,399998.0,Mathieu Maertens,OH Leuven,2179.0,AMC,Meio Campo,Meia,-0.0235756359250296,0.0,-0.0747195999661101,0.2922347473098142,-0.4227959648520982,0.6539772660122188,0.1328552712270837,0.547,71.0,32
BEL1,2022,399999.0,Nicolas Raskin,Standard Liege,1482.0,MC,Meio Campo,Segundo Volante,-0.0947617867717727,0.0,0.1044886700474605,-0.0101841267893857,0.0857750866083166,-0.2431320944567015,-0.0933758937830441,0.414,47.0,57
BEL1,2022,400142.0,Charles Vanhoutte,Cercle Bruges,2011.0,MC,Meio Campo,Segundo Volante,0.0482258354136439,0.0,0.4549063240642226,-0.1361582668509718,0.2060662110273001,0.0621307644490158,-0.0486133332847538,0.539,67.0,36
