Atleta,Equipe_Janela_Análise,Código_Posição_Wyscout,Minutos,Liga,Versão_Temporada,Posição
D. Suárez,Botafogo,1,1395,BRA1,2024,Lateral
D. Suárez,Botafogo,1,1675,SPA1,2024,Lateral
D. Suga,Consadole Sapporo,1,3015,JAP,2024,Lateral
D. Sugioka,Machida Zelvia,1,1909,JAP,2024,Lateral
D. Svensson,Nordsjælland,8,3034,DEN,2024,Segundo Volante
D. Sylla,Rodez ,1,1315,FRA2,2024,Lateral
D. Szoboszlai,Liverpool,8,2377,ENG1,2024,Segundo Volante
D. Szymański,AEK Athens,7,1963,GRE,2024,Primeiro Volante
D. Tadić,Fenerbahçe,10,3453,TUR,2024,Extremo
D. Tarzia,Independiente,11,905,ARG1,2024,Extremo
D. Taylor,Minnesota United,1,1655,USA,2024,Lateral
D. Tchamba,Casa Pia AC,4,1461,POR1,2024,Zagueiro
D. Teodorović,Voždovac,12,1307,SER,2024,Atacante
D. Terentjev,Rostov,4,910,RUS,2024,Zagueiro
D. Thiam,Dunkerque,1,960,FRA2,2024,Lateral
D. Thórhallsson,Orlando City,1,3103,USA,2024,Lateral
D. Tiefenbach,Austria Lustenau,8,2324,AUT,2024,Segundo Volante
D. Todorović,Akhmat Grozny,1,1844,RUS,2024,Lateral
D. Tonev,Krumovgrad,8,1840,BUL,2024,Segundo Volante
D. Tono,Kawasaki Frontale,10,1968,JAP,2024,Extremo
D. Topalov,Kolos Kovalivka,1,1550,UKR,2024,Lateral
D. Torres,Amazonas,12,2103,BRA2,2024,Atacante
D. Torres,Santa Fe,8,4652,COL,2024,Segundo Volante
D. Torres,Sportivo Trinidense,9,1183,PAR,2024,Meia
D. Tsakmakis,Atromitos,4,1503,GRE,2024,Zagueiro
D. Turnbull,Cardiff City,9,933,ENG2,2024,Meia
D. Türüç,İstanbul Başakşehir,10,3098,TUR,2024,Extremo
D. Udogie,Tottenham Hotspur,1,2701,ENG1,2024,Lateral
D. Ulrich,Luzern,1,1271,SWZ,2024,Lateral
D. Undav,Stuttgart,12,2315,GER1,2024,Atacante
D. Upamecano,Bayern München,4,2030,GER1,2024,Zagueiro
D. Urtiaga,Atlético de San Luis,0,1013,MEX,2024,Goleiro
D. Ustymenko,Minaj,12,1352,UKR,2024,Atacante
D. Utkin,Rostov,8,1448,RUS,2024,Segundo Volante
D. Valdés,América,9,2976,MEX,2024,Meia
D. Váldez,Sol de América,8,1305,PAR,2024,Segundo Volante
D. Valencia,Atromitos,10,2337,GRE,2024,Extremo
D. van Bruggen,Almere City,4,2674,HOL,2024,Zagueiro
D. van den Berg,PEC Zwolle,8,2759,HOL,2024,Segundo Volante
D. Van den Buijs,RKC Waalwijk,4,2948,HOL,2024,Zagueiro
D. van der Kust,Sparta Rotterdam,1,2824,HOL,2024,Lateral
D. Vanzeir,New York RB,12,2661,USA,2024,Atacante
D. Varakuta,Chornomorets,0,2275,UKR,2024,Goleiro
D. Varešanović,Rizespor,9,2261,TUR,2024,Meia
D. Vásquez,Ascoli,0,918,ENG2,2024,Goleiro
D. Vavro,København,4,2524,DEN,2024,Zagueiro
D. Vente,Hibernian,12,2105,SCT,2024,Atacante
D. Verde,Spezia,11,2130,ITA2,2024,Extremo
D. Vergara,América de Cali,10,1839,COL,2024,Extremo
D. Vergara,Santos Laguna,10,1585,MEX,2024,Extremo
D. Veroli,Catanzaro,1,2461,ITA2,2024,Lateral
D. Victoria,Patriotas Boyacá,8,1652,COL,2024,Segundo Volante
D. Vida,AEK Athens,4,2791,GRE,2024,Zagueiro
D. Viera,Libertad,4,3899,PAR,2024,Zagueiro
D. Villalba,Sportivo Trinidense,4,1785,PAR,2024,Zagueiro
D. Villalpando,Juárez,9,3322,MEX,2024,Meia
D. Vlahović,Juventus,12,2463,ITA1,2024,Atacante
D. von Ballmoos,Young Boys,0,2125,SWZ,2024,Goleiro
D. Vorobjev,Orenburg,12,1182,RUS,2024,Atacante
D. Ward,Huddersfield Town,12,1272,ENG2,2024,Atacante
D. Warmerdam,Sparta Rotterdam,1,984,HOL,2024,Lateral
D. Wass,Brøndby,8,2753,DEN,2024,Segundo Volante
D. Watmore,Millwall,10,1850,ENG2,2024,Extremo
D. Watson,Kilmarnock,8,2583,SCT,2024,Segundo Volante
D. Welbeck,Brighton,12,1853,ENG1,2024,Atacante
D. Wiebe,Eintracht Braunschweig,1,905,GER2,2024,Lateral
D. Williams,Atlanta United,4,2999,USA,2024,Zagueiro
D. Yapi,Colorado Rapids,12,982,USA,2024,Atacante
D. Yearwood,Nashville SC,8,1639,USA,2024,Segundo Volante
D. Yedlin,Cincinnati,1,2964,USA,2024,Lateral
D. Yongwa,Lorient,1,1372,FRA1,2024,Lateral
D. Yusov,Metalist 1925 Kharkiv,10,1886,UKR,2024,Extremo
D. Yusuf,Radnički Niš,10,1395,SER,2024,Extremo
D. Zabala,Nacional,10,1575,URU,2024,Extremo
D. Zagadou,Stuttgart,4,1606,GER1,2024,Zagueiro
D. Zakaria,Monaco,8,2340,FRA1,2024,Segundo Volante
D. Zalazar,Gimnasia La Plata,11,1204,ARG1,2024,Extremo
D. Zapata,Torino,12,3228,ITA1,2024,Atacante
D. Zappacosta,Atalanta,1,2206,ITA1,2024,Lateral
D. Zdravkovski,Motherwell,8,1737,SCT,2024,Segundo Volante
D. Zeefuik,Hertha BSC,1,1447,GER2,2024,Lateral
D. Zukić,Vojvodina,7,3101,SER,2024,Primeiro Volante
D. Župarić,Portland Timbers,4,2557,USA,2024,Zagueiro
Da Wen,Cangzhou Mighty Lions,1,1351,CHN,2024,Lateral
Dai Wai-Tsun, Shenzhen Peng City,10,1134,CHN,2024,Extremo
Dalberson,América Mineiro,0,1520,BRA2,2024,Goleiro
Dalbert,Sport Recife,1,1585,BRA2,2024,Lateral
Dame Traoré,Al Gharafa,4,1552,QAT,2024,Zagueiro
Dango Ouattara,Bournemouth,1,1553,ENG1,2024,Lateral
Dani Calvo,Real Oviedo,4,3866,SPA2,2024,Zagueiro
Dani Carvajal,Real Madrid,1,2491,SPA1,2024,Lateral
Dani Escriche,Albacete,12,2453,SPA2,2024,Atacante
Dani Fernández,Racing Santander,1,1699,SPA2,2024,Lateral
Dani Gómez,Levante,12,2222,SPA2,2024,Atacante
Dani Martín,FC Andorra,0,1583,SPA2,2024,Goleiro
Dani Ojeda,Burgos,10,2205,SPA2,2024,Extremo
Dani Olmo,RB Leipzig,10,1653,GER1,2024,Extremo
Dani Parejo,Villarreal,8,3042,SPA1,2024,Segundo Volante
Dani Raba,Leganés,10,2290,SPA2,2024,Extremo
Dani Rodríguez,Mallorca,10,3001,SPA1,2024,Extremo
Dani Tasende,Villarreal B,1,2992,SPA2,2024,Lateral
Dani Vivian,Athletic Bilbao,4,3373,SPA1,2024,Zagueiro
Daniel,SJ Earthquakes,0,1167,USA,2024,Goleiro
Daniel Borges,América Mineiro,1,1138,BRA2,2024,Lateral
Daniel Bragança,Sporting CP,8,1172,POR1,2024,Segundo Volante
Daniel Elfadli,Magdeburg,4,2434,GER2,2024,Zagueiro
Daniel Figueira,Estoril,0,1314,POR1,2024,Goleiro
Daniel Heuer Fernandes,Hamburger SV,0,2123,GER2,2024,Goleiro
Daniel Lasure,Amorebieta,1,2319,SPA2,2024,Lateral
Daniel Lima,Operário PR,12,1543,BRA2,2024,Atacante
Daniel Podence,Olympiacos Piraeus,10,2060,GRE,2024,Extremo
Danielzinho,Mirassol,8,3642,BRA2,2024,Segundo Volante
Danilo,Nottingham Forest,7,1998,ENG1,2024,Primeiro Volante
Danilo,Juventus,4,2871,ITA1,2024,Zagueiro
Danilo Barbosa,Botafogo,7,1301,BRA1,2024,Primeiro Volante
Danilo Boza,Juventude,4,3196,BRA1,2024,Zagueiro
Danilo Pereira,PSG,4,2368,FRA1,2024,Zagueiro
Dante,Nice,4,3305,FRA1,2024,Zagueiro
Dany Mota,Monza,12,2350,ITA1,2024,Atacante
Dário Essugo,Chaves,7,1377,POR1,2024,Primeiro Volante
Darío Poveda,Cartagena,12,1151,SPA2,2024,Atacante
Darlan,Wuhan Three Towns,7,1067,BUL,2024,Primeiro Volante
Darlan,Wuhan Three Towns,8,2824,CHN,2024,Segundo Volante
Darwish Mohammad,Al Bataeh,0,1013,UAE,2024,Goleiro
David,Vasco da Gama,10,1783,BRA1,2024,Extremo
David Braz,Goiás,4,1744,BRA2,2024,Zagueiro
David Carmo,Olympiacos Piraeus,4,1085,GRE,2024,Zagueiro
David Carmona,Asteras Tripolis,1,1123,GRE,2024,Lateral
David Castro,Racing Ferrol,4,2867,SPA2,2024,Zagueiro
David Costas,Real Oviedo,4,1858,SPA2,2024,Zagueiro
David García,Osasuna,4,2683,SPA1,2024,Zagueiro
David López,Girona,4,2356,SPA1,2024,Zagueiro
David Luiz,Flamengo,4,1930,BRA1,2024,Zagueiro
David Morillas,Alcorcón,1,1306,SPA2,2024,Lateral
David Neres,Benfica,10,1307,POR1,2024,Extremo
David Pereira da Costa,Lens,9,1647,FRA1,2024,Meia
David Raya,Arsenal,0,3338,ENG1,2024,Goleiro
David Ricardo,Ceará,4,3218,BRA2,2024,Zagueiro
David Simão,Arouca,8,2858,POR1,2024,Segundo Volante
David Simón,Lamia,1,2972,GRE,2024,Lateral
David Soria,Getafe,0,4055,SPA1,2024,Goleiro
David Sousa,RWD Molenbeek,4,1364,BEL1,2024,Zagueiro
David Timor,Eldense,8,3213,SPA2,2024,Segundo Volante
Davidson,İstanbul Başakşehir,10,1075,TUR,2024,Extremo
Dawhan,Gamba Osaka,7,2913,JAP,2024,Primeiro Volante
Dellatorre,Mirassol,12,2828,BRA2,2024,Atacante
Dener,Portimonense,8,1918,POR1,2024,Segundo Volante
Deng Hanwen,Wuhan Three Towns,1,2342,CHN,2024,Lateral
Denilson,Cuiabá,8,2239,BRA1,2024,Segundo Volante
Dênis Júnior,Vila Nova,0,3662,BRA2,2024,Goleiro
Denny Wang Yi,Wuhan Three Towns,1,1135,CHN,2024,Lateral
Dentinho,Brusque,10,1800,BRA2,2024,Extremo
Depú,Gil Vicente,12,900,POR1,2024,Atacante
Derek,Atlético GO,12,1128,BRA1,2024,Atacante
Derick Poloni,Eldense,1,1354,SPA2,2024,Lateral
Derik Lacerda,Cuiabá,12,1580,BRA1,2024,Atacante
Deroy Duarte,Fortuna Sittard,8,2625,HOL,2024,Segundo Volante
Deyverson,Atlético Mineiro,12,1331,BRA1,2024,Atacante
Dhari Al Anazi,Dhamk,1,2522,SAUD,2024,Lateral
Diego,Kashiwa Reysol,1,3365,JAP,2024,Lateral
Diego Carlos,Aston Villa,4,2108,ENG1,2024,Zagueiro
Diego Collado,Villarreal B,12,1480,SPA2,2024,Atacante
Diego Conde,Leganés,0,3780,SPA2,2024,Goleiro
Diego Costa,São Paulo,4,1007,BRA1,2024,Zagueiro
Diego García,Leganés,12,3014,SPA2,2024,Atacante
Diego González,FC Andorra,4,1861,SPA2,2024,Zagueiro
Diego Llorente,Roma,4,2609,ITA1,2024,Zagueiro
Diego Lopes,Qingdao Hainiu,9,1637,CHN,2024,Meia
Diego López,Valencia,10,3038,SPA1,2024,Extremo
Diego Martínez,General Caballero JLM,12,1474,PAR,2024,Atacante
Diego Mathias,Brusque,10,2067,BRA2,2024,Extremo
Diego Moreno,Cartagena,1,1167,SPA2,2024,Lateral
Diego Oliveira,Tokyo,12,2283,JAP,2024,Atacante
Diego Pampín,FC Andorra,1,3073,SPA2,2024,Lateral
Diego Pituca,Santos,8,3416,BRA2,2024,Segundo Volante
Diego Raposo,Krumovgrad,12,1566,BUL,2024,Atacante
Diego Rico,Getafe,1,2912,SPA1,2024,Lateral
Diego Sánchez,Sporting Gijón,4,1216,SPA2,2024,Zagueiro
Diego Tavares,Brusque,10,1101,BRA2,2024,Extremo
Dieguinho,Goiás,1,2886,BRA2,2024,Lateral
Diney Borges,Al Bataeh,4,1672,UAE,2024,Zagueiro
Dinis Almeida,Ludogorets,4,976,BUL,2024,Zagueiro
Dinis Pinto,Moreirense,1,1014,POR1,2024,Lateral
Diogo Barbosa,Fluminense,1,2102,BRA1,2024,Lateral
Diogo Barbosa,Botev Vratsa,7,2126,BUL,2024,Primeiro Volante
Diogo Costa,Porto,0,3403,POR1,2024,Goleiro
Diogo Dalot,Manchester United,1,3687,ENG1,2024,Lateral
Diogo Jota,Liverpool,12,1372,ENG1,2024,Atacante
Diogo Leite,Union Berlin,4,3100,GER1,2024,Zagueiro
Diogo Nascimento,Vizela,8,2404,POR1,2024,Segundo Volante
Diogo Silva,Amazonas,4,1364,BRA2,2024,Zagueiro
Diogo Silva,Paysandu,0,1956,BRA2,2024,Goleiro
Diogo Silva,Tianjin Tigers,4,992,CHN,2024,Zagueiro
Diogo Teixeira,Lokomotiv Sofia 1929,8,1463,BUL,2024,Segundo Volante
Dionísio,Brusque,8,1250,BRA2,2024,Segundo Volante
Djaniny,Al Fateh,12,1161,SAUD,2024,Atacante
Dodi,Grêmio,7,2544,BRA1,2024,Primeiro Volante
Dodô,Ponte Preta,10,2029,BRA2,2024,Extremo
Dodô,Ajman,9,949,UAE,2024,Meia
Domingos Duarte,Getafe,4,1074,SPA1,2024,Zagueiro
Dong Yu,Zhejiang Professional,1,1060,CHN,2024,Lateral
Dória,Santos Laguna,4,2339,MEX,2024,Zagueiro
Douglas Augusto,Nantes,7,1908,FRA1,2024,Primeiro Volante
Douglas Bacelar,Guarani,4,2438,BRA2,2024,Zagueiro
Douglas Baggio,Botafogo SP,10,2934,BRA2,2024,Extremo
Douglas Bittencourt,Miramar Misiones,12,1606,URU,2024,Atacante
Douglas Grolli,Avispa Fukuoka,4,2196,JAP,2024,Zagueiro
Douglas Luiz,Aston Villa,8,3500,ENG1,2024,Segundo Volante
Douglas Mendes,Red Bull Bragantino,4,1525,BRA1,2024,Zagueiro
Douglas Santos,Zenit,1,1715,RUS,2024,Lateral
Duan Liuyu,Qingdao West Coast,12,1200,CHN,2024,Atacante
Dudu,Fénix,8,1231,URU,2024,Segundo Volante
Dudu Vieira,Ponte Preta,7,1084,BRA2,2024,Primeiro Volante
Duk,Aberdeen,12,1942,SCT,2024,Atacante
Dylan Tavares,Bastia,1,2303,FRA2,2024,Lateral
E. Achouri,København,11,2547,DEN,2024,Extremo
E. Addai,Alcorcón,10,2279,SPA2,2024,Extremo
E. Addo,Radnički Niš,7,1306,SER,2024,Primeiro Volante
E. Adebayo,Luton Town,12,1614,ENG1,2024,Atacante
E. Agbadou,Reims,4,2905,FRA1,2024,Zagueiro
E. Aguilera,Defensa y Justicia,4,1922,ARG1,2024,Zagueiro
E. Aguirre,Monterrey,1,1687,MEX,2024,Lateral
E. Aguirre,Atlas,12,1763,MEX,2024,Atacante
E. Aiwu,Birmingham City,4,2154,ENG2,2024,Zagueiro
E. Akbaba,Adana Demirspor,7,3130,TUR,2024,Primeiro Volante
E. Akichi,Stade Lausanne-Ouchy,8,2611,SWZ,2024,Segundo Volante
E. Alfonso,2 de Mayo,10,3048,PAR,2024,Extremo
E. Ali,Lokomotiv Plovdiv,4,1278,BUL,2024,Zagueiro
E. Almeida,Rampla Juniors,10,1838,URU,2024,Extremo
E. Almendra,Racing Club,8,1303,ARG1,2024,Segundo Volante
E. Álvarez,West Ham United,7,2642,ENG1,2024,Primeiro Volante
E. Álvarez,Club Tijuana,10,1063,MEX,2024,Extremo
E. Álvarez,Miramar Misiones,4,1472,URU,2024,Zagueiro
E. Álvarez,Cerro,1,2448,URU,2024,Lateral
E. Ampadu,Leeds United,4,4875,ENG2,2024,Zagueiro
E. Ancheta,Danubio,1,3017,URU,2024,Lateral
E. Anderson,Newcastle United,8,1247,ENG1,2024,Segundo Volante
E. Andrada,Monterrey,0,3852,MEX,2024,Goleiro
E. Annan,Novi Pazar,1,2535,SER,2024,Lateral
E. Armenta,Club Tijuana,10,1002,MEX,2024,Extremo
E. Atuesta,Los Angeles FC,8,2559,USA,2024,Segundo Volante
E. Ávila,Real Betis,10,1379,SPA1,2024,Extremo
E. Ayón,Querétaro,12,1257,MEX,2024,Atacante
E. Azemović,Novi Pazar,4,2925,SER,2024,Zagueiro
E. Báez,San Lorenzo,1,1465,ARG1,2024,Lateral
E. Bailly,Villarreal,4,943,SPA1,2024,Zagueiro
E. Bajraktarević,New England,10,2171,USA,2024,Extremo
É. Balanta,América de Cali,4,1488,COL,2024,Zagueiro
É. Banega,Newell's Old Boys,9,1642,ARG1,2024,Meia
É. Banega,Newell's Old Boys,8,1598,SAUD,2024,Segundo Volante
E. Banguero,Boyacá Chicó,1,2500,COL,2024,Lateral
E. Banzuzi,OH Leuven,8,2727,BEL1,2024,Segundo Volante
E. Bardeli,Dunkerque,9,3222,FRA2,2024,Meia
E. Bardhi,Trabzonspor,9,2814,TUR,2024,Meia
E. Barrenechea,Frosinone,7,3075,ITA1,2024,Primeiro Volante
E. Bartlow,Houston Dynamo,4,970,USA,2024,Zagueiro
E. Basilio,Guingamp,0,3930,FRA2,2024,Goleiro
E. Başsan,Sivasspor,10,1619,TUR,2024,Extremo
E. Batalla,Alianza,10,2186,COL,2024,Extremo
E. Bayram,Westerlo,4,2175,BEL1,2024,Zagueiro
E. Bekiroğlu,Ankaragücü,9,2280,TUR,2024,Meia
E. Bello,Mazatlán,10,1236,MEX,2024,Extremo
E. Beltrán,Once Caldas,9,1340,COL,2024,Meia
E. Beltrán,Boston River,1,2845,URU,2024,Lateral
E. Bergström,Panserraikos,4,2922,GRE,2024,Zagueiro
E. Berisha,Empoli,0,1380,ITA1,2024,Goleiro
E. Bičakčić,Eintracht Braunschweig,4,2079,GER2,2024,Zagueiro
E. Bicfalvi,Ural,12,974,RUS,2024,Atacante
E. Bilgin,Fatih Karagümrük,0,977,TUR,2024,Goleiro
E. Boateng,Rio Ave,12,2131,POR1,2024,Atacante
E. Bocat,Sint-Truiden,1,3406,BEL1,2024,Lateral
E. Bologna,Defensa y Justicia,0,1570,ARG1,2024,Goleiro
E. Bove,Roma,8,2118,ITA1,2024,Segundo Volante
E. Boyomo,Real Valladolid,4,3438,SPA2,2024,Zagueiro
E. Brítez,Fortaleza,4,2799,BRA1,2024,Zagueiro
E. Brophy,Ross County,12,1270,SCT,2024,Atacante
E. Burgos,Independiente Rivadavia,4,932,ARG1,2024,Zagueiro
E. Cabrera,Central Córdoba SdE,12,997,ARG1,2024,Atacante
E. Camara,Charleroi,7,980,BEL1,2024,Primeiro Volante
E. Camavinga,Real Madrid,8,2087,SPA1,2024,Segundo Volante
E. Can,Borussia Dortmund,7,2272,GER1,2024,Primeiro Volante
E. Cannavo,Defensa y Justicia,1,1278,ARG1,2024,Lateral
E. Canpolat,Pendikspor,0,3650,TUR,2024,Goleiro
E. Capoue,Villarreal,8,1795,SPA1,2024,Segundo Volante
E. Caprile,Empoli,0,2278,ITA1,2024,Goleiro
E. Cardona,Atlético Nacional,9,2697,COL,2024,Meia
E. Castillo,Liverpool,1,2884,URU,2024,Lateral
E. Cavani,Boca Juniors,12,1407,ARG1,2024,Atacante
E. Çekiçi,Pendikspor,9,975,TUR,2024,Meia
E. Centurión,Independiente Rivadavia,0,2180,ARG1,2024,Goleiro
E. Cerrillo,Los Angeles Galaxy,7,2782,USA,2024,Primeiro Volante
E. Cerutti,San Lorenzo,10,1085,ARG1,2024,Extremo
E. Cetré,Estudiantes,10,1171,ARG1,2024,Extremo
E. Chaux,Medellín,0,2980,COL,2024,Goleiro
E. Chernov,Rostov,1,1204,RUS,2024,Lateral
E. Choupo-Moting,Bayern München,9,903,GER1,2024,Meia
E. Cobbaut,Mechelen,4,2897,BEL1,2024,Zagueiro
E. Colley,Young Boys,10,1214,SWZ,2024,Extremo
E. Cömert,Nantes,4,2174,FRA1,2024,Zagueiro
E. Copetti,Rosario Central,12,1546,ARG1,2024,Atacante
E. Cornelisse,Vitesse,1,1734,HOL,2024,Lateral
E. Coronel,Rosario Central,1,1538,ARG1,2024,Lateral
E. Crivelli,Servette,12,1613,SWZ,2024,Atacante
E. Darboe,Sampdoria,8,1007,ITA2,2024,Segundo Volante
E. Darias,Peñarol,10,1832,URU,2024,Extremo
E. Dasa,Dinamo Moskva,1,1196,RUS,2024,Lateral
E. de los Santos,Racing,8,2150,URU,2024,Segundo Volante
E. Del Prato,Parma,1,3419,ITA2,2024,Lateral
E. Demirović,Augsburg,12,3232,GER1,2024,Atacante
E. Dennis,Watford,12,932,ENG2,2024,Atacante
E. Destan,Trabzonspor,12,1592,TUR,2024,Atacante
E. Destanoğlu,Beşiktaş,0,995,TUR,2024,Goleiro
E. Díaz,River Plate,1,917,ARG1,2024,Lateral
E. Dier,Bayern München,4,1205,GER1,2024,Zagueiro
E. Dinkçi,Heidenheim,10,2741,GER1,2024,Extremo
E. Dixon-Bonner,Queens Park Rangers,8,1048,ENG2,2024,Segundo Volante
E. Dost,Slavia Sofia,8,2040,BUL,2024,Segundo Volante
E. Duca,Modena,8,1222,ITA2,2024,Segundo Volante
E. Echeverría,Santos Laguna,1,927,MEX,2024,Lateral
E. Elizalde,Liverpool,4,1069,URU,2024,Zagueiro
E. Elmalı,Trabzonspor,1,3679,TUR,2024,Lateral
E. Emegha,Strasbourg,12,2262,FRA1,2024,Atacante
E. Eneli,Real Salt Lake,7,3203,USA,2024,Primeiro Volante
E. Engelhardt,Osnabrück,12,2894,GER2,2024,Atacante
E. Ersoy,Gaziantep,4,1619,TUR,2024,Zagueiro
E. Espinoza,Beroe,1,1671,BUL,2024,Lateral
E. Eze,Crystal Palace,9,2361,ENG1,2024,Meia
E. Ferguson,Brighton,12,1657,ENG1,2024,Atacante
E. Fernandes,Mainz 05,4,1472,GER1,2024,Zagueiro
E. Fernández,Chelsea,7,2592,ENG1,2024,Primeiro Volante
É. Fernández,General Caballero JLM,4,2291,PAR,2024,Zagueiro
E. Finlay,Austin FC,10,948,USA,2024,Extremo
E. Forsberg,New York RB,10,1970,USA,2024,Extremo
E. Garcia,Paysandu,10,1763,BRA2,2024,Extremo
E. García,Wanderers,4,2791,URU,2024,Zagueiro
E. Giménez,Cerro Porteño,1,1731,PAR,2024,Lateral
E. Gliozzi,Modena,12,1375,ITA2,2024,Atacante
E. Goldaniga,Como,4,1103,ITA1,2024,Zagueiro
E. Golenkov,Rostov,12,1123,RUS,2024,Atacante
E. Gómez,Vélez Sarsfield,1,2156,ARG1,2024,Lateral
E. Gómez,Boston River,12,1881,URU,2024,Atacante
E. Guerra,León,10,954,MEX,2024,Extremo
E. Guerrero,Zorya,12,2099,UKR,2024,Atacante
E. Guessand,Nice,12,1751,FRA1,2024,Atacante
E. Gularte,Querétaro,4,3361,MEX,2024,Zagueiro
E. Gültekin,İstanbulspor,12,1966,TUR,2024,Atacante
E. Gunichev,Minaj,12,1080,UKR,2024,Atacante
É. Gutiérrez,Guadalajara,7,2655,MEX,2024,Primeiro Volante
E. Gyasi,Empoli,1,2259,ITA1,2024,Lateral
E. Haaland,Manchester City,12,2833,ENG1,2024,Atacante
E. Hajisafi,AEK Athens,1,1727,GRE,2024,Lateral
E. Hansson,Heracles,10,2030,HOL,2024,Extremo
E. Hernández,León,1,1694,MEX,2024,Lateral
E. Herrera,Junior,1,2765,COL,2024,Lateral
E. Holm,Atalanta,1,966,ITA1,2024,Lateral
E. Horvath,Cardiff City,0,1736,ENG2,2024,Goleiro
E. Hysaj,Lazio,1,1498,ITA1,2024,Lateral
E. Ilkhan,İstanbul Başakşehir,8,1243,TUR,2024,Segundo Volante
E. Insúa,Banfield,1,1168,ARG1,2024,Lateral
E. Irala,San Lorenzo,8,1658,ARG1,2024,Segundo Volante
E. Iyoha,Fortuna Düsseldorf,1,2134,GER2,2024,Lateral
E. Jelert,København,1,2614,DEN,2024,Lateral
E. Jordanov,Westerlo,1,917,BEL1,2024,Lateral
E. Kabashi,Reggiana,8,2229,ITA2,2024,Segundo Volante
E. Kahl,AGF,1,2073,DEN,2024,Lateral
E. Kangwa,Qingdao Hainiu,10,2562,CHN,2024,Extremo
E. Kara,Samsunspor,12,1084,TUR,2024,Atacante
E. Karaca,Alanyaspor,9,3063,TUR,2024,Meia
E. Kardeşler,Hatayspor,0,3437,TUR,2024,Goleiro
E. Karic,Darmstadt 98,1,1927,GER1,2024,Lateral
E. Karzev, Shenzhen Peng City,7,1073,CHN,2024,Primeiro Volante
E. Kastrati,Cittadella,0,3468,ITA2,2024,Goleiro
E. Kawashima,Júbilo Iwata,0,3227,JAP,2024,Goleiro
E. Kayembe,Watford,8,2692,ENG2,2024,Segundo Volante
E. Kharin,Akhmat Grozny,10,1126,RUS,2024,Extremo
E. Kılınç,Samsunspor,10,2904,TUR,2024,Extremo
E. King,Ross County,8,1280,SCT,2024,Segundo Volante
E. Konsa,Aston Villa,1,3597,ENG1,2024,Lateral
E. Kouassi,Arouca,8,1540,POR1,2024,Segundo Volante
E. Krafth,Newcastle United,1,1065,ENG1,2024,Lateral
E. Kroupi,Lorient,12,1247,FRA1,2024,Atacante
E. Laird,Birmingham City,1,2183,ENG2,2024,Lateral
E. Larsson,Lillestrøm,1,2020,GRE,2024,Lateral
E. Laszo,Beroe,8,1593,BUL,2024,Segundo Volante
E. Latte Lath,Middlesbrough,12,2293,ENG2,2024,Atacante
E. Latyshonok,Baltika,0,1342,RUS,2024,Goleiro
E. Le Fée,Rennes,8,1841,FRA1,2024,Segundo Volante
E. Leopold,Hannover 96,8,2801,GER2,2024,Segundo Volante
E. Linthorst,Go Ahead Eagles,7,2628,HOL,2024,Primeiro Volante
E. Lira,Cruz Azul,8,2776,MEX,2024,Segundo Volante
E. Llansana,Go Ahead Eagles,7,1355,HOL,2024,Primeiro Volante
E. Loiodice,Las Palmas,8,1990,SPA1,2024,Segundo Volante
E. López,Sarmiento,1,2099,ARG1,2024,Lateral
E. López,Envigado,8,976,COL,2024,Segundo Volante
E. López,Santa Fe,12,2402,COL,2024,Atacante
E. López,Toluca,12,2069,MEX,2024,Atacante
E. López,Olimpia,10,1387,PAR,2024,Extremo
E. Löwen,St. Louis City ,7,2080,USA,2024,Primeiro Volante
E. Mahmoud,Stade Lausanne-Ouchy,1,2420,SWZ,2024,Lateral
E. Mahmutovic,CSKA Sofia,4,1845,BUL,2024,Zagueiro
E. Mammana,Vélez Sarsfield,4,1754,ARG1,2024,Zagueiro
E. Mancuso,Fortaleza,1,1010,BRA1,2024,Lateral
E. Mangala,Estoril,4,1149,POR1,2024,Zagueiro
E. Marcondes,Hibernian,9,1267,SCT,2024,Meia
E. Markov,Fakel,12,1371,RUS,2024,Atacante
E. Márquez,Fénix,0,1695,URU,2024,Goleiro
E. Martel,Köln,7,2706,GER1,2024,Primeiro Volante
E. Martínez,Fortaleza,8,1125,BRA1,2024,Segundo Volante
E. Martínez,Midtjylland,8,1091,DEN,2024,Segundo Volante
E. Martínez,Aston Villa,0,3568,ENG1,2024,Goleiro
E. Martínez,Necaxa,1,1814,MEX,2024,Lateral
E. Martínez,Liverpool,4,1559,URU,2024,Zagueiro
E. Martinov,Slavia Sofia,7,2138,BUL,2024,Primeiro Volante
E. Mašović,Bochum,4,2575,GER1,2024,Zagueiro
E. Matino,Bari,4,1193,ITA2,2024,Zagueiro
E. Matsuda,Albirex Niigata,10,1308,JAP,2024,Extremo
E. Mena,Atlético Bucaramanga,1,1973,COL,2024,Lateral
E. Méndez,Sarmiento,7,1490,ARG1,2024,Primeiro Volante
E. Mendy,Al Ahli,0,3395,SAUD,2024,Goleiro
E. Meza,Estudiantes,1,1655,ARG1,2024,Lateral
E. Michut,Adana Demirspor,8,1870,TUR,2024,Segundo Volante
E. Mihaj,Famalicão,4,1705,POR1,2024,Zagueiro
E. Miller,Portland Timbers,1,1212,USA,2024,Lateral
E. Millot,Stuttgart,9,2455,GER1,2024,Meia
E. Miyamoto,Albirex Niigata,7,1903,JAP,2024,Primeiro Volante
