Atleta,Equipe_Janela_Análise,Código_Posição_Wyscout,Minutos,Liga,Versão_Temporada,Posição
A. Cochrane,Hearts,1,2950,SCT,2024,Lateral
A. Coeff,Caen,1,1105,FRA2,2024,Lateral
A. Colombino,Progreso,8,2464,URU,2024,Segundo Volante
A. Colpani,Monza,9,2914,ITA1,2024,Meia
A. Compagno,Tianjin Tigers,12,2438,CHN,2024,Atacante
A. Condé,Magdeburg,8,2184,GER2,2024,Segundo Volante
A. Connolly,Hull City,12,1361,ENG2,2024,Atacante
A. Considine,St. Johnstone,4,2547,SCT,2024,Zagueiro
A. Consigli,Sassuolo,0,3528,ITA1,2024,Goleiro
A. Conte,Botev Plovdiv,4,1431,BUL,2024,Zagueiro
A. Conteh,Neftchi,10,1010,BUL,2024,Extremo
A. Contrera,Sportivo Ameliano,10,2228,PAR,2024,Extremo
A. Cordea,Al Ta'ee,10,2398,SAUD,2024,Extremo
A. Correa,La Equidad,1,3886,COL,2024,Lateral
Á. Correa,Atlético Madrid,12,1814,SPA1,2024,Atacante
A. Cougo,Boston River,1,1843,URU,2024,Lateral
A. Cruz,Atlético GO,1,2414,BRA1,2024,Lateral
A. Cruz,Atlético de San Luis,1,1526,MEX,2024,Lateral
A. Cubas,Vancouver Whitecaps,7,2484,USA,2024,Primeiro Volante
A. Cuello,San Lorenzo,12,1979,ARG1,2024,Atacante
Á. Cuello,Guaraní,8,1089,PAR,2024,Segundo Volante
A. Dahmen,Al Hazem,0,2455,SAUD,2024,Goleiro
A. Danté,Zürich,1,1156,SWZ,2024,Lateral
A. Davies,Bayern München,1,2239,GER1,2024,Lateral
A. De Paula Dias Filho,Lokomotiv Sofia 1929,4,1208,BUL,2024,Zagueiro
A. Dedić,Salzburg,1,1995,AUT,2024,Lateral
A. Deiola,Cagliari,8,1773,ITA1,2024,Segundo Volante
A. Delort,Umm Salal,12,1210,QAT,2024,Atacante
A. Demirbağ,Konyaspor,4,2479,TUR,2024,Zagueiro
A. Desmas,Le Havre,0,3267,FRA1,2024,Goleiro
A. Devine,Plymouth Argyle,11,910,ENG2,2024,Extremo
Á. Di María,Benfica,10,2405,POR1,2024,Extremo
A. Di Pippa,Cerro Largo,7,1288,URU,2024,Primeiro Volante
A. Diaby,St. Gallen,4,1680,SWZ,2024,Zagueiro
A. Diaby,Pendikspor,10,1226,TUR,2024,Extremo
A. Diallo,Al Arabi,4,2108,QAT,2024,Zagueiro
A. Diallo,Al Wasl,12,1153,UAE,2024,Atacante
A. Diouf,Lens,8,1437,FRA1,2024,Segundo Volante
A. Dioussé,Auxerre,7,1808,FRA2,2024,Primeiro Volante
A. Disasi,Chelsea,4,2946,ENG1,2024,Zagueiro
A. Djiku,Fenerbahçe,4,2292,TUR,2024,Zagueiro
A. Đokanović,Manisa F.K.,7,979,TUR,2024,Primeiro Volante
A. Domínguez,Pachuca,10,920,MEX,2024,Extremo
A. Donchev,OFK Pirin,1,1088,BUL,2024,Lateral
A. Donkor,Eintracht Braunschweig,1,2871,GER2,2024,Lateral
A. Donnelly,Dundee,4,1836,SCT,2024,Zagueiro
A. Dønnum,Toulouse,10,1718,FRA1,2024,Extremo
A. Đorđević,Železničar Pancevo,8,3100,SER,2024,Segundo Volante
A. Dossena,Cagliari,4,3277,ITA1,2024,Zagueiro
A. Doucouré,Everton,9,3020,ENG1,2024,Meia
A. Doughty,Luton Town,1,3213,ENG1,2024,Lateral
A. Dovbyk,Girona,12,2841,SPA1,2024,Atacante
A. Dozzell,Birmingham City,8,2871,ENG2,2024,Segundo Volante
A. Dragović,Crvena Zvezda,4,2461,SER,2024,Zagueiro
A. Dreyer,Anderlecht,11,3286,BEL1,2024,Extremo
A. Duarte,Spartak Moskva,4,1581,RUS,2024,Zagueiro
A. Duarte,Defensor Sporting,10,1732,URU,2024,Extremo
A. Duncan,Fiorentina,7,2087,ITA1,2024,Primeiro Volante
A. Dyulgerov,OFK Pirin,4,2677,BUL,2024,Zagueiro
A. Dzyuba,Lokomotiv Moskva,12,1575,RUS,2024,Atacante
A. Egorychev,Ural,9,1844,RUS,2024,Meia
A. El Azzouzi,PEC Zwolle,7,1459,HOL,2024,Primeiro Volante
A. El Hassouni,Muaither,8,2061,QAT,2024,Segundo Volante
A. El Kaabi,Olympiacos Piraeus,12,2048,GRE,2024,Atacante
