Atleta,Código_Posição_Wyscout,Liga,Versão_Temporada,Posição
A. Bogdanov,8,UKR,2023,Segundo Volante
A. Bolívar,8,ARG1,2023,Segundo Volante
A. Bondarenko,8,UKR,2023,Segundo Volante
A. Bonny,12,ITA2,2023,Atacante
A. Bono,0,USA,2023,Goleiro
A. Borković,4,AUT,2023,Zagueiro
A. Boršić,1,CRO,2023,Lateral
A. Borza,1,ROM,2023,Lateral
A. Bosec,1,CRO,2023,Lateral
A. Bosetti,12,FRA2,2023,Atacante
A. Boucheta,1,MOR,2023,Lateral
A. Bouchiba,8,ALG,2023,Segundo Volante
A. Boukhanfer,9,MOR,2023,Meia
A. Boupendza,12,USA,2023,Atacante
A. Boussaid,7,ALG,2023,Primeiro Volante
A. Boutoutaou,10,FRA2,2023,Extremo
A. Bran,8,CRC,2023,Segundo Volante
A. Bravo,4,ARG2,2023,Zagueiro
A. Briançon,4,FRA2,2023,Zagueiro
A. Brignoli,0,GRE,2023,Goleiro
A. Briseño,4,MEX,2023,Zagueiro
A. Brody,1,USA,2023,Lateral
A. Brorsson,8,SWE,2023,Segundo Volante
A. Browne,8,ENG2,2023,Segundo Volante
A. Brrou,11,BEL2,2023,Extremo
Á. Brun,8,URU,2023,Segundo Volante
A. Bruus,1,FRA1,2023,Lateral
A. Budimir,12,SPA1,2023,Atacante
A. Bukia,10,SAUD,2023,Extremo
A. Buksa,12,TUR,2023,Atacante
A. Buleza,1,UKR,2023,Lateral
A. Buongiorno,4,ITA1,2023,Zagueiro
A. Burcă,4,ROM,2023,Zagueiro
A. Burcă,4,SAUD,2023,Zagueiro
A. Buriev,7,UZB,2023,Primeiro Volante
A. Busch,4,DEN,2023,Zagueiro
A. Bustos,7,ARG2,2023,Primeiro Volante
A. Cabral,7,URU,2023,Primeiro Volante
A. Cabrera,8,ARG1,2023,Segundo Volante
A. Cabrera,4,BOL,2023,Zagueiro
A. Cáceres,8,AUS,2023,Segundo Volante
A. Caci,1,GER1,2023,Lateral
A. Cadavid,4,COL,2023,Zagueiro
A. Calabresi,1,ITA2,2023,Lateral
A. Calcan,10,ROM,2023,Extremo
A. Calisir,4,SWE,2023,Zagueiro
A. Calut,1,BEL2,2023,Lateral
A. Calver,4,KOR,2023,Zagueiro
A. Camara,8,FRA2,2023,Segundo Volante
A. Camara,9,GRE,2023,Meia
A. Cambiaso,1,ITA1,2023,Lateral
A. Campbell,8,ENG2,2023,Segundo Volante
A. Campuzano,7,PAR,2023,Primeiro Volante
A. Candela,1,ITA2,2023,Lateral
A. Candreva,9,ITA1,2023,Meia
A. Canelo,12,ARG1,2023,Atacante
A. Canelo,12,MEX,2023,Atacante
A. Çankaya,4,TUR,2023,Zagueiro
A. Canobbio,1,BRA1,2023,Lateral
A. Cantero,1,PAR,2023,Lateral
A. Caporale,1,ITA2,2023,Lateral
A. Caracciolo,4,ITA2,2023,Zagueiro
A. Carboni,4,ITA2,2023,Zagueiro
A. Cardozo,7,ARG1,2023,Primeiro Volante
Á. Cardozo Lucena,8,PAR,2023,Segundo Volante
A. Carlén,7,SWE,2023,Primeiro Volante
A. Carrasquilla,10,USA,2023,Extremo
A. Carrillo,8,SAUD,2023,Segundo Volante
A. Carroll,12,ENG2,2023,Atacante
A. Carter,12,POR2,2023,Atacante
A. Cassaert,4,BEL2,2023,Zagueiro
A. Castro,8,ARG1,2023,Segundo Volante
Á. Castro,10,COL,2023,Extremo
A. Castro-Montes,1,BEL1,2023,Lateral
A. Catur,1,INDO,2023,Lateral
Á. Cayetano,4,URU,2023,Zagueiro
Á. Cazula,1,ARG2,2023,Lateral
A. Ceesay,12,ITA1,2023,Atacante
A. Ceesay,12,SAUD,2023,Atacante
A. Celli,1,ITA2,2023,Lateral
A. Čerin,7,GRE,2023,Primeiro Volante
A. Cerri,12,ITA2,2023,Atacante
A. Cervantes,8,MEX,2023,Segundo Volante
A. Chakvetadze,4,GEO,2023,Zagueiro
A. Chandarov,7,BUL,2023,Primeiro Volante
A. Cháves,9,ARG2,2023,Meia
A. Chávez,12,ARG1,2023,Atacante
A. Chelyadin,8,UKR,2023,Segundo Volante
A. Cherni,1,FRA2,2023,Lateral
A. Chernikov,7,RUS,2023,Primeiro Volante
A. Chichinadze,4,UZB,2023,Zagueiro
A. Chichkan,0,GEO,2023,Goleiro
A. Chipciu,1,ROM,2023,Lateral
A. Chițu,12,ROM,2023,Atacante
A. Chopitea,1,URU,2023,Lateral
A. Chovan,0,GRE,2023,Goleiro
A. Christensen,4,SPA1,2023,Zagueiro
A. Chumacero,8,BOL,2023,Segundo Volante
A. Chyruk,12,UKR,2023,Atacante
A. Cicâldău,9,TUR,2023,Meia
A. Cicâldău,8,UAE,2023,Segundo Volante
A. Cigaņiks,1,POL,2023,Lateral
A. Ciranni,1,BEL1,2023,Lateral
A. Circati,4,ITA2,2023,Zagueiro
A. Cissé,4,SER,2023,Zagueiro
A. Cistana,4,ITA2,2023,Zagueiro
A. Cochrane,1,SCT,2023,Lateral
A. Coffey,12,FIN,2023,Atacante
A. Colazo,12,ARG2,2023,Atacante
A. Colorado,7,SER,2023,Primeiro Volante
A. Colpani,9,ITA1,2023,Meia
A. Compagno,12,ROM,2023,Atacante
A. Condé,8,GER2,2023,Segundo Volante
A. Connolly,12,ENG2,2023,Atacante
A. Considine,4,SCT,2023,Zagueiro
A. Consigli,0,ITA1,2023,Goleiro
A. Conteh,12,BUL,2023,Atacante
A. Contrera,10,PAR,2023,Extremo
A. Contreras,12,CRC,2023,Atacante
A. Cordea,11,ROM,2023,Extremo
A. Cordea,10,SAUD,2023,Extremo
A. Correa,4,COL,2023,Zagueiro
A. Correa,1,COL,2023,Lateral
Á. Correa,12,SPA1,2023,Atacante
A. Corryn,1,BEL2,2023,Lateral
A. Costa,1,ARG1,2023,Lateral
A. Crăciun,4,POL,2023,Zagueiro
A. Cresswell,1,ENG1,2023,Lateral
A. Crețu,8,ROM,2023,Segundo Volante
A. Crnac,12,CRO,2023,Atacante
A. Cruz,10,URU,2023,Extremo
A. Cubas,7,USA,2023,Primeiro Volante
A. Cuello,12,ARG2,2023,Atacante
Á. Cuello,7,ARG2,2023,Primeiro Volante
A. Cuevas,1,BEL2,2023,Lateral
A. Curruhinca,9,ARG2,2023,Meia
A. Czerwiński,1,POL,2023,Lateral
A. da Cruz,9,BEL1,2023,Meia
A. Da Silveira,4,URU,2023,Zagueiro
A. Dahmen,0,SAUD,2023,Goleiro
A. Dairani,4,MOR,2023,Zagueiro
A. Damnjanovic Nilsson,8,NOR,2023,Segundo Volante
A. Daniels,10,CAN,2023,Extremo
A. Danté,1,AUT,2023,Lateral
A. Dattola,4,ARG2,2023,Zagueiro
A. David,4,CRC,2023,Zagueiro
A. Davies,1,GER1,2023,Lateral
A. Davronov,4,UZB,2023,Zagueiro
A. De Sart,8,BEL2,2023,Segundo Volante
A. Debbari,1,ALG,2023,Lateral
A. Dedić,1,AUT,2023,Lateral
A. Deiola,8,ITA2,2023,Segundo Volante
A. Delort,12,QAT,2023,Atacante
A. Demirbağ,4,TUR,2023,Zagueiro
A. Demirol,7,SWE,2023,Primeiro Volante
A. Desábato,0,ARG1,2023,Goleiro
A. Desmas,0,FRA1,2023,Goleiro
A. Desmas,0,FRA2,2023,Goleiro
A. Dewa,1,INDO,2023,Lateral
A. Dewangga,4,INDO,2023,Zagueiro
Á. Di María,12,ITA1,2023,Atacante
Á. Di María,10,POR1,2023,Extremo
A. Diallo,9,ENG2,2023,Meia
A. Diallo,4,QAT,2023,Zagueiro
A. Diallo,12,UAE,2023,Atacante
A. Diamantis,4,GRE,2023,Zagueiro
A. Diarra,10,MOR,2023,Extremo
A. Diawara,7,BEL1,2023,Primeiro Volante
A. Díaz,12,ARG2,2023,Atacante
A. Díaz,12,CAN,2023,Atacante
A. Didic,4,CAN,2023,Zagueiro
A. Diop,4,NOR,2023,Zagueiro
A. Diouf,8,SWZ,2023,Segundo Volante
A. Dioussé,8,GRE,2023,Segundo Volante
A. Disasi,4,ENG1,2023,Zagueiro
A. Disasi,4,FRA1,2023,Zagueiro
A. Djiku,4,FRA1,2023,Zagueiro
A. Djin,1,INDO,2023,Lateral
A. Djokanović,8,TUR,2023,Segundo Volante
A. Dobre,10,POR1,2023,Extremo
A. Dohling,1,IND,2023,Lateral
A. Domínguez,12,ARG1,2023,Atacante
A. Donatti,4,ARG1,2023,Zagueiro
A. Donkor,1,GER2,2023,Lateral
A. Dønnum,1,BEL1,2023,Lateral
A. Đorđević,8,SER,2023,Segundo Volante
A. Dossena,4,ITA1,2023,Zagueiro
A. Dossena,4,ITA2,2023,Zagueiro
A. Doucouré,9,ENG1,2023,Meia
A. Doughty,1,ENG1,2023,Lateral
A. Doughty,1,ENG2,2023,Lateral
A. Dovbyk,12,SPA1,2023,Atacante
A. Dovbyk,12,UKR,2023,Atacante
A. Dozzell,8,ENG2,2023,Segundo Volante
A. Dragović,4,SER,2023,Zagueiro
A. Dragu,10,ROM,2023,Extremo
A. Dramisino,8,ARG2,2023,Segundo Volante
A. Dreyer,11,BEL1,2023,Extremo
A. Duarte,4,PAR,2023,Zagueiro
A. Duarte,4,RUS,2023,Zagueiro
A. Duarte,10,URU,2023,Extremo
A. Dumiter,12,ROM,2023,Atacante
A. Dumitrescu,1,ROM,2023,Lateral
A. Duncan,7,ITA1,2023,Primeiro Volante
A. Dyulgerov,4,BUL,2023,Zagueiro
A. Dzyuba,12,RUS,2023,Atacante
A. Egorychev,10,RUS,2023,Extremo
A. Ekdal,7,ITA1,2023,Primeiro Volante
A. Ektov,1,RUS,2023,Lateral
A. El Amloud,1,MOR,2023,Lateral
A. El Aouani,8,MOR,2023,Segundo Volante
A. El Ghannouj,7,MOR,2023,Primeiro Volante
A. El Hassnaoui,7,MOR,2023,Primeiro Volante
A. El Hassouni,9,MOR,2023,Meia
A. El Hassouni,8,QAT,2023,Segundo Volante
A. El Houasli,0,MOR,2023,Goleiro
A. El Mahdioui,7,SAUD,2023,Primeiro Volante
A. El Messaoudi,8,HOL,2023,Segundo Volante
A. El Ouaad,0,MOR,2023,Goleiro
