Atleta,Código_Posição_Wyscout,Liga,Versão_Temporada,Posição
K. Thorstvedt,7,ITA1,2023,Primeiro Volante
K. Thuram,8,FRA1,2023,Segundo Volante
K. Tobers,4,POL,2023,Zagueiro
K. Tobers,4,SWZ,2023,Zagueiro
K. Tobiasz,0,POL,2023,Goleiro
K. Tojčić,4,SER,2023,Zagueiro
K. Toko Ekambi,12,FRA1,2023,Atacante
K. Toko Ekambi,12,SAUD,2023,Atacante
K. Tønnessen,4,NOR,2023,Zagueiro
K. Toriumi,4,JAP,2023,Zagueiro
K. Trapp,0,GER1,2023,Goleiro
K. Trewin,8,AUS,2023,Segundo Volante
K. Triantafyllópoulos,4,POL,2023,Zagueiro
K. Trippier,1,ENG1,2023,Lateral
K. Tshiembe,4,DEN,2023,Zagueiro
K. Tsimikas,1,ENG1,2023,Lateral
K. Tsukagawa,9,JAP,2023,Meia
K. Tsunemoto,1,JAP,2023,Lateral
K. Tsunemoto,1,SWZ,2023,Lateral
K. Tyukavin,12,RUS,2023,Atacante
K. Vacek,7,CZH,2023,Primeiro Volante
K. Vaesen,12,BEL1,2023,Atacante
K. Valencia,12,COL,2023,Atacante
K. Van De Perre,7,BEL2,2023,Primeiro Volante
K. Van Den Kerkhof,1,FRA2,2023,Lateral
K. van der Kaap,4,BUL,2023,Zagueiro
K. van Veen,12,SCT,2023,Atacante
K. Vargas,12,CRC,2023,Atacante
K. Vargas,10,USA,2023,Extremo
K. Vassell,12,SCT,2023,Atacante
K. Vázquez,8,ARG2,2023,Segundo Volante
K. Veendorp,7,HOL,2023,Primeiro Volante
K. Velasco,9,COL,2023,Meia
K. Velasco,10,MEX,2023,Extremo
K. Velde,10,POL,2023,Extremo
K. Villalobos,1,CRC,2023,Lateral
K. Vinetot,4,ITA2,2023,Zagueiro
K. Vivcharenko,1,UKR,2023,Lateral
K. Viveros,12,COL,2023,Atacante
K. Vogt,4,GER1,2023,Zagueiro
K. Wagner,1,USA,2023,Lateral
K. Walker,1,ENG1,2023,Lateral
K. Walker-Peters,1,ENG1,2023,Lateral
K. Walker-Peters,1,ENG2,2023,Lateral
K. Waston,4,CRC,2023,Zagueiro
K. Watanabe,7,JAP,2023,Primeiro Volante
K. Watson,4,SCT,2023,Zagueiro
K. Wilczek,12,POL,2023,Atacante
K. Williams,12,CAN,2023,Atacante
K. Yakob,8,DEN,2023,Segundo Volante
K. Yamada,12,JAP,2023,Atacante
K. Yamamura,4,JAP,2023,Zagueiro
K. Yamazaki,8,INDO,2023,Segundo Volante
K. Yamazaki,4,JAP,2023,Zagueiro
K. Yasui,9,JAP,2023,Meia
K. Yılmaz,7,TUR,2023,Primeiro Volante
K. Yoda,10,SAUD,2023,Extremo
K. Yoshino,4,JAP,2023,Zagueiro
K. Yuruki,10,JAP,2023,Extremo
K. Zaika,1,RUS,2023,Lateral
K. Zapolnik,12,POL,2023,Atacante
K. Zenón,1,ARG1,2023,Lateral
K. Zouma,4,ENG1,2023,Zagueiro
Kady,11,RUS,2023,Extremo
Kaio,4,RUS,2023,Zagueiro
Kaio César,10,BRA1,2023,Extremo
Kang Sang-Woo,10,CHN,2023,Extremo
Kang-Hyun Lee,8,KOR,2023,Segundo Volante
Kang-Hyun Yu,12,KOR,2023,Atacante
Kang-San Kim,4,KOR,2023,Zagueiro
Kanu,4,BRA1,2023,Zagueiro
Karim Boudiaf,7,QAT,2023,Primeiro Volante
Karl,8,BRA3,2023,Segundo Volante
Kauan Richard,1,BRA2,2023,Lateral
Kayke,12,BRA2,2023,Atacante
Kazu,1,POR2,2023,Lateral
Kbiri Khalid Alaoui,0,MOR,2023,Goleiro
Ke Zhao,1,CHN,2023,Lateral
Keffel Resende,1,POR2,2023,Lateral
Keijiro. Ogawa,11,JAP,2023,Extremo
Keiller,0,BRA1,2023,Goleiro
Keito Nakamura,10,AUT,2023,Extremo
Keké,10,BRA2,2023,Extremo
Kelvin,10,BRA2,2023,Extremo
Kelvyn,1,BRA2,2023,Lateral
Kenedy,12,SPA2,2023,Atacante
Kennedy Rocha,10,CRC,2023,Extremo
Kenny Rocha Santos,8,BEL1,2023,Segundo Volante
Keno,10,BRA1,2023,Extremo
Kepa,0,ENG1,2023,Goleiro
Kepa,0,SPA1,2023,Goleiro
Keun-Ho Lee,10,KOR,2023,Extremo
Kevin,1,BRA2,2023,Lateral
Kévin Rodrigues,1,TUR,2023,Lateral
Kévin Santos,10,CAN,2023,Extremo
Kevyn,1,BRA3,2023,Lateral
Kevyson,1,BRA1,2023,Lateral
Kewin,0,POR1,2023,Goleiro
Kewin,0,POR2,2023,Goleiro
Khaled Al Samiri,7,SAUD,2023,Primeiro Volante
Khaled Al Zereiqi,8,QAT,2023,Segundo Volante
Khaled Ebraheim,1,UAE,2023,Lateral
Khaled Mohammed,9,QAT,2023,Meia
Khalfan Mubarak,9,UAE,2023,Meia
Khalid Abdullah,4,UAE,2023,Zagueiro
Khalid Al Darmaki,7,UAE,2023,Primeiro Volante
Khalid Al Ghannam,10,SAUD,2023,Extremo
Khalid Al Hashemi,4,UAE,2023,Zagueiro
Khalid Al Senani,0,UAE,2023,Goleiro
Khalid Al Shuwayie,1,SAUD,2023,Lateral
Khalid Al Zaabi,1,UAE,2023,Lateral
Khalid Eisa,0,UAE,2023,Goleiro
Khalid Mahmoudi,1,QAT,2023,Lateral
Khalid Muneer,10,QAT,2023,Extremo
Khalid Radwan,4,QAT,2023,Zagueiro
Khalifa Ababacar,0,QAT,2023,Goleiro
Khalifa Al Hammadi,4,UAE,2023,Zagueiro
Khamis Al Hammadi,1,UAE,2023,Lateral
Khellven,1,BRA1,2023,Lateral
Khellven,1,RUS,2023,Lateral
Kialonda Gaspar,4,POR1,2023,Zagueiro
Kialonda Gaspar,4,POR2,2023,Zagueiro
Ki-Je Lee,1,KOR,2023,Lateral
Kikas,12,POR2,2023,Atacante
Kike Barja,10,SPA1,2023,Extremo
Kike Cadete,1,AUS,2023,Lateral
Kike García,12,SPA1,2023,Atacante
Kike Pérez,7,SPA1,2023,Primeiro Volante
Kiki,1,POR1,2023,Lateral
Kiko,4,INDO,2023,Zagueiro
Kiko Bondoso,10,POR1,2023,Extremo
Kiko Olivas,4,SPA2,2023,Zagueiro
Kim Bo-Sub,10,KOR,2023,Extremo
Kim Do-Hyeok,8,KOR,2023,Segundo Volante
Kim Dong-Heon,0,KOR,2023,Goleiro
Kim Dong-Min,4,KOR,2023,Zagueiro
Kim Hyun,12,KOR,2023,Atacante
Kim In-Sung,10,KOR,2023,Extremo
Kim Jin-Hyeon,0,JAP,2023,Goleiro
Kim Jin-Su,1,KOR,2023,Lateral
Kim Jong-Woo,7,KOR,2023,Primeiro Volante
Kim Jun-Ho,7,KOR,2023,Primeiro Volante
Kim Kee-Hee,4,KOR,2023,Zagueiro
Kim Min-Hyeok,7,KOR,2023,Primeiro Volante
Kim Min-Jae,4,GER1,2023,Zagueiro
Kim Min-Jae,4,ITA1,2023,Zagueiro
Kim Min-Tae,4,JAP,2023,Zagueiro
Kim Min-Woo,1,CHN,2023,Lateral
Kim Moon-Hwan,1,KOR,2023,Lateral
Kim Seung-Bin,9,CZH,2023,Meia
Kim Seung-Dae,10,KOR,2023,Extremo
Kim Seung-Gyu,0,SAUD,2023,Goleiro
Kim Tae-Hwan,1,KOR,2023,Lateral
Kim Young-Gwon,4,KOR,2023,Zagueiro
Kirian Rodríguez,7,SPA1,2023,Primeiro Volante
Klaidher,4,BUL,2023,Zagueiro
Kleiton,10,BRA2,2023,Extremo
Klenisson Silva,12,BRA3,2023,Atacante
Koke,7,SPA1,2023,Primeiro Volante
Komarodin,10,INDO,2023,Extremo
Kook-Young Han,8,KOR,2023,Segundo Volante
Kosuke Nakamura,0,POR1,2023,Goleiro
Kouame Kouadio,4,UAE,2023,Zagueiro
Ku Ja-Ryong,4,KOR,2023,Zagueiro
Kwak Min-Jae,1,CAN,2023,Lateral
Kwang-Hyun Ryu,1,KOR,2023,Lateral
Kwang-Yeon Lee,0,KOR,2023,Goleiro
Kwon Han-Jin,4,KOR,2023,Zagueiro
Kwon Kyung-Won,4,JAP,2023,Zagueiro
Kyung-Min Kim,0,KOR,2023,Goleiro
L.  Baldunciel,10,ARG2,2023,Extremo
L. Abada,11,SCT,2023,Extremo
L. Abanda,1,GRE,2023,Lateral
L. Abecasis,1,ARG2,2023,Lateral
L. Abergel,8,FRA1,2023,Segundo Volante
L. Abram,4,USA,2023,Zagueiro
L. Abubakar,4,USA,2023,Zagueiro
L. Acevedo,4,GRE,2023,Zagueiro
L. Acosta,8,ARG1,2023,Segundo Volante
L. Acosta,9,USA,2023,Meia
L. Advíncula,1,ARG1,2023,Lateral
L. Adžić,10,SER,2023,Extremo
L. Agazzi,11,URU,2023,Extremo
L. Agoumé,8,FRA1,2023,Segundo Volante
L. Ajorque,12,GER1,2023,Atacante
L. Ala-Myllymäki,9,FIN,2023,Meia
L. Ali,10,BOL,2023,Extremo
L. Allende,1,ARG2,2023,Lateral
L. Almási,12,CZH,2023,Atacante
L. Álvarez,8,ARG2,2023,Segundo Volante
L. Amani,8,BEL1,2023,Segundo Volante
L. Amarilla,12,MEX,2023,Atacante
L. Amesimeku,4,UAE,2023,Zagueiro
L. Andersen,11,DEN,2023,Extremo
L. Andrenacci,0,ITA2,2023,Goleiro
L. Angelini,1,ARG2,2023,Lateral
L. Angulo,10,COL,2023,Extremo
L. Antal,10,ROM,2023,Extremo
L. Arce,1,ARG1,2023,Lateral
L. Arveladze,8,UZB,2023,Segundo Volante
L. Asatiani,4,GEO,2023,Zagueiro
L. Assignon,1,FRA1,2023,Lateral
L. Aued,8,ARG1,2023,Segundo Volante
L. Ayala,4,CRC,2023,Zagueiro
L. Ayina,4,SCT,2023,Zagueiro
L. Ayling,1,ENG1,2023,Lateral
L. Badé,4,SPA1,2023,Zagueiro
L. Bailey,10,ENG1,2023,Extremo
L. Baker,8,ENG2,2023,Segundo Volante
L. Balerdi,4,FRA1,2023,Zagueiro
L. Banda,11,ITA1,2023,Extremo
L. Barboza,4,BOL,2023,Zagueiro
L. Barcia,11,URU,2023,Extremo
L. Barr,4,AUS,2023,Zagueiro
L. Barrantes,8,CRC,2023,Segundo Volante
L. Barraza,0,USA,2023,Goleiro
L. Barreiro,8,GER1,2023,Segundo Volante
L. Barrios,12,PAR,2023,Atacante
L. Bartlett,4,USA,2023,Zagueiro
L. Bartošák,1,CZH,2023,Lateral
Ł. Bejger,4,POL,2023,Zagueiro
L. Belardinelli,8,ITA2,2023,Segundo Volante
L. Belcar,9,CRO,2023,Meia
L. Bell Bell,1,GER2,2023,Lateral
L. Belleggia,8,ARG2,2023,Segundo Volante
L. Beltrán,12,ARG1,2023,Atacante
L. Benedetti,8,ITA2,2023,Segundo Volante
L. Bénes,8,GER2,2023,Segundo Volante
L. Benito,1,SWZ,2023,Lateral
L. Berg Johnsen,8,DEN,2023,Segundo Volante
L. Berg Johnsen,7,SWE,2023,Primeiro Volante
L. Bergsma,4,HOL,2023,Zagueiro
L. Bergvall,8,SWE,2023,Segundo Volante
L. Bernadou,7,HOL,2023,Primeiro Volante
L. Berrío,10,COL,2023,Extremo
L. Besozzi,10,ARG1,2023,Extremo
L. Bessile,4,BEL1,2023,Zagueiro
L. Biglia,7,TUR,2023,Primeiro Volante
L. Bijelović,10,SER,2023,Extremo
L. Binks,4,ITA2,2023,Zagueiro
L. Bittencourt,8,GER1,2023,Segundo Volante
L. Blanco,1,SPA1,2023,Lateral
L. Blas,10,FRA1,2023,Extremo
L. Blessing,8,USA,2023,Segundo Volante
L. Blondel,1,ARG1,2023,Lateral
L. Blum,1,SWZ,2023,Lateral
L. Bodnar,7,AUS,2023,Primeiro Volante
L. Boggio,8,ARG1,2023,Segundo Volante
L. Bontempo,1,ARG2,2023,Lateral
L. Bostyn,0,BEL1,2023,Goleiro
L. Boyé,12,SPA1,2023,Atacante
L. Brassier,4,FRA1,2023,Zagueiro
L. Brattan,8,AUS,2023,Segundo Volante
L. Brochero,10,ARG1,2023,Extremo
L. Brouwers,7,HOL,2023,Primeiro Volante
L. Bruera,0,ARG2,2023,Goleiro
L. Buadés,1,FRA2,2023,Lateral
L. Bucca,8,ARG2,2023,Segundo Volante
L. Buchanan,1,ENG2,2023,Lateral
L. Burián,0,ARG1,2023,Goleiro
L. Cabral,4,PAR,2023,Zagueiro
L. Cabrera,4,SPA1,2023,Zagueiro
L. Cabrera,4,SPA2,2023,Zagueiro
L. Cacace,1,ITA1,2023,Lateral
L. Caicedo,4,COL,2023,Zagueiro
L. Caicedo,8,USA,2023,Segundo Volante
L. Caldirola,4,ITA1,2023,Zagueiro
L. Callegari,8,CAN,2023,Segundo Volante
L. Camara,9,FRA1,2023,Meia
L. Campana,12,USA,2023,Atacante
L. Cano,12,ARG2,2023,Atacante
L. Canotto,11,ITA2,2023,Extremo
L. Cárdenas,0,BOL,2023,Goleiro
L. Carević,0,SER,2023,Goleiro
L. Carissoni,1,ITA2,2023,Lateral
L. Carole,1,TUR,2023,Lateral
L. Carrizo,4,ARG1,2023,Zagueiro
L. Castaignos,12,GER2,2023,Atacante
L. Castro,9,ARG1,2023,Meia
L. Castro,12,COL,2023,Atacante
L. Cavallini,12,MEX,2023,Atacante
L. Ceppitelli,4,ITA2,2023,Zagueiro
L. Červ,8,CZH,2023,Segundo Volante
L. Chambers,1,SCT,2023,Lateral
L. Chaverra,1,COL,2023,Lateral
L. Cháves,0,ARG1,2023,Goleiro
L. Chávez,12,BOL,2023,Atacante
L. Chávez,8,MEX,2023,Segundo Volante
L. Chevalier,0,FRA1,2023,Goleiro
L. Chhangte,11,IND,2023,Extremo
L. Chichizola,0,ITA2,2023,Goleiro
L. Chiozza,10,ARG2,2023,Extremo
L. Choutesiotis,0,GRE,2023,Goleiro
L. Clarkson,7,SCT,2023,Primeiro Volante
L. Čmelík,1,CZH,2023,Lateral
L. Colaco,1,IND,2023,Lateral
L. Colitto,10,ARG1,2023,Extremo
L. Colombo,12,ITA1,2023,Atacante
L. Colwill,4,ENG1,2023,Zagueiro
L. Comas,10,PAR,2023,Extremo
L. Cook,7,ENG1,2023,Primeiro Volante
L. Cornic,1,NOR,2023,Lateral
L. Correa,4,URU,2023,Zagueiro
L. Corulo,4,BOL,2023,Zagueiro
L. Cosentino,10,URU,2023,Extremo
L. Costa,4,URU,2023,Zagueiro
L. Coulibaly,10,DEN,2023,Extremo
L. Coulibaly,8,ITA1,2023,Segundo Volante
L. Coyle,1,ENG2,2023,Lateral
L. Crepulja,7,ROM,2023,Primeiro Volante
L. Crisetig,7,ITA2,2023,Primeiro Volante
L. Cullen,12,ENG2,2023,Atacante
L. Cundle,8,ENG2,2023,Segundo Volante
L. Cvek,8,ROM,2023,Segundo Volante
L. da Cunha,9,ITA2,2023,Meia
L. Dahdouh,10,MOR,2023,Extremo
L. D'Arrigo,7,AUS,2023,Primeiro Volante
L. Daschner,12,GER2,2023,Atacante
L. Davis,1,ENG2,2023,Lateral
L. De Bock,1,GRE,2023,Lateral
L. de Jong,12,HOL,2023,Atacante
L. de La Cruz,1,PAR,2023,Lateral
L. de la Torre,10,SPA1,2023,Extremo
L. de los Santos,7,URU,2023,Primeiro Volante
L. de Lucas,4,SCT,2023,Zagueiro
L. Deedson,10,DEN,2023,Extremo
L. Delap,12,ENG2,2023,Atacante
L. Delaurier-Chaubet,10,FRA2,2023,Extremo
L. Depoitre,12,BEL1,2023,Atacante
L. Di Plácido,1,BRA1,2023,Lateral
L. Di Yorio,12,MEX,2023,Atacante
L. Diack,7,TUR,2023,Primeiro Volante
L. Diakité,12,MOR,2023,Atacante
L. Diarte,1,ARG1,2023,Lateral
L. Díaz,12,ARG1,2023,Atacante
L. Díaz,12,COL,2023,Atacante
L. Díaz,11,ENG1,2023,Extremo
L. Dickmann,1,ITA2,2023,Lateral
L. Digne,1,ENG1,2023,Lateral
L. Dimata,12,HOL,2023,Atacante
L. Diony,12,FRA2,2023,Atacante
L. Disanto,10,ARG2,2023,Extremo
L. Djordjević,12,RUS,2023,Atacante
L. Donnelly,7,SCT,2023,Primeiro Volante
L. Dubois,1,TUR,2023,Lateral
L. Dumitriu,10,ROM,2023,Extremo
L. Dunk,4,ENG1,2023,Zagueiro
L. Dykes,12,ENG2,2023,Atacante
L. Engel,1,DEN,2023,Lateral
L. Engel,1,ENG2,2023,Lateral
L. Escorcia,4,COL,2023,Zagueiro
L. Esquivel,1,ARG1,2023,Lateral
L. Esquivel,4,BRA1,2023,Zagueiro
Ł. Fabiański,0,ENG1,2023,Goleiro
L. Fadinger,9,AUT,2023,Meia
L. Faggioli,4,ARG2,2023,Zagueiro
L. Fariña,10,PAR,2023,Extremo
L. Faye,1,CAN,2023,Lateral
L. Fer,4,TUR,2023,Zagueiro
L. Ferguson,9,ITA1,2023,Meia
L. Fernández,1,ARG2,2023,Lateral
L. Fernández,10,ARG2,2023,Extremo
L. Fernández,12,MEX,2023,Atacante
L. Ferrari,1,ARG2,2023,Lateral
L. Ferreira,4,URU,2023,Zagueiro
L. Ferreyra,1,ARG2,2023,Lateral
L. Finochietto,0,PAR,2023,Goleiro
L. Fiordilino,7,ITA2,2023,Primeiro Volante
L. Flach,8,USA,2023,Segundo Volante
L. Flores,1,ARG2,2023,Lateral
L. Flores,7,CRC,2023,Primeiro Volante
L. Fomba,7,FRA2,2023,Primeiro Volante
L. Formica,1,ARG2,2023,Lateral
L. Foster,12,BEL1,2023,Atacante
L. Franco,8,CRC,2023,Segundo Volante
L. Franco,12,URU,2023,Atacante
L. Fraser,7,BEL2,2023,Primeiro Volante
L. Fridrikas,12,AUT,2023,Atacante
L. Fritzson,8,SWE,2023,Segundo Volante
L. Fröde,8,GER2,2023,Segundo Volante
L. Fuentes,1,MEX,2023,Lateral
L. Galtier,4,CRC,2023,Zagueiro
L. Gamba,12,ARG1,2023,Atacante
L. García,12,GRE,2023,Atacante
L. García,10,MEX,2023,Extremo
L. Gassama,1,SWZ,2023,Lateral
L. Geertruida,4,HOL,2023,Zagueiro
L. Geminiani,1,ARG2,2023,Lateral
L. Ghezali,12,ROM,2023,Atacante
L. Giaccone,10,ARG1,2023,Extremo
L. Gianetti,4,ARG1,2023,Zagueiro
L. Gibbs,12,ENG2,2023,Atacante
L. Gibson,4,ENG2,2023,Zagueiro
L. Giménez,12,ARG2,2023,Atacante
L. Godoy,1,ARG1,2023,Lateral
L. Goglichidze,1,RUS,2023,Lateral
L. Gojković,9,SER,2023,Meia
L. Gómez,1,ARG1,2023,Lateral
L. Gondou,12,ARG1,2023,Atacante
L. González,4,ARG1,2023,Zagueiro
L. González,12,ARG2,2023,Atacante
L. González,9,COL,2023,Meia
L. Gooch,1,ENG2,2023,Lateral
L. Gordon,4,SCT,2023,Zagueiro
L. Goretzka,7,GER1,2023,Primeiro Volante
L. Görtler,8,SWZ,2023,Segundo Volante
L. Gourna-Douath,7,AUT,2023,Primeiro Volante
L. Grill,0,GER2,2023,Goleiro
L. Guček,4,UKR,2023,Zagueiro
L. Gugganig,4,AUT,2023,Zagueiro
L. Gülen,1,POL,2023,Lateral
L. Guntara,1,INDO,2023,Lateral
L. Gutiérrez,4,BOL,2023,Zagueiro
L. Gutiérrez,9,BOL,2023,Meia
L. Guwara,1,GER2,2023,Lateral
L. Guzmán,10,ARG1,2023,Extremo
L. Guzmán,1,ARG2,2023,Lateral
L. Hajrulahu,4,SWZ,2023,Zagueiro
L. Haquín,4,COL,2023,Zagueiro
L. Haraslín,11,CZH,2023,Extremo
L. Havel,4,CZH,2023,Zagueiro
L. Hejda,4,CZH,2023,Zagueiro
L. Hens,8,BEL2,2023,Segundo Volante
L. Heredia,12,ARG1,2023,Atacante
L. Hernández,4,CRC,2023,Zagueiro
L. Hernández,1,CRC,2023,Lateral
L. Hernández,1,FRA1,2023,Lateral
L. Hernández,1,URU,2023,Lateral
L. Herrera,10,ARG2,2023,Extremo
L. Hertsi,10,FIN,2023,Extremo
L. Hey,4,DEN,2023,Zagueiro
L. Hjelde,1,ENG2,2023,Lateral
L. Höler,12,GER1,2023,Atacante
L. Holík,1,CZH,2023,Lateral
L. Holtby,8,GER2,2023,Segundo Volante
L. Hoyos,0,ARG1,2023,Goleiro
L. Hrádecký,0,GER1,2023,Goleiro
L. Hujber,1,CRO,2023,Lateral
L. Hůlka,4,CZH,2023,Zagueiro
L. Hurtado,12,BOL,2023,Atacante
L. Ilić,9,FRA2,2023,Meia
L. Ilić,8,SER,2023,Segundo Volante
L. Ingolotti,0,ARG2,2023,Goleiro
L. Insigne,11,USA,2023,Extremo
L. Ivanov,4,BUL,2023,Zagueiro
L. Ivanušec,10,CRO,2023,Extremo
L. Jachfe,0,ARG2,2023,Goleiro
L. Jackson,4,KOR,2023,Zagueiro
L. Jäger,8,AUT,2023,Segundo Volante
L. Janson,10,ARG1,2023,Extremo
L. Jaquez,4,SWZ,2023,Zagueiro
L. Jara,1,ARG1,2023,Lateral
L. Jawo,12,CZH,2023,Atacante
L. Jelenić,4,CRO,2023,Zagueiro
L. Jensen,8,GER2,2023,Segundo Volante
L. Jeréz,8,ARG2,2023,Segundo Volante
L. Jordania,8,GEO,2023,Segundo Volante
L. Joseph,11,FRA2,2023,Extremo
L. Jović,12,ITA1,2023,Atacante
L. Juliš,12,CZH,2023,Atacante
L. Júnior,10,SPA2,2023,Extremo
L. Justiniano,1,BOL,2023,Lateral
L. Justiniano,7,BOL,2023,Primeiro Volante
L. Jutkiewicz,12,ENG2,2023,Atacante
L. Kaĉavenda,10,CRO,2023,Extremo
L. Kåhed,8,SWE,2023,Segundo Volante
L. Kakubava,4,GEO,2023,Zagueiro
L. Kalvach,8,CZH,2023,Segundo Volante
L. Kamal,7,INDO,2023,Primeiro Volante
L. Kamberi,4,SWZ,2023,Zagueiro
L. Kelly,1,ENG1,2023,Lateral
L. Kelly,7,ENG2,2023,Primeiro Volante
L. Kelly,0,SCT,2023,Goleiro
L. Kharabadze,1,GEO,2023,Lateral
L. Kharatishvili,0,GEO,2023,Goleiro
L. Khawlhring,7,IND,2023,Primeiro Volante
L. Khmaladze,8,GEO,2023,Segundo Volante
L. Khorkheli,12,GEO,2023,Atacante
L. Klostermann,4,GER1,2023,Zagueiro
L. Klünter,1,GER2,2023,Lateral
L. Kochladze,8,GEO,2023,Segundo Volante
L. Koleosho,10,ENG1,2023,Extremo
L. Kotev,7,BUL,2023,Primeiro Volante
L. Koutris,1,POL,2023,Lateral
L. Kramer,4,DEN,2023,Zagueiro
L. Krejčí,9,CZH,2023,Meia
L. Krejčí,4,CZH,2023,Zagueiro
L. Kreković,11,FIN,2023,Extremo
L. Krobot,12,CZH,2023,Atacante
L. Kronberger,8,AUT,2023,Segundo Volante
L. Kruspzky,1,ARG2,2023,Lateral
L. Kuavita,8,BEL2,2023,Segundo Volante
L. Kübler,1,GER1,2023,Lateral
L. Kuittinen,4,FIN,2023,Zagueiro
L. Kulenović,12,CZH,2023,Atacante
L. Kupatadze,0,GEO,2023,Goleiro
L. Kurdadze,4,GEO,2023,Zagueiro
L. Kutaladze,0,GEO,2023,Goleiro
L. Kvaratskhelia,10,GEO,2023,Extremo
L. Lacroix,4,AUS,2023,Zagueiro
L. Lacroix,4,ROM,2023,Zagueiro
L. Lacunza,1,ARG2,2023,Lateral
L. Laine,10,FIN,2023,Extremo
L. Łakomy,7,POL,2023,Primeiro Volante
L. Lakvekheliani,1,GEO,2023,Lateral
L. Lamprou,10,HOL,2023,Extremo
L. Landre,4,QAT,2023,Zagueiro
L. Landriel,10,ARG2,2023,Extremo
L. Langoni,11,ARG1,2023,Extremo
L. Lapoussin,1,BEL1,2023,Lateral
L. Lappalainen,1,USA,2023,Lateral
L. Lauberbach,12,GER2,2023,Atacante
L. Le Roux,8,SWE,2023,Segundo Volante
L. Leal,12,ARG1,2023,Atacante
L. Lemoine,4,BEL2,2023,Zagueiro
L. Lemos,7,URU,2023,Primeiro Volante
L. Lerager,8,DEN,2023,Segundo Volante
L. Leroy,7,FRA1,2023,Primeiro Volante
L. Lezzerini,0,ITA2,2023,Goleiro
L. Lindsay,4,ENG2,2023,Zagueiro
L. Lingman,8,FIN,2023,Segundo Volante
L. Lissens,4,BEL2,2023,Zagueiro
L. Lochoshvili,4,ITA1,2023,Zagueiro
L. Lollo,4,ARG1,2023,Zagueiro
L. López,12,ARG1,2023,Atacante
L. López,7,ARG2,2023,Primeiro Volante
L. López,12,ARG2,2023,Atacante
L. López,4,MEX,2023,Zagueiro
L. López,4,SAUD,2023,Zagueiro
L. Lovazzano,8,ARG2,2023,Segundo Volante
L. Lozano,1,URU,2023,Lateral
L. Lukačević,1,AUT,2023,Lateral
L. Luković,9,SER,2023,Meia
L. Lund,0,DEN,2023,Goleiro
L. Lusnig,1,ARG2,2023,Lateral
L. Mabiala,4,USA,2023,Zagueiro
L. Machado,12,URU,2023,Atacante
L. Maciel,8,ARG1,2023,Segundo Volante
L. MacNaughton,4,USA,2023,Zagueiro
L. Madinda,12,INDO,2023,Atacante
L. Madrigal,12,CRC,2023,Atacante
L. Mafouta,12,FRA2,2023,Atacante
L. Magallán,4,MEX,2023,Zagueiro
L. Magallán,4,SPA1,2023,Zagueiro
L. Magnino,8,ITA2,2023,Segundo Volante
L. Mai,4,SWZ,2023,Zagueiro
L. Maidana,1,ARG2,2023,Lateral
L. Maina,10,GER1,2023,Extremo
L. Majer,8,FRA1,2023,Segundo Volante
L. Majer,9,GER1,2023,Meia
L. Majkić,0,CRO,2023,Goleiro
L. Malagón,0,MEX,2023,Goleiro
L. Maloney,7,GER1,2023,Primeiro Volante
L. Maloney,7,GER2,2023,Primeiro Volante
L. Mancuso,12,ITA2,2023,Atacante
L. Mareček,4,CZH,2023,Zagueiro
L. Marin,4,BUL,2023,Zagueiro
L. Marin,1,CRO,2023,Lateral
L. Marinucci,12,ARG2,2023,Atacante
L. Marković,10,TUR,2023,Extremo
L. Martínez,4,ARG2,2023,Zagueiro
L. Martínez,4,ENG1,2023,Zagueiro
L. Martínez,12,ITA1,2023,Atacante
L. Martínez,4,PAR,2023,Zagueiro
L. Martínez,8,PAR,2023,Segundo Volante
L. Martínez Quarta,4,ITA1,2023,Zagueiro
L. Masoero,4,RUS,2023,Zagueiro
L. Masopust,4,CZH,2023,Zagueiro
L. Masscho,1,BEL2,2023,Lateral
L. Mätzler,4,AUT,2023,Zagueiro
L. Mauragis,1,AUS,2023,Lateral
L. Mayo,4,SCT,2023,Zagueiro
L. Mazzitelli,8,ITA1,2023,Segundo Volante
L. Mazzitelli,7,ITA2,2023,Primeiro Volante
L. Mbe Soh,4,FRA2,2023,Zagueiro
L. McCowan,8,SCT,2023,Segundo Volante
L. McNally,4,ENG2,2023,Zagueiro
L. Meisl,4,BEL2,2023,Zagueiro
L. Mejía,0,URU,2023,Goleiro
L. Melano,12,ARG1,2023,Atacante
L. Melgarejo,11,PAR,2023,Extremo
L. Menossi,8,ARG1,2023,Segundo Volante
L. Mercan,1,TUR,2023,Lateral
L. Mertens,12,BEL2,2023,Atacante
L. Messi,12,FRA1,2023,Atacante
L. Meza,4,CRC,2023,Zagueiro
L. Mickels,10,BUL,2023,Extremo
L. Mihrab,10,MOR,2023,Extremo
L. Millar,1,ENG2,2023,Lateral
L. Millar,1,SWZ,2023,Lateral
L. Miller,1,SCT,2023,Lateral
L. Miranda,10,COL,2023,Extremo
L. Mitre,0,ARG2,2023,Goleiro
L. Modrić,8,SPA1,2023,Segundo Volante
L. Montipò,0,ITA1,2023,Goleiro
L. Montoya,1,ARG1,2023,Lateral
L. Monzón,4,URU,2023,Zagueiro
L. Morales,4,ARG1,2023,Zagueiro
L. Morales,1,URU,2023,Lateral
L. Moran,1,COL,2023,Lateral
L. Moreira,0,CRC,2023,Goleiro
L. Moro,12,ITA2,2023,Atacante
