Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil,A,B,C,D,E,F,G,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,Similar_StScaled_D,Similar_StScaled_E,Similar_StScaled_F,Similar_StScaled_G,A1,B1,C1,D1,E1,F1,G1,ID
1587,Cristian Carracedo,SPA2,62,Cristian Carracedo,Córdoba,Córdoba,"RWF, RAMF, RW",RWF,11,30,400000,2028-06-30,38,3287,Spain,Spain,right,179,75,no,5.12,2.87488,8.189748,6.161648,7.393858,0.17,0.3,SPA2,Testing,2026,0.7608936316374538,0.7374491821306208,0.7491714068840373,41,54,95,95,97,43,97,5.12,2.87488,8.189748,6.161648,7.393858,0.17,0.3,-0.2006513019824258,0.0458568816686824,1.989942736031555,2.123498060032471,2.058811592402909,-0.2733583040762827,2.332672238736318,0.4204856202841888,0.5182878392790583,0.9767013780335461,0.9831439310560711,0.9802438546361337,0.3922889005392725,0.9901673228463357,GDE
1588,Yeray Cabanzón,SPA2,13,Yeray Cabanzón,FC Andorra,FC Andorra,"RWF, CF, RW",RWF,11,23,0,2027-06-30,27,1176,Spain,Spain,left,170,64,yes,5.05,3.061416,5.895731999999999,5.4315,5.585104,0.19,0.16,SPA2,Testing,2026,0.6737517083416134,0.6343969537206788,0.6540743310311461,40,63,86,94,77,53,66,5.05,3.061416,5.895731999999999,5.4315,5.585104,0.19,0.16,-0.2562162779160208,0.3025932238872004,0.8161005358216133,1.634368779941475,0.8518189183419866,-0.03764814966320063,0.3332388912480456,0.3988919200458103,0.6189000604600889,0.7927786812459214,0.9489092802234209,0.8028426977345995,0.4849841086161958,0.630523018398308,DEC
1589,Suso,SPA2,59,Suso,Cádiz,Cádiz,"RAMF, RW, CF",RAMF,10,32,4000000,2029-06-30,27,2092,Spain,Spain,left,176,70,no,4.26,2.406628,8.259706,6.277914000000001,5.508697000000001,0.08,0.15,SPA2,Testing,2026,0.6579657274913013,0.623985616048108,0.6409756717697047,18,25,97,97,75,5,61,4.26,2.406628,8.259706,6.277914000000001,5.508697000000001,0.08,0.15,-0.8833067205951617,-0.5986155296433733,2.025740068152293,2.201385152620632,0.8008320570844732,-1.334053998935153,0.1904222235703117,0.1885352868318143,0.2747146488537662,0.9786042858186468,0.9861456154024903,0.7883855610918034,0.09109308008546557,0.5755108578104889,DCE
1590,K. Koné,SPA2,71,K. Koné,Ceuta,Ceuta,"LW, LWF, LAMF",LW,10,29,300000,2026-06-30,33,2491,Côte d'Ivoire,Côte d'Ivoire,left,178,70,no,5.31,3.108358,4.916332,4.154663999999999,6.538664,0.08,0.17,SPA2,Testing,2026,0.5758566064406605,0.5870798991513444,0.5814682527960024,47,66,75,88,91,5,72,5.31,3.108358,4.916332,4.154663999999999,6.538664,0.08,0.17,-0.04983208159124048,0.3672012211446825,0.3149440265010091,0.7790108614451303,1.488135373911695,-1.334053998935153,0.4760555589257795,0.4801281005102176,0.6432655357448002,0.6235979235087421,0.7820133416818509,0.9316424018612937,0.09109308008546557,0.6829826015960072,EDG
1591,Iñigo Córdoba,SPA2,68,Iñigo Córdoba,Burgos,Burgos,"LW, LAMF",LW,10,29,1500000,2026-06-30,40,2801,Spain,Spain,left,180,76,no,9.96,5.207944,5.654739999999999,3.46724,4.242814999999999,0.11,0.09,SPA2,Testing,2026,0.5621358122027058,0.5958551533213765,0.5789954827620412,98,98,84,72,45,16,30,9.96,5.207944,5.654739999999999,3.46724,4.242814999999999,0.11,0.09,3.641269891140412,3.25693848265565,0.6927855373590946,0.318502572389661,-0.04389879090568504,-0.9804887673155294,-0.6664777824960908,0.9998643517269624,0.9994368958120279,0.7557779251495501,0.6249481281553769,0.4824925395454551,0.1634224558067081,0.2525528800172954,ABC
1592,Dani Rodríguez,SPA2,54,Dani Rodríguez,Leganés,Leganés,"LAMF, CF, AMF",LAMF,10,38,1000000,2027-06-30,18,1285,Spain,Spain,right,178,71,no,6.58,3.639818,6.230112,3.710168,3.293073,0.09,0.24,SPA2,Testing,2026,0.5351337327344506,0.5536126868156196,0.5443732097750351,83,86,87,80,30,10,88,6.58,3.639818,6.230112,3.710168,3.293073,0.09,0.24,0.9582753389182648,1.098669122436946,0.9872019382992777,0.4812410826012149,-0.6776674715819783,-1.216198921728612,1.475772232669915,0.8310380320662933,0.8640437922341434,0.8382281741098481,0.684827417202715,0.2489912776914748,0.1119545771914219,0.9299974763311682,GBC
1593,Lucas Ribeiro,SPA2,49,Lucas Ribeiro,Cultural Leonesa,Cultural Leonesa,"RW, RAMF, CF",RW,10,27,0,2026-06-30,27,1557,Brazil,Brazil,left,181,70,no,3.99,2.71628,5.317096,3.812615,7.281000000000001,0.26,0.26,SPA2,Testing,2026,0.5458670085811054,0.5378457143901447,0.541856361485625,11,40,80,81,95,79,93,3.99,2.71628,5.317096,3.812615,7.281000000000001,0.26,0.26,-1.097628770624741,-0.1724301185664308,0.5200139543153476,0.549870767757488,1.983500754550351,0.7873373907825871,1.761405568025383,0.1361833122371555,0.4315496977922508,0.6984730754098096,0.7087959922332385,0.9763442385658809,0.7844578065158332,0.9609151083498984,EGF
1594,David Larrubia,SPA2,23,David Larrubia,Málaga,Málaga,"RW, RAMF, RWF",RW,10,24,0,2028-06-30,43,3916,Spain,Spain,left,172,59,no,8.14,4.780399999999999,4.251463999999999,3.123714,5.748068,0.18,0.12,SPA2,Testing,2026,0.5285854298414956,0.5336818489215803,0.5311336393815379,97,97,55,59,81,49,45,8.14,4.780399999999999,4.251463999999999,3.123714,5.748068,0.18,0.12,2.196580516866948,2.668493985628404,-0.02526725187245665,0.08837303006051711,0.9605657983133171,-0.1555032268697418,-0.2380277794628896,0.9859747905264343,0.9961903928681555,0.4899208974035946,0.5352099018475471,0.8316147338083185,0.4382123051063228,0.4059297742072029,BAE
1595,Aarón Ochoa,SPA2,1,Aarón Ochoa,Málaga,Málaga,"LW, CF, LAMF",LW,10,19,0,2029-06-30,28,972,Spain,"Spain, Republic of Ireland",right,167,60,no,6.02,3.797898,6.294672,3.237611,3.703056,0.13,0.2,SPA2,Testing,2026,0.514066204778461,0.5464615339265502,0.5302638693525056,69,87,88,63,40,26,78,6.02,3.797898,6.294672,3.237611,3.703056,0.13,0.2,0.5137555314495063,1.316240427589321,1.020237127437258,0.1646731193773736,-0.4040832929211325,-0.7447786129024472,0.9045055619589807,0.6962885391518201,0.9059533207101955,0.8461919933191268,0.5653993621349039,0.343075735092324,0.2282027830399405,0.817136306771995,BCG
1596,B. Cipenga,SPA2,51,B. Cipenga,Castellón,Castellón,"LW, LAMF, RW",LW,10,28,550000,2026-06-30,30,2509,Congo DR,Congo DR,right,172,69,no,4.59,2.90601,4.48338,4.197366,4.878177,0.22,0.25,SPA2,Testing,2026,0.5425989996732615,0.5124411860739706,0.527520092873616,29,58,65,90,63,65,90,4.59,2.90601,4.48338,4.197366,4.878177,0.22,0.25,-0.6213575483367864,0.08870224306413689,0.09340358028559753,0.8076171145862008,0.3800821812866069,0.3159170819564227,1.618588900347649,0.2671821984812585,0.535340725071244,0.5372085268510495,0.7903444843516911,0.648057793851198,0.6239672770489213,0.9472321275563567,GDE
1597,Jacobo González,SPA2,70,Jacobo González,Córdoba,Córdoba,"LWF, LAMF, AMF",LWF,11,29,900000,2026-06-30,39,3338,Spain,Spain,right,179,66,no,5.53,3.128116,6.470892000000001,4.500336000000001,3.209162,0.25,0.08,SPA2,Testing,2026,0.5319292036892217,0.5176327689727965,0.5247809863310091,55,69,90,91,26,73,23,5.53,3.128116,6.470892000000001,4.500336000000001,3.209162,0.25,0.08,0.1248006999143435,0.3943948816153341,1.110408456896598,1.010578018388128,-0.7336617982140831,0.6694823135760459,-0.8092944501738245,0.5496593333630329,0.6533552389582513,0.8665884721796719,0.8438907795004688,0.2315774433623587,0.7484060704032162,0.2091728988773541,CDF
1598,Álex Sola,SPA2,47,Álex Sola,Granada,Granada,"RWF, RAMF, RW",RWF,11,27,4000000,2026-06-30,35,2746,Spain,Spain,right,178,75,no,7.44,3.933621,3.50696,3.310984,5.048668,0.2,0.18,SPA2,Testing,2026,0.5166999179883809,0.5070527379506977,0.5118763279695393,95,94,37,68,66,57,76,7.44,3.933621,3.50696,3.310984,5.048668,0.2,0.18,1.640930757531001,1.503040973194051,-0.4062280705524922,0.2138260071044054,0.4938518746740554,0.08020692754334058,0.6188722266035129,0.9495941052706676,0.9335857607398143,0.3422875153585204,0.5846586283872027,0.6892946028097442,0.5319636597336618,0.7319997318751482,ABG
1599,Francho Serrano,SPA2,26,Francho Serrano,Real Zaragoza,Real Zaragoza,"RAMF, RCMF, RB",RAMF,10,24,0,2030-06-30,34,3192,Spain,Spain,right,180,71,no,5.75,2.905073999999999,7.666269,4.086358000000001,1.633495,0.08,0.16,SPA2,Testing,2026,0.5018496647018698,0.4927110167737883,0.497280340737829,61,56,93,86,1,5,66,5.75,2.905073999999999,7.666269,4.086358000000001,1.633495,0.08,0.16,0.2994334814199269,0.08741399191520677,1.722079852283708,0.7332523787732683,-1.78511408291369,-1.334053998935153,0.3332388912480456,0.6176953405552197,0.5348287759941894,0.9574724728509257,0.7682977429693566,0.03712140706144115,0.09109308008546557,0.630523018398308,CDG
1600,Sergi Canós,SPA2,67,Sergi Canós,Real Valladolid,Real Valladolid,"LW, LAMF",LW,10,29,2500000,2027-06-30,21,1088,Spain,Spain,right,177,75,yes,6.53,3.39012,5.622328,3.39312,3.308598,0.16,0.13,SPA2,Testing,2026,0.4931019071552034,0.480858316198448,0.4869801116768257,81,80,83,69,31,38,52,6.53,3.39012,5.622328,3.39312,3.308598,0.16,0.13,0.9185860703942687,0.7550006017263083,0.6762003987230941,0.2688492661553843,-0.6673075435515243,-0.3912133812828239,-0.09521111178515566,0.8208439396808387,0.7748756894118547,0.7505432902724531,0.6059771601811278,0.2522878544469521,0.3478197590535186,0.4620735720781617,ABC
1601,A. Ndiaye,SPA2,64,A. Ndiaye,Real Valladolid,Real Valladolid,"LW, RAMF, RW",LW,10,29,1500000,2027-06-30,19,1125,Senegal,"Senegal, Spain",right,173,70,no,7.36,4.240080000000001,4.719679999999999,3.12,2.639616,0.29,0.05,SPA2,Testing,2026,0.4928299837958837,0.4765296095416461,0.4846797966687649,94,95,72,58,13,83,6,7.36,4.240080000000001,4.719679999999999,3.12,2.639616,0.29,0.05,1.577427927892606,1.924831741195644,0.2143176941843707,0.08588500551445527,-1.113723348618783,1.14090262240221,-1.237744453207026,0.9426514532384692,0.9728747941854559,0.584850339683713,0.5342210843349107,0.1326989447265264,0.8730447759857205,0.1079054152927744,BAF
1602,A. Bassinga,SPA2,6,A. Bassinga,Ceuta,Ceuta,"RAMF, RCMF, RWF",RAMF,10,20,0,2028-06-30,26,952,Côte d'Ivoire,Côte d'Ivoire,,0,0,yes,6.9,3.216612,7.470186000000001,3.310568,3.121704,0.06,0.06,SPA2,Testing,2026,0.4730297243495264,0.4925191505341099,0.4827744374418181,90,75,91,66,22,0,13,6.9,3.216612,7.470186000000001,3.310568,3.121704,0.06,0.06,1.212286657471841,0.516195174003774,1.621744675831685,0.213547326918309,-0.7920230597720509,-1.569764153348235,-1.094927785529292,0.8872986652548958,0.6971409497137951,0.9475709856681517,0.5845499606107047,0.2141736152813746,0.0582349949968259,0.136774137513073,CAB
