Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
849,H. Stengel,Strømsgodset,Strømsgodset,RDMF,RDMF,7,29,750000,2027-12-31,9,834,Norway,Norway,right,180,74,no,3.13,3.342544,10.36,5.288448,1.94,0.970424,0.4320000000000001,0.86,5.180776,NOR,Testing,2025,0.1638209844935753,0.1649628143834634,0.1640005526843276
850,M. Møller Dæhli,Molde,Molde,"DMF, LCMF, RDMF",DMF,7,30,1200000,2027-12-31,8,647,Norway,Norway,right,177,70,no,7.51,2.920535,13.2164,5.562138999999999,1.67,2.505475,0.555,1.53,6.256842000000001,NOR,Testing,2025,0.4000665359722531,0.4076436819434929,0.4035759118462359
851,O. Selnæs,Rosenborg,Rosenborg,"DMF, CB",DMF,7,30,1000000,2027-12-31,9,618,Norway,Norway,left,190,82,no,11.21,2.331888,14.855096,7.715832000000001,1.31,0.729368,0.15,1.31,6.550776000000001,NOR,Testing,2025,0.7548242935438344,0.7115784935510142,0.733076441708652
852,R. Yttergård Jenssen,Tromsø,Tromsø,DMF,DMF,7,37,150000,2025-12-31,9,890,Norway,Norway,left,173,71,no,7.79,1.619232,11.42424,5.260128000000001,0.91,1.619232,0.09998999999999998,0.81,4.54752,NOR,Testing,2025,0.3187943412879827,0.3096792757095663,0.3139156397607527
853,L. Romero,Deportivo Recoleta,Deportivo Recoleta,"DMF, LCMF, RCMF",DMF,7,22,0,,19,1788,Paraguay,Paraguay,unknown,189,80,no,10.27,3.47106,12.228675,5.5848,0.3,0.755112,0.04999499999999999,0.2,4.53,PAR,Testing,2025,0.5587479919725725,0.5928839373203061,0.5756173032819742
854,Juan Fernando Alfaro,Nacional Asunción,Nacional Asunción,"DMF, LCMF, RCMF",DMF,7,25,0,,14,1103,Argentina,Argentina,right,184,77,no,9.22,2.450196,8.895040000000002,5.14019,1.22,1.55183,0.6559999999999999,0.65,5.953066,PAR,Testing,2025,0.4499091220383088,0.4738552062083099,0.4616301432677175
855,W. Rodríguez,Sportivo Luqueño,Sportivo Luqueño,"DMF, LCMF, RCMF",DMF,7,29,125000,,11,585,Paraguay,"Paraguay, Italy",right,182,78,no,11.69,2.306712,6.156048000000001,2.464,0.31,0.9200459999999999,0.155,0.15,2.307476,PAR,Testing,2025,0.5238530662695883,0.5242474429728439,0.5238273494245248
856,G. Viera,Sportivo Trinidense,Sportivo Trinidense,"LDMF, RDMF, DMF",LDMF,7,29,300000,,21,1719,Paraguay,Paraguay,right,175,70,no,9.79,2.565336,11.097942,5.654538000000001,0.79,1.62146,0.5266930000000001,0.47,5.290999,PAR,Testing,2025,0.5170945049812751,0.5326014076041926,0.524625424689788
857,G. Vega,General Caballero JLM,General Caballero JLM,"DMF, RCMF, LCMF",DMF,7,32,50000,,14,893,Argentina,Argentina,right,182,75,no,8.97,2.517696,11.491802,5.03597,0.81,1.009544,0.70875,0.3,5.142257999999999,PAR,Testing,2025,0.444610126610979,0.4486455013097638,0.4463686489179058
858,H. Caballero,Libertad,Libertad,"RDMF, DMF, LCMF",RDMF,7,34,500000,,20,938,Paraguay,Paraguay,right,183,73,no,9.02,3.934517,9.882575999999998,4.509342,1.54,2.400953,0.7667049999999999,0.58,3.937433,PAR,Testing,2025,0.4947747492411405,0.4912143606515478,0.4927571051955028
859,R. Ortiz,Olimpia,Olimpia,"DMF, LCMF, LDMF",DMF,7,35,300000,2025-12-31,21,1778,Paraguay,"Paraguay, Spain",left,174,75,no,6.83,5.717088,14.32284,8.703558999999998,0.3,0.758864,0.15,0.2,6.480804000000001,PAR,Testing,2025,0.535085780476555,0.5528511396312089,0.5437548833031933
860,M. Riveros,Atlético Tembetary,Atlético Tembetary,"DMF, LCMF, RDMF",DMF,7,36,50000,,15,1057,Paraguay,Paraguay,right,176,74,no,7.83,5.025355999999999,12.428744,6.558050000000001,0.17,1.104915,0.085,0.77,6.386632,PAR,Testing,2025,0.5041009768945972,0.5411079361841493,0.5223808742209713
861,E. Ferreira,Atlético Tembetary,Atlético Tembetary,"DMF, LCMF, RCMF",DMF,7,37,0,,17,1371,Paraguay,Paraguay,right,176,77,no,8.27,3.017190000000001,9.451013000000001,4.397976,0.33,0.656601,0.13334,0.72,4.597989999999999,PAR,Testing,2025,0.3334648390261709,0.3643557766474507,0.3486053780048183
862,E. Villar Callupe,Sport Huancayo,Sport Huancayo,"RDMF, RCMF, AMF",RDMF,7,20,0,,10,832,Peru,Peru,,0,0,no,8.55,1.301096,8.222067000000001,3.46053,0.65,0.54,0.213344,0.11,3.244845,PER,Testing,2025,0.2461549509230033,0.2701396833403809,0.2577998795717476
863,L. Duque,Binacional,Binacional,"DMF, RCMF",DMF,7,23,150000,,9,686,Peru,Peru,,0,0,no,9.05,2.625964,8.002872,4.332544,1.18,1.443645,0.6583070000000001,0.52,4.33125,PER,Testing,2025,0.407985629749083,0.4125857346241387,0.4100094967546822
864,C. Flores,Juan Pablo II College,Juan Pablo II College,"DMF, RCMF, LDMF",DMF,7,24,225000,,8,611,Peru,Peru,right,175,70,no,12.23,1.915,8.10047,3.680262,0.88,2.648748,0.8828130000000001,0.29,3.534678000000001,PER,Testing,2025,0.5738466699179668,0.5901383373348316,0.5817967349678334
865,O. Valenzuela,Cusco,Cusco,"LDMF, LCMF, DMF",LDMF,7,24,300000,2026-12-31,13,1301,Peru,Peru,right,171,70,no,5.95,1.86789,11.066224,4.705742999999999,0.28,0.89991,0.21,0.28,5.260612,PER,Testing,2025,0.1397091844048524,0.1762193807587463,0.1575699255324796
866,A. Aoki,Alianza Universidad,Alianza Universidad,"DMF, LDMF",DMF,7,24,250000,2025-12-31,10,582,Peru,"Peru, Japan",right,177,70,no,4.18,2.629935000000001,10.977728,5.877794999999999,0.46,0.92735,0.31,1.7,7.111162999999999,PER,Testing,2025,0.1731492900899482,0.1926771973112406,0.1825305711896937
867,J. Pretell,Sporting Cristal,Sporting Cristal,"RDMF, RCMF",RDMF,7,26,425000,2026-12-31,10,862,Peru,Peru,right,171,65,no,8.67,2.194776,8.4564,4.904907,0.84,1.98651,0.417122,0.63,4.492215,PER,Testing,2025,0.3555961951345432,0.3681682694991137,0.3615833777257742
868,M. Távara,Sporting Cristal,Sporting Cristal,"DMF, LCMF, LDMF",DMF,7,26,500000,2025-12-31,12,768,Peru,Peru,left,180,73,no,8.09,5.857588,12.654152,8.324219999999999,2.34,1.638964,0.8224529999999999,0.35,7.385070000000001,PER,Testing,2025,0.6531659211752697,0.6618383360318503,0.6573417239471205
869,J. Soto,Juan Pablo II College,Juan Pablo II College,"RDMF, LCMF, DMF",RDMF,7,28,0,,8,686,Peru,Peru,right,176,0,no,8.0,1.179,9.710025,3.413504000000001,0.13,1.18125,0.129987,0.13,4.853219999999999,PER,Testing,2025,0.2119045563999501,0.2362128120433447,0.223695281670656
870,J. Murrugarra,Universitario,Universitario,DMF,DMF,7,28,550000,2026-12-31,11,622,Peru,Peru,right,178,70,no,12.01,3.32469,9.117804,4.628365,0.0,0.58,0.0,0.0,4.9164,PER,Testing,2025,0.6732481241053176,0.6738892295252106,0.6734157967286433
871,C. Diez,Cusco,Cusco,"RDMF, RCMF",RDMF,7,29,325000,,13,1074,Peru,Peru,right,176,71,no,5.11,0.417622,5.449318,1.673417,1.84,2.264148,1.087878,0.42,2.51348,PER,Testing,2025,0.0006593228825623812,0.01110562277554687,0.005416890138697716
