Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Contra-pressão (p90),Interceptações (p90),Recuperações linha alta (p90),Intensidade defensiva (p90)
BRA1,2024,339845.0,Paulinho,Atletico MG,2208.0,FW,Atacante,Atacante,1.3659400048063517,0.9424665689711932,3.942597158300911,2.6231218335506803
BRA1,2024,348261.0,Yuri Alberto,Corinthians,2487.0,FW,Atacante,Atacante,-0.295913442025497,0.3197548106524679,-0.0886856571197922,-0.5230864099221899
BRA1,2024,351703.0,André Silva,Sao Paulo,1763.0,FW,Atacante,Atacante,0.5808858925306755,0.7109243575344575,0.0804171637552565,-0.8037860716753225
BRA1,2024,355714.0,Alerrandro,Vitoria,2617.0,FW,Atacante,Atacante,-1.743387475090732,1.2852600061617436,-0.4509756906354774,1.2058701770236262
BRA1,2024,357902.0,Gabriel Taliari,Juventude,1046.0,FW,Atacante,Atacante,-2.205240656799004,-0.6560763633763927,-1.08713835289588,-1.3617203070769852
BRA1,2024,363104.0,Rony,Palmeiras,1972.0,FW,Atacante,Atacante,-0.7517317359854241,-0.1567473891338881,-0.7726608799393212,-0.3920302605387556
BRA1,2024,363561.0,Jan Hurtado,Atletico GO,968.0,FW,Atacante,Atacante,0.1994424535367166,-0.0968988494162936,-0.6867151626754542,0.1115922124815503
BRA1,2024,363936.0,Kaio Jorge,Cruzeiro,1307.0,FW,Atacante,Atacante,0.8517236489001663,-0.90805491481787,-0.6360098710678351,-0.5484838703136481
BRA1,2024,373531.0,Júnior Santos,Botafogo RJ,1665.0,FW,Atacante,Atacante,-0.1431972036633627,-0.3910189029498457,0.6189556781044577,0.2447434876910327
BRA1,2024,397497.0,Igor Jesus,Botafogo RJ,1634.0,FW,Atacante,Atacante,-0.4870062486528663,-0.3223840377248306,1.0796904325698755,-0.0327289542444162
BRA1,2024,397899.0,Germán Cano,Fluminense,1809.0,FW,Atacante,Atacante,0.8070942498322153,-0.6598427328812171,-0.8815988872546154,-1.1510575615797587
BRA1,2024,407306.0,Derik Lacerda,Cuiaba,1577.0,FW,Atacante,Atacante,-0.3870429807077732,-0.3936574944194365,-0.4257355011691059,0.0346454140321158
BRA1,2024,408110.0,José López,Palmeiras,2400.0,FW,Atacante,Atacante,1.6418600440800095,-0.494482260138477,-0.3138438349915742,-0.7683937601879856
BRA1,2024,436763.0,Isidro Pitta,Cuiaba,3238.0,FW,Atacante,Atacante,-0.7477898962633456,-0.715642023550663,-0.6606208773862378,-1.437036282430054
BRA1,2024,438312.0,Cadu,Atletico MG,1131.0,FW,Atacante,Atacante,2.207512495502996,2.739777465574892,0.5759333403704857,3.012722639299766
BRA1,2024,446066.0,Lautaro Díaz,Cruzeiro,1072.0,FW,Atacante,Atacante,-0.9347149241855186,0.1472305926969068,-0.1472898248677624,-0.7514534590012057
BRA1,2024,460759.0,Thiago Borbas,Red Bull Bragantino,1088.0,FW,Atacante,Atacante,0.2344142839987855,-0.0645264892579422,-0.7509795634806623,-1.5754046801326802
BRA1,2024,472422.0,Janderson,Vitoria,1589.0,FW,Atacante,Atacante,0.7707286432826035,0.2617591626803547,0.3059750383331759,1.6491208469717549
BRA1,2024,474116.0,Emiliano Rodríguez,Atletico GO,1243.0,FW,Atacante,Atacante,-0.1672075524813544,-0.7351274545196965,-0.3315259930682911,0.2748782925533297
BRA1,2024,477777.0,Luciano Rodríguez,Bahia,1038.0,FW,Atacante,Atacante,-0.537189600691046,0.257957706628162,-0.0018514543461329,-0.896511829551831
BRA1,2024,478297.0,Kauã Elias,Fluminense,1662.0,FW,Atacante,Atacante,1.130313124422656,-0.0661304074867691,0.837064201518853,0.7391753755108645
BRA1,2024,523263.0,Derek,Atletico GO,1125.0,FW,Atacante,Atacante,-1.1677181650472674,-0.2007512892748914,-0.93588482265645,-0.3442322694881204
