Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
830,G. Dietsch,RFC Seraing,RFC Seraing,GK,GK,0,22,900000,2025-06-30,23,2210,France,France,right,184,73,no,0.449183,62.4,-0.215,1.71,3.14,-0.1235294117647059,2.664921465968586,BEL1,Testing,2023,0.4071024979461012,0.3875932414806573,0.397
831,T. Ahumada,Audax Italiano,Audax Italiano,GK,GK,0,22,500000,,25,2562,Chile,Chile,right,181,74,no,0.42,68.63,0.072,0.98,1.12,0.06666666666666654,3.196428571428571,CHI,Testing,2023,0.4126851484243059,0.3810726320906148,0.397
832,A. Quesada,Diriangén,Diriangén,GK,GK,0,35,100000,,20,1890,Costa Rica,Costa Rica,left,189,89,no,0.3,71.32,-0.064,1.25,1.9,-0.03351955307262577,3.486486486486486,CRC,Testing,2023,0.404611777674402,0.3897882823119598,0.397
833,J. Hanuš,Jablonec,Jablonec,GK,GK,0,35,250000,,33,3237,Czech Republic,Czech Republic,right,188,85,no,0.331773,68.15,0.067,1.47,1.39,0.04794520547945214,3.143884892086331,CZH,Testing,2023,0.4012810251300025,0.392002944795837,0.397
834,S. Lung,CSMS Iaşi,CSMS Iaşi,GK,GK,0,34,300000,,19,1957,Romania,Romania,right,189,78,no,0.463641,63.27,-0.067,1.52,1.93,-0.04402515723270439,2.716867469879518,SAUD,Testing,2023,0.396159759210774,0.3973992476391113,0.397
835,Álvaro Vallés,Las Palmas,Las Palmas,GK,GK,0,26,800000,2024-06-30,19,1868,Spain,Spain,right,192,80,no,0.241657,76.19,-0.007,0.92,1.54,0.0,4.222222222222222,SPA2,Testing,2023,0.4053419121459888,0.3880836492973277,0.397
836,H. Bačkovský,Slovan Liberec,Slovan Liberec,GK,GK,0,24,200000,2025-06-30,12,1173,Czech Republic,Czech Republic,right,185,82,no,0.383318,66.67,-0.112,2.07,1.46,-0.1145833333333335,3.009345794392523,CZH,Testing,2023,0.3980619814708453,0.3933654068433689,0.396
837,Victor Braga,Al Ta'ee,Al Ta'ee,GK,GK,0,31,700000,2024-06-30,33,3400,Brazil,"Brazil, Portugal",right,193,87,no,0.477,65.92,-0.147,1.61,1.64,-0.09523809523809534,2.944099378881988,SAUD,Testing,2023,0.3992552561177873,0.3934046519028506,0.396
838,J. Tånnander,Sirius,Sirius,GK,GK,0,23,150000,2024-12-31,19,1823,Sweden,Sweden,left,195,80,no,0.391116,64.56,-0.077,1.83,1.63,-0.05343511450381677,2.826086956521739,SWE,Testing,2023,0.4030260868546468,0.3881862428933391,0.396
839,H. Bushchan,Dynamo Kyiv,Dynamo Kyiv,GK,GK,0,29,10000000,2026-06-30,14,1349,Ukraine,Ukraine,right,196,84,no,0.27,75.44,-0.045,1.27,1.13,-0.04494382022471921,4.086021505376344,UKR,Testing,2023,0.4162987755887906,0.3756876833387257,0.396
840,J. Ruddy,Birmingham City,Birmingham City,GK,GK,0,37,300000,2024-06-30,42,4125,England,England,right,193,97,no,0.482334,67.02,-0.303,1.85,2.12,-0.2857142857142858,3.037037037037037,ENG2,Testing,2023,0.3871245463374719,0.4019161300624012,0.395
841,T. Weiner,Holstein Kiel,Holstein Kiel,GK,GK,0,24,100000,2024-06-30,13,1294,Germany,Germany,right,190,83,no,0.49,69.84,-0.044,0.97,1.11,-0.03125,3.318181818181818,GER2,Testing,2023,0.3998682716123373,0.3898011551236465,0.395
842,B. Klaiman,PAS Giannina,PAS Giannina,GK,GK,0,33,400000,,30,2926,Ukraine,"Ukraine, Israel",left,186,76,no,0.368553,68.87,-0.089,1.75,1.38,-0.06617647058823528,3.2,GRE,Testing,2023,0.4022073517661685,0.3886895648404182,0.395
843,Ricardo Velho,Farense,Farense,GK,GK,0,25,425000,2025-06-30,12,1196,Portugal,Portugal,right,188,82,no,0.38,68.57,-0.009,1.58,0.68,-0.01219512195121952,3.168674698795181,POR2,Testing,2023,0.4013154312127253,0.3883955645991234,0.395
844,L. Lund,Viborg,Viborg,GK,GK,0,23,700000,2025-12-31,33,3196,Denmark,Denmark,right,195,85,no,0.281821,70.27,0.018,1.24,1.63,0.01587301587301593,3.362903225806452,DEN,Testing,2023,0.3999096271900373,0.3871308995149674,0.394
845,J. Blaswich,RB Leipzig,RB Leipzig,GK,GK,0,32,2000000,2026-06-30,31,3043,Germany,Germany,right,193,88,no,0.410652,65.56,0.016,1.33,1.54,0.010752688172043,2.891304347826087,GER1,Testing,2023,0.3977529785729039,0.3901625569027953,0.394
846,E. Kardeşler,Hatayspor,Hatayspor,GK,GK,0,29,450000,2026-06-30,21,2142,Turkey,Turkey,right,184,79,no,0.34,69.3,-0.115,1.55,1.68,-0.0808823529411764,3.258503401360545,TUR,Testing,2023,0.401353940142873,0.3866740096963292,0.394
847,A. Koşelev,Lamia,Lamia,GK,GK,0,30,400000,,16,1583,Moldova,"Moldova, Russia",right,200,87,no,0.45,65.71,-0.186,2.05,1.19,-0.152542372881356,2.926470588235294,GRE,Testing,2023,0.3983062607977995,0.387653170048478,0.393
848,D. Epassy,Abha,Abha,GK,GK,0,30,700000,2024-06-30,23,2355,Cameroon,"Cameroon, France",right,189,80,no,0.38,69.47,-0.071,0.92,1.83,-0.04794520547945202,3.274509803921569,SAUD,Testing,2023,0.4074492075785741,0.3781734342028603,0.393
849,Z. Saidi,ES Sétif,ES Sétif,GK,GK,0,27,600000,2024-06-30,12,1138,Algeria,Algeria,right,183,82,no,0.39,72.73,-0.179,1.31,2.09,-0.1799999999999999,3.661016949152543,ALG,Testing,2023,0.3728138048286872,0.4117154839364712,0.392
850,W. Foderingham,Sheffield United,Sheffield United,GK,GK,0,32,700000,2024-06-30,15,1552,England,England,left,185,75,no,0.35,64.35,0.02,1.39,2.26,0.008333333333333304,2.802521008403362,ENG1,Testing,2023,0.3951108281449392,0.388335497936893,0.392
851,D. Kereselidze,Dinamo Tbilisi,Dinamo Tbilisi,GK,GK,0,24,175000,2024-12-31,14,1382,Georgia,Georgia,right,191,79,no,0.39,68.33,0.102,1.04,0.98,0.0746268656716419,3.153225806451613,GEO,Testing,2023,0.41133175133551,0.3735824912482217,0.392
852,E. Rizky,Barito Putera,Barito Putera,GK,GK,0,31,125000,,26,2452,Indonesia,Indonesia,right,176,0,no,0.443088,63.54,-0.176,2.06,1.84,-0.1531531531531531,2.75,INDO,Testing,2023,0.3930539915852493,0.3917529776423438,0.392
853,A. Gudiño,Cruz Azul,Cruz Azul,GK,GK,0,26,600000,,14,1385,Mexico,Mexico,right,183,86,no,0.45,69.44,-0.009,0.91,1.36,-0.007042253521126751,3.272727272727272,MEX,Testing,2023,0.396091686905284,0.3876699571815918,0.392
854,C. Atamañuk,San Telmo,San Telmo,GK,GK,0,27,0,,18,1753,Argentina,Argentina,right,192,0,no,0.516646,64.63,-0.071,1.33,1.49,-0.04929577464788748,2.825503355704698,ARG2,Testing,2023,0.3967987314523151,0.3850627633544567,0.391
855,Luiz Daniel,Sampaio Corrêa,Sampaio Corrêa,GK,GK,0,30,250000,,33,3303,Brazil,Brazil,right,186,84,no,0.437892,68.1,0.001,1.31,1.12,0.0,3.128712871287129,BRA2,Testing,2023,0.3977450451550889,0.3841682011804594,0.391
856,J. Karlström,Molde,Molde,GK,GK,0,26,800000,2025-12-31,22,2067,Norway,Norway,right,200,90,no,0.48,64.52,-0.114,1.57,1.79,-0.1428571428571428,2.8125,NOR,Testing,2023,0.395766655823526,0.3858863129692974,0.391
857,D. Kuciak,Lechia Gdańsk,Lechia Gdańsk,GK,GK,0,38,100000,2024-06-30,16,1546,Slovakia,Slovakia,right,194,92,no,0.113339,73.97,0.054,1.22,1.51,0.04310344827586188,3.828828828828828,POL,Testing,2023,0.3969128783717361,0.3858243911494249,0.391
