Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
786,T. Dolan,Blackburn Rovers,Blackburn Rovers,"RAMF, AMF",RAMF,10,23.0,5000000,2025-06-30,44,3409,England,England,right,170,55,no,5.93,2.893759,4.356573,2.38212,4.006016,0.18,0.1,ENG2,Testing,2025,0.34042142091247,0.3234767801890918,0.3299707202649416
787,L. Laine,SJK,SJK,"RWF, LW, LWF",RWF,11,20.0,0,2025-12-31,11,577,Finland,Finland,right,178,74,no,3.12,2.493458,3.743922,2.962577,7.801386,0.13,0.22,FIN,Testing,2025,0.3643681731214148,0.3712333725460626,0.3659285644604249
788,A. Björkskog,Jaro,Jaro,"RW, RAMF, RWF",RW,10,20.0,0,2025-12-31,9,597,Finland,Finland,unknown,0,0,no,7.24,4.218291,2.562895999999999,2.112189,2.563191999999999,0.14,0.14,FIN,Testing,2025,0.3639126798679155,0.3726092672973349,0.3663901280576961
789,A. Essomba,Inter Turku,Inter Turku,"RWF, RW, RAMF",RWF,11,21.0,0,,9,749,Cameroon,Cameroon,right,177,69,no,4.81,3.487025,6.248047000000001,3.72821,3.846256,0.26,0.16,FIN,Testing,2025,0.4971541131469043,0.4868367378725367,0.4904910098490031
790,A. Huttunen,Mariehamn,Mariehamn,"LW, LAMF, RWF",LW,10,23.0,25000,,10,857,Finland,Finland,right,172,58,no,2.84,1.785105,5.883870000000001,4.098792,1.57686,0.1,0.07,FIN,Testing,2025,0.3099982845874417,0.3074372655465697,0.3066705970347837
791,S. Kähkönen,Jaro,Jaro,"LW, LAMF, CF",LW,10,25.0,50000,2025-12-31,8,570,Finland,Finland,,187,0,no,8.53,4.419161999999999,3.634,1.42,3.159125,0.16,0.08,FIN,Testing,2025,0.4241883988442822,0.4133217443898358,0.4170337603988494
792,Hugo Cardoso,Mariehamn,Mariehamn,"RW, RAMF, LWF",RW,10,26.0,25000,2025-12-31,10,916,Portugal,"Portugal, Cape Verde Islands",left,176,63,no,8.74,4.7168,6.093638000000001,4.619232,4.517782,0.1,0.14,FIN,Testing,2025,0.7072875712890611,0.6971134339970957,0.7013185928137683
793,S. Hostikka,HJK,HJK,"LAMF, LW, AMF",LAMF,10,27.0,300000,,9,706,Finland,Finland,right,183,76,no,5.48,2.9325,8.28841,6.376668,7.139104,0.35,0.19,FIN,Testing,2025,0.7299280406009012,0.7055704729650718,0.7169133933682311
794,J. Da Sylva,Haka,Haka,"RAMF, RW, RWF",RAMF,10,28.0,0,2025-06-30,9,855,France,"France, Senegal",right,180,72,no,6.21,3.791052,2.525588,2.211008,5.473387,0.19,0.21,FIN,Testing,2025,0.3820648364240048,0.3902149827157137,0.3843220111100685
795,R. Karjalainen,SJK,SJK,"LWF, LAMF, LW",LWF,11,29.0,250000,2025-12-31,11,743,Finland,Finland,right,186,82,no,3.15,1.576347,6.17646,4.963170000000001,1.212183,0.3,0.11,FIN,Testing,2025,0.3884204974951516,0.3750996242420211,0.3799291918307563
796,Danny Barrow,Oulu,Oulu,"RAMF, LAMF, LCMF",RAMF,10,29.0,100000,2025-12-31,10,594,England,"England, Wales",left,170,66,no,3.33,1.969335,3.332565,2.270394,4.09125,0.09,0.11,FIN,Testing,2025,0.2107187903317028,0.1978057513795207,0.2019057560491266
797,R. Cabella,Lille,Lille,"RAMF, LAMF, AMF",RAMF,10,35.0,3500000,2025-06-30,23,1129,France,"France, Italy",right,171,68,no,7.65,5.18103,9.888296,6.453225,3.9053,0.24,0.23,FRA1,Testing,2025,0.8615707774216133,0.7992567323524911,0.8299115385374334
798,Z. Ferhat,Angers SCO,Angers SCO,"RAMF, RW",RAMF,10,32.0,1500000,2025-06-30,24,975,Algeria,Algeria,right,180,70,no,5.26,2.309376,5.6303,4.708067,2.67525,0.06,0.3,FRA1,Testing,2025,0.4679162657343525,0.4603714444574615,0.4625569591962111
799,J. Ito,Reims,Reims,"RW, RAMF, RWF",RW,10,32.0,8000000,2026-06-30,33,2914,Japan,Japan,right,177,66,no,5.31,3.119296,5.928405000000001,5.06869,3.736479,0.18,0.22,FRA1,Testing,2025,0.5625649194456706,0.5423434854977858,0.5511288307319847
800,J. Allevinah,Angers SCO,Angers SCO,"RAMF, LAMF, RW",RAMF,10,30.0,2000000,2027-06-30,28,1879,France,"France, Gabon",right,172,61,no,4.84,2.347884,4.310003,1.4841,3.20819,0.21,0.1,FRA1,Testing,2025,0.2227376635736154,0.2109547052953457,0.2145269359000169
801,M. Simon,Nantes,Nantes,"LAMF, LWF, CF",LAMF,10,29.0,12000000,2026-06-30,32,2816,Nigeria,Nigeria,right,168,69,no,3.2,1.597524,2.55576,3.067365,5.913045,0.2,0.22,FRA1,Testing,2025,0.2913244490596512,0.2836674299120305,0.285385914653805
802,A. Onaiwu,Auxerre,Auxerre,"LW, CF, RWF",LW,10,29.0,1800000,2026-06-30,31,1129,Japan,Japan,right,180,75,no,4.7,2.38908,4.544358,2.3925,2.072412,0.2,0.08,FRA1,Testing,2025,0.2379412155270481,0.2232740745237514,0.2283291499759772
803,R. Del Castillo,Brest,Brest,"RWF, RW, RAMF",RWF,11,29.0,10000000,2027-06-30,26,1389,France,"France, Spain",left,172,65,no,5.44,3.238961999999999,6.543098,5.441392,3.49716,0.31,0.34,FRA1,Testing,2025,0.638661825640887,0.6066804152836996,0.6215536906120069
804,A. Golovin,Monaco,Monaco,"LAMF, LCMF",LAMF,10,28.0,30000000,2029-06-30,19,1301,Russia,Russia,right,178,69,no,8.23,4.911516,10.515498,6.850272,3.80467,0.14,0.1,FRA1,Testing,2025,0.8653858880923275,0.8087303914864862,0.8365756002639839
805,G. Perrin,Auxerre,Auxerre,"RW, RWF",RW,10,28.0,3000000,2026-06-30,34,2907,France,France,right,169,63,no,4.27,2.87924,6.005143999999999,3.499762,4.490159999999999,0.16,0.2,FRA1,Testing,2025,0.4570299179583591,0.4612389558076527,0.4575327059845934
806,M. Pereira Lage,Brest,Brest,"LWF, RAMF, LAMF",LWF,11,28.0,2500000,2025-06-30,29,1742,France,"France, Portugal",right,180,69,no,7.59,4.133602,3.510906,2.373452,2.118044,0.19,0.2,FRA1,Testing,2025,0.4240430617240626,0.4168017909374319,0.4187060528526078
807,J. Boga,Nice,Nice,"LW, LWF, AMF",LW,10,28.0,15000000,2027-06-30,21,1145,France,"France, Côte d'Ivoire",right,172,68,no,2.44,1.0244,4.086875,2.434642,6.053895,0.21,0.26,FRA1,Testing,2025,0.2757230614754506,0.2553713566132477,0.2633721847704438
808,O. Dembélé,PSG,PSG,"RWF, CF",RWF,11,28.0,60000000,2028-06-30,29,1862,France,"France, Mauritania",both,178,67,no,2.03,1.258617,8.215296,5.949086000000001,4.397600000000001,0.61,0.29,FRA1,Testing,2025,0.6269925823496246,0.5983894040383053,0.6115440079803761
809,F. El Melali,Angers SCO,Angers SCO,"LAMF, LW, CF",LAMF,10,27.0,1500000,2025-06-30,32,2059,Algeria,Algeria,right,168,65,no,5.86,2.62493,3.627,1.22366,4.285614000000001,0.16,0.13,FRA1,Testing,2025,0.2556383154885727,0.2728472533526737,0.2620638971956133
810,I. Cardona,Saint-Étienne,Saint-Étienne,"RWF, CF",RWF,11,27.0,2500000,2027-06-30,15,1114,France,"France, Malta",right,185,75,yes,4.61,1.7765,2.828202,2.90766,2.424312,0.41,0.18,FRA1,Testing,2025,0.2161969021155839,0.2369162885258533,0.2242661034056691
811,A. Nordin,Mainz 05,Montpellier,"RAMF, LAMF, LW",RAMF,10,26.0,8000000,2025-06-30,16,1275,France,"France, Martinique",left,170,70,no,4.52,2.327735,2.679456,2.259,6.071108000000001,0.28,0.13,FRA1,Testing,2025,0.2909567754512335,0.2902178585614738,0.2884864470461214
812,S. Thomas,Nantes,Nantes,"RAMF, RW, RWB",RAMF,10,26.0,4200000,2026-06-30,25,1432,England,"England, Wales",right,185,75,yes,6.22,3.20813,4.20861,4.401177000000001,2.89041,0.09,0.28,FRA1,Testing,2025,0.5095389199728956,0.4929181884323796,0.4997514817275932
