Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Sucesso em desarmes (%),Posses recuperadas (p90),Ações defensivas (p90),Sucesso em 1v1 defensivo (%)
BRA1,2024,83705.0,Damián Suárez,Botafogo RJ,1394.0,DR,Lateral,Lateral,0.1237846964884722,-0.5427689970283873,-1.3021949950745872,1.2696723881622574
BRA1,2024,87833.0,Raúl Cáceres,Vitoria,1898.0,DR,Lateral,Lateral,-0.4213401597076637,-1.953986479432145,-1.8936645498610905,-0.4812653112680318
BRA1,2024,88112.0,Santiago Arias,Bahia,2108.0,DR,Lateral,Lateral,0.6729441970140183,0.662613275493194,0.6247517160824773,1.080075491862788
BRA1,2024,93433.0,Diogo Barbosa,Fluminense,2088.0,DL,Lateral,Lateral,0.619340206716572,0.1316622116653081,0.5336197928241171,0.1924925988215107
BRA1,2024,97813.0,Miguel Trauco,Criciuma,1646.0,DL,Lateral,Lateral,0.4850597342268608,-1.2254885916300038,-1.4516428668259804,-0.2305319051027139
BRA1,2024,102166.0,Fágner,Corinthians,1030.0,DR,Lateral,Lateral,-3.236711868594301,-0.5339795587047976,-1.1308253767998475,-0.7450357229893105
BRA1,2024,110930.0,Reinaldo,Gremio,2842.0,DL,Lateral,Lateral,0.2512961948901035,-0.0287381966954405,-0.0814655350574556,-0.2415423613237436
BRA1,2024,114105.0,Renê,Internacional,1168.0,DL,Lateral,Lateral,0.1089751789710077,3.416484054560468,3.5154084821556,1.799442335150009
BRA1,2024,114194.0,Madson,Athletico Paranaense,1110.0,DR,Lateral,Lateral,-0.6057796290784498,-1.5114124259219044,-1.1433361859444862,-3.2048935230060818
BRA1,2024,119542.0,Gilberto,Bahia,1488.0,DR,Lateral,Lateral,0.1280648116448278,0.8250330113577314,0.9230275012231872,0.8943272562651208
BRA1,2024,121718.0,Marçal,Botafogo RJ,1138.0,DL,Lateral,Lateral,0.7472154083321997,0.0959280932725804,0.5851546058799678,0.6139873081746606
BRA1,2024,130563.0,Mayke,Palmeiras,1178.0,DR,Lateral,Lateral,0.1952416872312739,1.5108021465937798,0.799763522652224,-0.7251016051346788
BRA1,2024,144146.0,Leonardo Godoy,Athletico Paranaense,1813.0,DR,Lateral,Lateral,0.798574478245901,-1.980093801943745,-1.8896964435621288,-1.237697901432012
BRA1,2024,145385.0,Guillermo Varela,Flamengo,1168.0,DR,Lateral,Lateral,0.8345415542380482,-0.3785838312936901,-0.3201981192885033,-0.5368936884059062
BRA1,2024,146526.0,Tinga,Fortaleza,2437.0,DR,Lateral,Lateral,-0.0926310631564379,-0.3591116815941486,0.4297280925006673,-0.3909470523806049
BRA1,2024,146674.0,Alan Ruschel,Juventude,2546.0,DL,Lateral,Lateral,-0.410859974134796,-0.5560239355387916,-0.3834758559065832,0.4267742451492257
BRA1,2024,243212.0,João Pedro,Gremio,3061.0,DR,Lateral,Lateral,-2.1893007917684457,-1.0436557475733912,-1.0545493595070647,-1.302410288503061
BRA1,2024,243276.0,William,Cruzeiro,3318.0,DR,Lateral,Lateral,0.4205832863525815,1.4838868436498218,1.113839381309507,0.9435876006286458
BRA1,2024,255362.0,Marcelo Hermes,Criciuma,3596.0,DL,Lateral,Lateral,-0.9906476882085298,-1.3127075944138182,-0.974869572065175,-0.813070733058318
BRA1,2024,280413.0,Samuel Xavier,Fluminense,3061.0,DR,Lateral,Lateral,0.0198580581189994,0.0956305120551883,0.398154796965254,0.3155498375692983
BRA1,2024,297581.0,Ayrton Lucas,Flamengo,2644.0,DL,Lateral,Lateral,-0.692051096360781,0.3844560213558898,-0.1052631784055019,0.2292587558213608
BRA1,2024,328564.0,Fabricio Bustos,Internacional,961.0,DR,Lateral,Lateral,0.5672052656137604,1.5663552081124523,1.4066457903495786,1.8904930569405949
BRA1,2024,337900.0,Juninho Capixaba,Red Bull Bragantino,2069.0,DL,Lateral,Lateral,1.399872251228812,0.6595201890532002,1.9391113139885388,0.1950843406904151
BRA1,2024,337971.0,Bruno Pacheco,Fortaleza,1368.0,DL,Lateral,Lateral,-1.2090407500439455,-0.4754560586586436,-0.4060034157791904,-0.5767108943110427
BRA1,2024,341745.0,Marlon,Cruzeiro,2436.0,DL,Lateral,Lateral,0.9093313697426002,0.3072656045760544,0.078696999507205,-1.2484030111174156
BRA1,2024,358143.0,Felipe Jonatan,Fortaleza,1689.0,DL,Lateral,Lateral,0.6190489650860422,-0.6890762201174147,-0.1938942452297728,0.140728505053085
BRA1,2024,358560.0,Willean Lepo,Vitoria,2055.0,DR,Lateral,Lateral,0.787140883518496,0.8325616413270828,0.3998302633191671,0.6770796365987836
BRA1,2024,373429.0,Igor Vinícius,Sao Paulo,2722.0,DR,Lateral,Lateral,-1.9957255219260248,0.8445524418256781,0.6816157166990384,0.966421290258151
BRA1,2024,373513.0,Lucas Piton,Vasco da Gama,3000.0,DL,Lateral,Lateral,0.292156218771945,-0.2110692906630122,-0.5072612524594853,0.2000544488619936
BRA1,2024,374916.0,Caio Paulista,Palmeiras,1350.0,DL,Lateral,Lateral,0.233583295952063,0.4328767336943239,-0.2540974126575285,0.1870642802695638
BRA1,2024,376939.0,João Lucas,Juventude,2890.0,DR,Lateral,Lateral,-0.5738828295995011,0.0937618682381016,-0.2454330371890487,-0.5480350917762565
BRA1,2024,381686.0,Lucas Esteves,Vitoria,3306.0,DL,Lateral,Lateral,0.8814126621812611,-0.429213008658069,-0.5134908783321841,1.017431932383221
BRA1,2024,383128.0,Bruno Gomes,Internacional,2431.0,DR,Lateral,Lateral,0.4723836906051791,1.380092911922909,1.320580908878192,1.4617405320512225
BRA1,2024,386203.0,Alexandro Bernabéi,Internacional,2314.0,DL,Lateral,Lateral,1.4069897065205752,2.2788522301178333,1.4529650123591529,0.9829555992189146
BRA1,2024,388576.0,José Rodríguez,Vasco da Gama,1274.0,DR,Lateral,Lateral,-1.3448226320693282,-1.1726570528206002,-0.6725839204573492,-0.8240758517223389
BRA1,2024,389158.0,Welington,Sao Paulo,1896.0,DL,Lateral,Lateral,-0.0394397415539948,-0.2345247898616838,-0.1053498796911937,-0.7032322608880653
BRA1,2024,397517.0,Luciano Juba,Bahia,3462.0,DL,Lateral,Lateral,-1.90230937420978,0.6579348049686617,0.7084974972286318,-1.7934808863282887
BRA1,2024,397584.0,Michel Araújo,Sao Paulo,988.0,DL,Lateral,Lateral,0.36403080198874,0.6262560141101413,0.8894316494159562,1.415246081993398
BRA1,2024,397843.0,Ramon,Cuiaba,2962.0,DL,Lateral,Lateral,0.7152364956975742,-1.0885482989691384,-1.0272619230050597,0.0515569607605872
BRA1,2024,398130.0,Matheuzinho,Corinthians,2549.0,DR,Lateral,Lateral,0.3550355744827498,-0.7512330693622666,-0.7139982737621514,0.5960548791090814
BRA1,2024,403654.0,Ewerthon,Juventude,1352.0,DR,Lateral,Lateral,-1.5190024460702345,-0.818044022152954,-0.6359114437136658,-0.6292229591144147
BRA1,2024,404979.0,Lucas Esquivel,Athletico Paranaense,3007.0,DL,Lateral,Lateral,0.1265402104967062,1.1019054649915276,1.050186585181247,0.7927223347125486
BRA1,2024,406718.0,Vanderlan,Palmeiras,1244.0,DL,Lateral,Lateral,0.7918712553417653,-1.1815412637405986,-1.602422289480143,-1.0437072347912806
BRA1,2024,414213.0,Eros Mancuso,Fortaleza,1007.0,DL,Lateral,Lateral,1.791333126628496,-0.578416814183715,-0.9160435987147204,0.4623235566687179
BRA1,2024,416790.0,Paulo Henrique,Vasco da Gama,2781.0,DR,Lateral,Lateral,0.564803325155451,0.6899832241500952,0.1602834636059221,0.8059709045592027
