Liga,Temporada,Atleta,Clube,função,Posição,Participação,Pressão na linha alta,Ameaça aérea,Conexão ofensiva,Movimentação ofensiva,Criação de oportunidades,Finalização,Oportunismo
BEL1,2022,Mario González,OH Leuven,Atacante,Atacante,-0.0528816708035329,0.0,0.0239431880700996,0.4801515164315382,0.0,0.1861030383170936,0.4743659064254006,1.1265197943993408
BEL1,2022,Hugo Cuypers,Gent,Atacante,Atacante,0.0204358568903795,0.0,0.3211736092976305,0.105157748423877,0.0,0.2224057140365316,0.9500559674348692,1.1665041789133577
BEL1,2022,Didier Lamkel Zé,Kortrijk,Atacante,Atacante,0.0785030577449477,0.0,0.5539022612437084,0.5220592304964061,0.0,-0.2303551218727972,-0.8555710140471129,-1.0492518110238866
BEL1,2022,Gustaf Nilsson,Union St.Gilloise,Atacante,Atacante,0.1110065254083279,0.0,0.6340186345149148,0.0999354307587412,0.0,0.1148416401305242,0.1180295466156541,-0.5538470702962175
BEL1,2022,Julien Ngoy,KV Mechelen,Atacante,Atacante,-0.12613180222472,0.0,-0.603384458795875,-0.2378277761380263,0.0,-0.0325284198822395,-0.1422124559282624,-0.0071158280905039
BEL1,2022,Mbwana Samatta,Genk,Atacante,Atacante,0.0757010659395798,0.0,0.2869226468604642,0.1929810181881188,0.0,0.015003295191839,0.2637814691059611,0.1073514251574933
BEL1,2022,Kévin Denkey,Cercle Bruges,Atacante,Atacante,0.2241951721844647,0.0,0.4951379441429027,0.0743762993335742,0.0,0.0333371919263793,-0.3194951632933903,0.2815212362203144
BEL1,2022,Vagner,RFC Seraing,Atacante,Atacante,-0.0704180669130468,0.0,-0.3580756714749348,-0.110910550669951,0.0,-0.1774843403891917,-0.0482475117837471,-1.1385695980231887
BEL1,2022,Fraser Hornby,Oostende,Atacante,Atacante,0.4155768764012827,0.0,1.351318670611913,0.0289997925695191,0.0,-0.0402165805744479,0.1402411885228233,-0.1809547556613795
BEL1,2022,Marius Mouandilmadji,RFC Seraing,Atacante,Atacante,0.2482699099323609,0.0,0.286482769079155,0.0295018799908852,0.0,0.0090305976001975,0.2262342681363232,-0.2970469302035684
BEL1,2022,Denis Dragus,Standard Liege,Atacante,Atacante,-0.1634104691759253,0.0,-0.7846528199318183,-0.4327455724415099,0.0,-0.0048054577454893,-0.1369976474647644,-0.1112707534492607
BEL1,2022,Pape Guèye,Kortrijk,Atacante,Atacante,0.2060873768931358,0.0,-0.0359360865313956,-0.0663457329806653,0.0,-0.0448086057227854,-0.5426888605838205,0.4402598376493281
BEL1,2022,Lyle Foster,Westerlo,Atacante,Atacante,-0.0665281930678881,0.0,-0.0729235328440871,-0.09989741795287,0.0,0.0154448520311875,0.4866228763738723,0.064172575936939
BEL1,2022,Ayase Ueda,Cercle Bruges,Atacante,Atacante,0.1614834248684181,0.0,0.648659266563321,0.1184681032492914,0.0,0.1504742074311285,0.8551098538279798,0.0562369064194583
BEL1,2022,Fábio Silva,Anderlecht,Atacante,Atacante,-0.041319446553308,0.0,-0.0352988696267777,-0.0545472945396672,0.0,0.0191872389663882,-0.3132826028399234,-0.04029383803826
BEL1,2022,Vakoun Bayo,Sporting Charleroi,Atacante,Atacante,0.172738652666278,0.0,0.5814883045202726,0.2338715036382917,0.0,-0.0570999182795868,-0.7333982947858793,0.7945701063974946
