Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
9,W. Kurtović,HamKam,HamKam,"DMF, RCMF",DMF,7,28,400000,2024-12-31,22,1654,Sweden,"Sweden, Croatia",left,190,85,no,7.29,2.718331,8.270073000000002,4.136328,0.87,1.848924,0.437306,0.33,5.333600000000001,NOR,Testing,2024,0.07652210996301174,0.1041476929636941,0.09033490146335293
10,E. Segberg,Kristiansund,Kristiansund,"DMF, LCMF",DMF,7,27,300000,2024-12-31,24,1672,Norway,Norway,right,176,75,no,8.99,2.31525,7.696000000000001,3.3894,0.65,1.02305,0.26922,0.54,4.306382999999999,NOR,Testing,2024,0.3184346676053905,0.3113560091405011,0.3148953383729458
11,K. Krasniqi,Strømsgodset,Strømsgodset,"DMF, LCMF",DMF,7,23,600000,2026-12-31,22,1833,Norway,"Norway, Kosovo",right,184,71,no,8.84,2.112075,8.841954,4.122096,0.69,1.867866,0.539514,0.98,5.400108,NOR,Testing,2024,0.3471396673533301,0.3422083472425103,0.3446740072979202
12,Bruno Leite,Haugesund,Haugesund,"LDMF, LCMF, RDMF",LDMF,7,29,300000,2025-12-31,27,1843,Portugal,"Portugal, Cape Verde Islands",right,184,75,no,11.77,0.9789180000000001,9.425216,3.320166,2.49,4.150785,1.660652,0.73,4.051665000000001,NOR,Testing,2024,0.4533832532007902,0.4934614648720503,0.4734223590364203
13,M. Møller Dæhli,Molde,Molde,DMF,DMF,7,29,1200000,2027-12-31,23,1916,Norway,Norway,right,177,70,no,8.83,2.206464,11.696608,4.886368000000001,2.21,2.58542,1.22352,1.22,6.809439999999999,NOR,Testing,2024,0.4465530609612817,0.4889934944185012,0.4677732776898915
14,O. Selnæs,Rosenborg,Rosenborg,DMF,DMF,7,30,1000000,2027-12-31,22,2064,Norway,Norway,left,190,82,no,10.16,4.405635,14.436337,8.2,1.66,1.308,0.4375,1.7,9.027186,NOR,Testing,2024,0.9602885078587742,0.9821498774979969,0.9712191926783856
15,S. Johansen,Sarpsborg 08,Sarpsborg 08,"LDMF, AMF, LCMF",LDMF,7,33,400000,2025-12-31,28,2134,Norway,Norway,left,182,78,no,6.45,3.627,15.223742,8.348154,2.15,1.47667,0.505,1.31,8.478801,NOR,Testing,2024,0.6827330986763052,0.7114625527155881,0.6970978256959467
16,E. Hussain,Odds,Odds,"DMF, LCMF, LDMF",DMF,7,31,400000,2025-12-31,28,2246,Norway,"Norway, Pakistan",left,176,69,no,9.02,3.326452999999999,8.693999999999999,4.686871,0.88,1.322925,0.4400640000000001,0.84,4.207335,NOR,Testing,2024,0.4369787647954838,0.4634500646847956,0.4502144147401398
17,A. Sher,Sarpsborg 08,Sarpsborg 08,"LDMF, RDMF, DMF",LDMF,7,21,750000,2026-12-31,27,2450,Sweden,"Sweden, Iraq",right,175,65,no,9.22,2.532222,9.148448,5.034047,1.95,3.415,1.324374,0.73,6.098426000000001,NOR,Testing,2024,0.4754415982315864,0.5067784717392678,0.4911100349854272
18,R. Yttergård Jenssen,Tromsø,Tromsø,DMF,DMF,7,36,150000,2025-12-31,27,2597,Norway,Norway,left,173,71,no,6.72,2.598640000000001,11.53977,5.579644000000001,1.63,1.316,0.522,1.07,5.2668,NOR,Testing,2024,0.2656735563821795,0.2226711158700168,0.2441723361260982
19,J. Bell,Viking,Viking,DMF,DMF,7,25,1200000,2027-12-31,28,2736,England,"England, New Zealand",right,182,77,no,9.21,3.321712,14.278768,7.892606999999999,1.88,2.00788,0.754209,1.28,8.252777000000002,NOR,Testing,2024,0.797311590128706,0.8157345710581363,0.8065230805934213
20,E. Kornvig,Brann,Brann,"DMF, RCMF",DMF,7,24,1200000,2027-12-31,30,2806,Denmark,Denmark,right,187,78,no,10.26,1.344868,9.87904,4.519641,2.34,3.17408,1.218,1.83,5.261112000000001,NOR,Testing,2024,0.5366464558545103,0.5437546357715335,0.5402005458130219
21,P. Berg,Bodø / Glimt,Bodø / Glimt,DMF,DMF,7,27,4500000,2028-07-31,29,2861,Norway,Norway,right,177,76,no,7.8,1.730832,10.285672,3.996985,1.38,0.9428319999999999,0.470442,1.29,4.468143,NOR,Testing,2024,0.0869633932749088,0.1232985714496204,0.1051309823622646
22,F. Ottosson,Sandefjord,Sandefjord,DMF,DMF,7,28,450000,2025-12-31,29,2876,Sweden,Sweden,right,174,72,no,7.2,5.25834,17.714083,9.201678,1.31,0.750582,0.315372,1.0,11.891334,NOR,Testing,2024,0.7496051289825071,0.8258822173948901,0.7877436731886986
23,J. Magnússon,Fredrikstad,Fredrikstad,"DMF, RCMF",DMF,7,26,600000,2026-12-31,30,2959,Iceland,Iceland,right,178,71,no,8.46,1.523438,8.789795,4.169156,0.94,0.455855,0.183508,0.4,4.625081999999999,NOR,Testing,2024,0.2121799756845117,0.2011109442463047,0.2066454599654082
0,D. Takáč,Korona Kielce,Korona Kielce,"DMF, RCMF, LCMF",DMF,7,26,0,2024-06-30,23,1251,Slovakia,Slovakia,right,178,75,no,6.19,3.526567,8.419476,5.250735,1.44,1.078442,0.504,0.94,6.184306,POL,Testing,2024,0.3449774842821535,0.2735538583463203,0.3092656713142369
1,M. Poletanović,Zagłębie Lubin,Zagłębie Lubin,"LDMF, RDMF, RCMF",LDMF,7,30,0,2024-06-30,25,1460,Serbia,Serbia,right,187,81,no,7.27,2.340117,11.898468,4.933173,1.97,2.652672,0.9840000000000001,1.11,5.97883,POL,Testing,2024,0.264827300042674,0.2663549416056451,0.2655911208241596
2,M. Walski,Puszcza Niepołomice,Puszcza Niepołomice,"RDMF, LDMF, AMF",RDMF,7,27,0,2024-06-30,23,1575,Poland,Poland,right,169,62,no,9.2,2.34143,5.997252,4.403,1.31,0.9699030000000001,0.5135179999999999,0.86,2.56875,POL,Testing,2024,0.3778901656053368,0.4073930241029337,0.3926415948541353
3,M. Kaput,Radomiak Radom,Radomiak Radom,"RDMF, LDMF, LCMF",RDMF,7,26,0,2025-06-30,23,1586,Poland,Poland,right,185,82,yes,10.95,2.892288,10.611405,4.372928,1.02,1.531608,0.7386250000000001,0.57,5.278226,POL,Testing,2024,0.730854434653727,0.9077627767023992,0.8193086056780633
4,João Gamboa,Pogoń Szczecin,Pogoń Szczecin,"DMF, RDMF, LDMF",DMF,7,27,0,2026-06-30,29,1726,Portugal,Portugal,right,187,79,no,7.3,2.29484,9.384065,3.600674,0.99,1.98387,0.6285400000000001,0.52,4.483895,POL,Testing,2024,0.03575411965147682,0.06824809172210813,0.05200110568679249
5,C. Donis,Radomiak Radom,Radomiak Radom,"LDMF, RDMF, LCMF",LDMF,7,29,0,2025-06-30,29,1805,Greece,Greece,right,184,76,no,8.78,3.243135000000001,8.126832,4.334544,0.6,1.194804,0.1,0.25,3.985604000000001,POL,Testing,2024,0.425448996462652,0.4275299049678373,0.4264894507152447
6,R. Kurzawa,Pogoń Szczecin,Pogoń Szczecin,"LDMF, DMF, LCMF",LDMF,7,31,0,2025-06-30,26,1910,Poland,Poland,left,182,73,no,9.05,3.158298,12.11242,5.135315,1.37,1.64859,0.894834,0.85,5.984929999999999,POL,Testing,2024,0.6711203808685944,0.6796395080072919,0.6753799444379432
7,Dani Pacheco,Górnik Zabrze,Górnik Zabrze,"LDMF, LCMF",LDMF,7,33,0,2024-06-30,27,1981,Spain,Spain,right,169,67,no,7.81,6.13125,11.496319,7.543624000000001,2.82,2.31578,1.67914,1.27,6.584963,POL,Testing,2024,0.7344869606496107,0.8659172702099482,0.8002021154297796
8,T. Makowski,Zagłębie Lubin,Zagłębie Lubin,"RDMF, RCMF, LCMF",RDMF,7,24,0,2024-06-30,34,2131,Poland,Poland,right,178,72,no,8.19,2.701152,10.259886,5.698676000000001,1.69,2.27939,0.841434,0.59,4.943588,POL,Testing,2024,0.4780653150473626,0.4981535787593101,0.4881094469033364
