Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
168,Caíque França,Sport Recife,Sport Recife,GK,GK,0,30,450000,2027-12-31,11,1117,Brazil,Brazil,left,186,80,no,0.73,9.107493999999999,3.5475,2.415,65.38,0.009591000000000002,1.37,0.97,-0.2393162393162394,2.889655172413793,BRA1,Testing,2025,0.3453765601763222,0.3931465109805935,0.370908834061934
169,A. Rossi,Flamengo,Flamengo,GK,GK,0,29,7000000,2027-12-31,11,1085,Argentina,"Argentina, Italy",right,193,95,no,0.166675,15.928296,3.483264,2.739,87.88,0.0319815,1.33,1.0,0.611764705882353,8.303030303030303,BRA1,Testing,2025,0.7329460780955318,0.6960935109060634,0.7177073113702463
170,John Victor,Botafogo,Botafogo,GK,GK,0,29,1500000,2028-12-31,11,1112,Brazil,"Brazil, Portugal",right,197,88,no,0.4,18.77721,4.53356,3.964988,82.5,0.007781,0.89,1.62,0.3048780487804879,5.68421052631579,BRA1,Testing,2025,0.670939801955416,0.6428247811047842,0.659812683944151
171,Marcos Felipe,Bahia,Bahia,GK,GK,0,29,2000000,2027-12-31,8,816,Brazil,Brazil,right,188,81,no,0.33,17.869302,3.97332,1.325565,77.42,0.0041109,1.65,2.1,0.2222222222222222,4.441558441558441,BRA1,Testing,2025,0.5682729539812048,0.6100003087397164,0.5917648062064544
172,Cleiton,Red Bull Bragantino,Red Bull Bragantino,GK,GK,0,27,4000000,2027-12-31,10,1000,Brazil,Brazil,right,190,82,no,0.6,13.780086,3.193975,2.00013,77.78,0.0018496,1.6,1.0,0.1489361702127658,4.5,BRA1,Testing,2025,0.5912466063872015,0.6148892193569636,0.6057582360240759
173,Lucas Arcanjo,Vitória,Vitória,GK,GK,0,26,1000000,2028-12-31,10,999,Brazil,Brazil,right,189,88,no,0.0,13.419483,3.426153,2.88,76.0,0.0034692,1.62,0.63,0.1428571428571428,4.166666666666666,BRA1,Testing,2025,0.4073903113135913,0.4857534525734427,0.4485640666500456
174,Hugo Souza,Corinthians,Corinthians,GK,GK,0,26,1500000,2025-12-31,6,612,Brazil,Brazil,right,199,87,no,0.15,10.592862,2.6496,1.908918,60.0,3.3e-05,0.44,0.88,-0.0260869565217392,2.491525423728814,BRA1,Testing,2025,0.1601553928428397,0.1954958714766498,0.1786189232717504
175,Gabriel Brazão,Santos,Santos,GK,GK,0,24,300000,2028-12-31,11,1102,Brazil,Brazil,right,192,85,no,0.41,7.758463999999999,3.26875,2.531683,73.33,1.54e-05,1.39,0.98,0.01010101010101006,3.755102040816327,BRA1,Testing,2025,0.4095999911299384,0.462053053386792,0.4377707712526457
176,Anthoni,Internacional,Internacional,GK,GK,0,23,800000,2026-12-31,11,1075,Brazil,Brazil,right,193,88,no,0.41665,7.786578,2.42724,2.345,56.76,0.0136552,0.84,0.92,-0.3400000000000001,2.313432835820895,BRA1,Testing,2025,0.1464108170576716,0.1805623866782791,0.1642159256815264
177,Matheus Donelli,Corinthians,Corinthians,GK,GK,0,23,2000000,2028-06-30,5,501,Brazil,"Brazil, Italy",right,189,83,no,0.36,11.68,1.974049,1.614375,66.67,0.0027183,1.26,0.54,-0.2558139534883721,2.99074074074074,BRA1,Testing,2025,0.2766349443468621,0.3216540708993776,0.3004790097205989
178,Marcelo Rangel,Remo,Remo,GK,GK,0,37,0,,10,999,Brazil,Brazil,right,186,81,no,0.36,8.1098,4.237056,3.329856,86.44,0.0172178,1.17,0.9,0.3513513513513514,7.388888888888889,BRA2,Testing,2025,0.6945741100423432,0.6775755423345552,0.6891354482999859
179,Renan,Amazonas,Amazonas,GK,GK,0,36,300000,,8,741,Brazil,"Brazil, Bulgaria",right,190,87,no,0.0,6.8,2.063424,2.0655,71.88,0.0009222,0.73,1.46,-0.101010101010101,3.568807339449541,BRA2,Testing,2025,0.3127297327833604,0.3484518775619411,0.3320655911428683
