Atleta,Código_Posição_Wyscout,Minutos,Liga,Versão_Temporada,Posição
Tiago Santos,1,2593,FRA1,2024,Lateral
U. Garcia,1,998,FRA1,2024,Lateral
V. Rongier,8,1024,FRA1,2024,Segundo Volante
V. Sierro,8,2597,FRA1,2024,Segundo Volante
Vanderson,1,1957,FRA1,2024,Lateral
Vitinha,12,1107,FRA1,2024,Atacante
Vitinha,8,2444,FRA1,2024,Segundo Volante
W. Ben Yedder,12,2681,FRA1,2024,Atacante
W. Kamanzi,1,1420,FRA1,2024,Lateral
W. Khazri,10,1318,FRA1,2024,Extremo
W. Omari,4,2455,FRA1,2024,Zagueiro
W. Saïd,12,1188,FRA1,2024,Atacante
W. Singo,4,2407,FRA1,2024,Zagueiro
W. Zaire-Emery,8,2318,FRA1,2024,Segundo Volante
Y. Abdelhamid,4,3141,FRA1,2024,Zagueiro
Y. Diouf,0,3543,FRA1,2024,Goleiro
Y. Fofana,8,3143,FRA1,2024,Segundo Volante
Y. Gboho,11,1280,FRA1,2024,Extremo
Y. Kechta,8,2011,FRA1,2024,Segundo Volante
Y. Magnin,8,1939,FRA1,2024,Segundo Volante
Y. Mvogo,0,3548,FRA1,2024,Goleiro
Y. Ndayishimiye,7,1870,FRA1,2024,Primeiro Volante
Y. Salmier,1,1834,FRA1,2024,Lateral
Y. Yazıcı,9,1427,FRA1,2024,Meia
Z. Aboukhlal,10,955,FRA1,2024,Extremo
A. Abdallah,1,2740,FRA2,2024,Lateral
A. Abdi,1,3300,FRA2,2024,Lateral
A. Ahoussou,4,1882,FRA2,2024,Zagueiro
A. Balijon,0,2290,FRA2,2024,Goleiro
A. Bamba,4,3178,FRA2,2024,Zagueiro
A. Batisse,4,2177,FRA2,2024,Zagueiro
A. Ben Mohamed,1,1234,FRA2,2024,Lateral
A. Bobichon,10,1708,FRA2,2024,Extremo
A. Boutoutaou,10,1703,FRA2,2024,Extremo
A. Briançon,4,2962,FRA2,2024,Zagueiro
A. Camara,8,2654,FRA2,2024,Segundo Volante
A. Carroll,12,1643,FRA2,2024,Atacante
A. Cherni,1,3392,FRA2,2024,Lateral
A. Coeff,1,1105,FRA2,2024,Lateral
A. Dioussé,7,1808,FRA2,2024,Primeiro Volante
A. El Ouazzani,12,3320,FRA2,2024,Atacante
A. Elis,12,1152,FRA2,2024,Atacante
A. Georgen,1,2734,FRA2,2024,Lateral
A. Gonçalves,1,1304,FRA2,2024,Lateral
A. Gory,10,2196,FRA2,2024,Extremo
A. Hountondji,12,2527,FRA2,2024,Atacante
A. Jabbari,12,919,FRA2,2024,Atacante
A. Kanté,7,1678,FRA2,2024,Primeiro Volante
A. Kashi,7,2031,FRA2,2024,Primeiro Volante
A. Knockaert,10,1112,FRA2,2024,Extremo
A. Larose,10,1669,FRA2,2024,Extremo
A. Leautey,10,3393,FRA2,2024,Extremo
A. Linguet,1,2527,FRA2,2024,Lateral
A. Mandréa,0,3331,FRA2,2024,Goleiro
A. Mendy,1,1602,FRA2,2024,Lateral
A. Mendy,12,3594,FRA2,2024,Atacante
A. Monfray,4,2750,FRA2,2024,Zagueiro
A. Moueffek,8,2260,FRA2,2024,Segundo Volante
A. N'Diaye,4,2952,FRA2,2024,Zagueiro
A. Ngouyamsa,4,2083,FRA2,2024,Zagueiro
A. Onaiwu,12,2054,FRA2,2024,Atacante
A. Phliponeau,8,3116,FRA2,2024,Segundo Volante
A. Pitu,11,1064,FRA2,2024,Extremo
A. Roncaglia,4,2353,FRA2,2024,Zagueiro
A. Sagna,10,2382,FRA2,2024,Extremo
A. Sanyang,11,1415,FRA2,2024,Extremo
A. Sbaï,10,2067,FRA2,2024,Extremo
A. Sissoko,1,2394,FRA2,2024,Lateral
A. Urie,10,1886,FRA2,2024,Extremo
Abdu Conté,1,1620,FRA2,2024,Lateral
B. Bouchouari,8,1995,FRA2,2024,Segundo Volante
B. Brahimi,9,2204,FRA2,2024,Meia
B. Danger,4,3777,FRA2,2024,Zagueiro
B. Guillaume,12,2777,FRA2,2024,Atacante
B. Kamara,0,3555,FRA2,2024,Goleiro
B. Lagae,4,1435,FRA2,2024,Zagueiro
B. Maubleu,0,3510,FRA2,2024,Goleiro
B. Mouazan,10,2486,FRA2,2024,Extremo
B. Pierret,8,2936,FRA2,2024,Segundo Volante
B. Roux,8,1235,FRA2,2024,Segundo Volante
B. Santelli,12,2209,FRA2,2024,Atacante
B. Traoré,4,3360,FRA2,2024,Zagueiro
B. Youssouf,1,3275,FRA2,2024,Lateral
C. Akpa,1,1496,FRA2,2024,Lateral
C. Avinel,4,2830,FRA2,2024,Zagueiro
C. Billemaz,10,1761,FRA2,2024,Extremo
C. Boli,1,1464,FRA2,2024,Lateral
C. Hountondji,4,3000,FRA2,2024,Zagueiro
C. Ibayi,12,1381,FRA2,2024,Atacante
C. Keita,4,2538,FRA2,2024,Zagueiro
C. Mandouki,8,3599,FRA2,2024,Segundo Volante
C. Michelin,1,2475,FRA2,2024,Lateral
C. Rodrigues,12,1028,FRA2,2024,Atacante
C. Traoré,1,919,FRA2,2024,Lateral
C. Vidal,4,2323,FRA2,2024,Zagueiro
C. Vincent,8,2483,FRA2,2024,Segundo Volante
D. Appiah,1,2934,FRA2,2024,Lateral
D. Batubinsika,4,2299,FRA2,2024,Zagueiro
D. Chambost,8,2805,FRA2,2024,Segundo Volante
D. Debohi,8,1417,FRA2,2024,Segundo Volante
D. Diaw,4,3029,FRA2,2024,Zagueiro
D. Gomis,4,2913,FRA2,2024,Zagueiro
D. Ignatenko,7,2581,FRA2,2024,Primeiro Volante
D. Kruse,8,1531,FRA2,2024,Segundo Volante
D. Léon,0,3624,FRA2,2024,Goleiro
D. Liénard,1,1137,FRA2,2024,Lateral
D. Louiserre,8,3285,FRA2,2024,Segundo Volante
D. Rigo,7,3180,FRA2,2024,Primeiro Volante
D. Sylla,1,1315,FRA2,2024,Lateral
D. Thiam,1,960,FRA2,2024,Lateral
Dylan Tavares,1,2303,FRA2,2024,Lateral
E. Bardeli,9,3222,FRA2,2024,Meia
E. Basilio,0,3930,FRA2,2024,Goleiro
E. Ntim,4,2086,FRA2,2024,Zagueiro
E. Owusu,7,2728,FRA2,2024,Primeiro Volante
E. Salles,0,3741,FRA2,2024,Goleiro
E. Sylvestre,8,1710,FRA2,2024,Segundo Volante
F. Ayé,12,2344,FRA2,2024,Atacante
F. Bianchini,12,1446,FRA2,2024,Atacante
F. Bohnert,1,3098,FRA2,2024,Lateral
F. Boya,8,2126,FRA2,2024,Segundo Volante
F. Conte,12,981,FRA2,2024,Atacante
F. El Melali,10,2252,FRA2,2024,Extremo
F. Escales,0,3478,FRA2,2024,Goleiro
F. Hanin,1,1622,FRA2,2024,Lateral
F. Lajugie,1,3260,FRA2,2024,Lateral
F. Tardieu,7,2543,FRA2,2024,Primeiro Volante
Flamarion,10,1175,FRA2,2024,Extremo
G. Barès,8,1835,FRA2,2024,Segundo Volante
G. Charbonnier,12,1506,FRA2,2024,Atacante
G. Courtet,12,2563,FRA2,2024,Atacante
G. Gbellé,10,1988,FRA2,2024,Extremo
G. Haag,7,3142,FRA2,2024,Primeiro Volante
G. Hein,9,3452,FRA2,2024,Meia
G. Jannez,4,3237,FRA2,2024,Zagueiro
G. Jean,4,3931,FRA2,2024,Zagueiro
G. Kakuta,9,1969,FRA2,2024,Meia
G. Kyeremeh,10,1969,FRA2,2024,Extremo
G. Larsonneur,0,3421,FRA2,2024,Goleiro
G. Paquiez,1,2631,FRA2,2024,Lateral
G. Perrin,10,3184,FRA2,2024,Extremo
G. Sangaré,8,2054,FRA2,2024,Segundo Volante
G. Weissbeck,8,2670,FRA2,2024,Segundo Volante
G. Yassine,10,1429,FRA2,2024,Extremo
H. Abdelli,9,3390,FRA2,2024,Meia
H. Gambor,4,1766,FRA2,2024,Zagueiro
H. Picard,10,2223,FRA2,2024,Extremo
H. Saivet,12,2832,FRA2,2024,Atacante
H. Sakhi,10,1423,FRA2,2024,Extremo
H. Soukouna,4,1530,FRA2,2024,Zagueiro
I. Ba,12,2596,FRA2,2024,Atacante
I. Boura,1,2385,FRA2,2024,Lateral
I. Cardona,10,1545,FRA2,2024,Extremo
I. Dramé,4,1918,FRA2,2024,Zagueiro
I. Filipović,0,947,FRA2,2024,Goleiro
I. Hamache,10,1751,FRA2,2024,Extremo
I. Kebbal,9,3488,FRA2,2024,Meia
I. Matondo,10,1558,FRA2,2024,Extremo
I. Paro,4,1098,FRA2,2024,Zagueiro
I. Sissokho,8,1400,FRA2,2024,Segundo Volante
I. Sissoko,12,2555,FRA2,2024,Atacante
J. Anziani,8,2665,FRA2,2024,Segundo Volante
J. Assoumou,12,1126,FRA2,2024,Atacante
J. Benet,8,2528,FRA2,2024,Segundo Volante
J. Célestine,4,2932,FRA2,2024,Zagueiro
J. Chougrani,4,1054,FRA2,2024,Zagueiro
J. Cuffaut,4,1671,FRA2,2024,Zagueiro
J. Diaz,4,1455,FRA2,2024,Zagueiro
J. Ekomié,1,1484,FRA2,2024,Lateral
J. Faussurier,1,2465,FRA2,2024,Lateral
J. Gaspar,1,1376,FRA2,2024,Lateral
J. Gaudin,1,3347,FRA2,2024,Lateral
J. Gbamin,8,1749,FRA2,2024,Segundo Volante
J. Gelin,8,2064,FRA2,2024,Segundo Volante
J. Janneh,8,2659,FRA2,2024,Segundo Volante
J. Kadile,12,1624,FRA2,2024,Atacante
J. Lefort,1,3408,FRA2,2024,Lateral
J. Livolant,11,2672,FRA2,2024,Extremo
J. Lopy,8,1844,FRA2,2024,Segundo Volante
J. Louchet,0,2931,FRA2,2024,Goleiro
J. Lukembila,10,1843,FRA2,2024,Extremo
J. Marcelin,4,1135,FRA2,2024,Zagueiro
J. Masson,8,2837,FRA2,2024,Segundo Volante
J. Obiang,1,1904,FRA2,2024,Lateral
J. Pendant,1,2689,FRA2,2024,Lateral
J. Placide,0,3257,FRA2,2024,Goleiro
J. Poha,4,1753,FRA2,2024,Zagueiro
J. Roye,8,2827,FRA2,2024,Segundo Volante
J. Ruiz,4,3373,FRA2,2024,Zagueiro
J. Sanda,4,1532,FRA2,2024,Zagueiro
Jonathan Buatu,4,1517,FRA2,2024,Zagueiro
Jubal,4,3018,FRA2,2024,Zagueiro
K. Boma,4,1154,FRA2,2024,Zagueiro
K. Boto,1,1847,FRA2,2024,Lateral
K. Boutaïb,12,2273,FRA2,2024,Atacante
K. Corredor,12,3763,FRA2,2024,Atacante
K. Coulibaly,12,2029,FRA2,2024,Atacante
K. Dabila,1,2958,FRA2,2024,Lateral
K. Diawara,10,1036,FRA2,2024,Extremo
K. Djoco,12,2282,FRA2,2024,Atacante
K. Dong,10,2212,FRA2,2024,Extremo
K. Johnsson,0,2188,FRA2,2024,Goleiro
K. Kaïboué,8,2716,FRA2,2024,Segundo Volante
K. Mouanga,4,1797,FRA2,2024,Zagueiro
K. Ouattara,1,1033,FRA2,2024,Lateral
K. Sidibé,8,2394,FRA2,2024,Segundo Volante
K. Testud,12,994,FRA2,2024,Atacante
L. Buadés,1,1870,FRA2,2024,Lateral
L. Delaurier-Chaubet,10,1949,FRA2,2024,Extremo
L. Diaby-Fadiga,12,964,FRA2,2024,Atacante
L. Doucet,8,1940,FRA2,2024,Segundo Volante
L. Fomba,8,1398,FRA2,2024,Segundo Volante
L. Ilić,9,1450,FRA2,2024,Meia
L. Joseph,10,2874,FRA2,2024,Extremo
L. Mafouta,12,3346,FRA2,2024,Atacante
L. Maronnier,1,1214,FRA2,2024,Lateral
L. Mouton,8,1813,FRA2,2024,Segundo Volante
L. Mpasi,0,1884,FRA2,2024,Goleiro
L. Nestor,4,1497,FRA2,2024,Zagueiro
L. Pétrot,1,3142,FRA2,2024,Lateral
L. Rajot,8,3021,FRA2,2024,Segundo Volante
L. Rao-Lisoa,10,1778,FRA2,2024,Extremo
L. Sinayoko,10,2215,FRA2,2024,Extremo
L. Woudenberg,1,2777,FRA2,2024,Lateral
M. Adeline,7,1715,FRA2,2024,Primeiro Volante
M. Alfarela,12,2781,FRA2,2024,Atacante
M. Autret,10,2171,FRA2,2024,Extremo
M. Barreto,10,1288,FRA2,2024,Extremo
M. Bassouamina,10,2031,FRA2,2024,Extremo
M. Baudry,4,2614,FRA2,2024,Zagueiro
M. Bokele,4,2149,FRA2,2024,Zagueiro
M. Cafaro,10,2829,FRA2,2024,Extremo
M. Camara,10,2546,FRA2,2024,Extremo
M. Chahiri,10,1056,FRA2,2024,Extremo
M. Chanot,4,2018,FRA2,2024,Zagueiro
M. Diarra,4,3313,FRA2,2024,Zagueiro
M. Diop,7,2268,FRA2,2024,Primeiro Volante
M. Do Couto,10,999,FRA2,2024,Extremo
M. Etuin,8,2827,FRA2,2024,Segundo Volante
M. Jaouab,4,1073,FRA2,2024,Zagueiro
M. Koné,0,1447,FRA2,2024,Goleiro
M. Le Bihan,12,1618,FRA2,2024,Atacante
M. Lilepo,10,1734,FRA2,2024,Extremo
M. Mahop,1,1875,FRA2,2024,Lateral
M. Mbow,4,3696,FRA2,2024,Zagueiro
M. Merghem,10,2776,FRA2,2024,Extremo
M. Michel,0,2265,FRA2,2024,Goleiro
M. Nadé,4,2152,FRA2,2024,Zagueiro
M. Ondoa,8,1104,FRA2,2024,Segundo Volante
M. Riou,4,1341,FRA2,2024,Zagueiro
M. Samassa,0,3548,FRA2,2024,Goleiro
M. Sivis,1,3455,FRA2,2024,Lateral
M. Soumano,12,1048,FRA2,2024,Atacante
M. Sylla,10,3183,FRA2,2024,Extremo
M. Tahrat,4,2098,FRA2,2024,Zagueiro
M. Tchokounté,12,3100,FRA2,2024,Atacante
M. Tourraine,1,2791,FRA2,2024,Lateral
Mamadou Fofana I,4,3427,FRA2,2024,Zagueiro
N. Cadiou,8,2702,FRA2,2024,Segundo Volante
N. Chadli,10,1574,FRA2,2024,Extremo
N. Cissé,4,1762,FRA2,2024,Zagueiro
N. Dicko,12,1311,FRA2,2024,Atacante
N. Fernandez-Veliz,4,1128,FRA2,2024,Zagueiro
N. Kandil,10,2694,FRA2,2024,Extremo
N. Lebreton,8,1924,FRA2,2024,Segundo Volante
N. Mbuku,10,1025,FRA2,2024,Extremo
N. Ndombasi,12,1060,FRA2,2024,Atacante
N. Opoku,4,2146,FRA2,2024,Zagueiro
N. Venema,12,1028,FRA2,2024,Atacante
O. Camara,12,1415,FRA2,2024,Atacante
O. Gene,7,2407,FRA2,2024,Primeiro Volante
O. Kanté,4,1199,FRA2,2024,Zagueiro
O. Nkambadio,0,2989,FRA2,2024,Goleiro
O. Urhoghide,4,1539,FRA2,2024,Zagueiro
Opa Sangante,4,3241,FRA2,2024,Zagueiro
P. Capelle,8,3193,FRA2,2024,Segundo Volante
P. Hamel,12,1389,FRA2,2024,Atacante
P. Joly,1,3028,FRA2,2024,Lateral
P. Lemonnier,4,2813,FRA2,2024,Zagueiro
P. Meïssa Ba,12,2271,FRA2,2024,Atacante
P. Ouaneh,4,1366,FRA2,2024,Zagueiro
P. Pagis,10,1372,FRA2,2024,Extremo
P. Yade,10,1672,FRA2,2024,Extremo
Pedro Díaz,8,3207,FRA2,2024,Segundo Volante
Q. Daubin,8,2415,FRA2,2024,Segundo Volante
R. Boissier,8,1602,FRA2,2024,Segundo Volante
R. Ghrieb,10,1175,FRA2,2024,Extremo
R. Gurtner,0,3665,FRA2,2024,Goleiro
R. Labeau-Lascary,12,2266,FRA2,2024,Atacante
R. Lipinski,1,1327,FRA2,2024,Lateral
R. Nouri,10,1207,FRA2,2024,Extremo
R. Raveloson,7,3048,FRA2,2024,Primeiro Volante
R. Saïd,10,2752,FRA2,2024,Extremo
R. Strączek,0,1585,FRA2,2024,Goleiro
R. Thomas,4,3727,FRA2,2024,Zagueiro
S. Agouzoul,4,1330,FRA2,2024,Zagueiro
S. Alakouch,1,1015,FRA2,2024,Lateral
S. Bansé,8,1716,FRA2,2024,Segundo Volante
S. Basse,1,1852,FRA2,2024,Lateral
S. Beusnard,8,2624,FRA2,2024,Segundo Volante
S. Chergui,4,1682,FRA2,2024,Zagueiro
S. Cibois,0,1265,FRA2,2024,Goleiro
S. Corchia,1,2363,FRA2,2024,Lateral
S. D'Almeida,8,2175,FRA2,2024,Segundo Volante
S. Gregersen,4,1169,FRA2,2024,Zagueiro
S. Loric,1,2086,FRA2,2024,Lateral
S. Mambo,4,968,FRA2,2024,Zagueiro
S. Ntamack,12,1247,FRA2,2024,Atacante
S. Quemper,1,2156,FRA2,2024,Lateral
S. Raux-Yao,4,3913,FRA2,2024,Zagueiro
S. Ring,1,1437,FRA2,2024,Lateral
S. Sanna,8,3570,FRA2,2024,Segundo Volante
S. Soumano,12,2938,FRA2,2024,Atacante
T. Arconte,12,1250,FRA2,2024,Atacante
T. Cissokho,4,3818,FRA2,2024,Zagueiro
T. Delphis,1,1090,FRA2,2024,Lateral
T. Ducrocq,7,3395,FRA2,2024,Primeiro Volante
T. Jabol-Folcarelli,8,3094,FRA2,2024,Segundo Volante
T. Keita,8,1093,FRA2,2024,Segundo Volante
T. Kolodziejczak,4,1044,FRA2,2024,Zagueiro
T. Koudou,1,1113,FRA2,2024,Lateral
T. Mangani,7,3190,FRA2,2024,Primeiro Volante
T. Monconduit,7,1552,FRA2,2024,Primeiro Volante
T. Moore,4,1506,FRA2,2024,Zagueiro
T. Pellenard,4,3127,FRA2,2024,Zagueiro
T. Strata,1,1369,FRA2,2024,Lateral
T. Thomas,8,1249,FRA2,2024,Segundo Volante
T. Valls,8,2149,FRA2,2024,Segundo Volante
T. Vargas,1,3230,FRA2,2024,Lateral
T. Zoukrou,4,2587,FRA2,2024,Zagueiro
V. Henry,1,2982,FRA2,2024,Lateral
V. Jacob,10,1603,FRA2,2024,Extremo
V. Lobry,8,1790,FRA2,2024,Segundo Volante
V. Marchetti,8,1775,FRA2,2024,Segundo Volante
V. N'Simba,1,2322,FRA2,2024,Lateral
V. Pajot,8,2770,FRA2,2024,Segundo Volante
V. Postolachi,12,1422,FRA2,2024,Atacante
W. Taïbi,8,2767,FRA2,2024,Segundo Volante
W. Younoussa,8,2049,FRA2,2024,Segundo Volante
X. Chavalerin,8,2979,FRA2,2024,Segundo Volante
X. Kouassi,4,2516,FRA2,2024,Zagueiro
Y. Assogba,1,956,FRA2,2024,Lateral
Y. Baldé,4,1871,FRA2,2024,Zagueiro
Y. Bammou,10,1467,FRA2,2024,Extremo
Y. Barbet,4,3415,FRA2,2024,Zagueiro
Y. Barry,1,1785,FRA2,2024,Lateral
Y. Begraoui,12,1285,FRA2,2024,Atacante
Y. Bilingi,1,3107,FRA2,2024,Lateral
Y. Cassubie,7,1064,FRA2,2024,Primeiro Volante
Y. Court,10,1046,FRA2,2024,Extremo
Y. Demoncy,8,1994,FRA2,2024,Segundo Volante
Y. Koré,4,1692,FRA2,2024,Zagueiro
Y. Maçon,1,1817,FRA2,2024,Lateral
Y. M'Changama,9,1786,FRA2,2024,Meia
Y. Okou,4,2205,FRA2,2024,Zagueiro
Y. Touzghar,12,1903,FRA2,2024,Atacante
Y. Valery,1,3279,FRA2,2024,Lateral
Yohan Tavares,4,2155,FRA2,2024,Zagueiro
Z. Davitashvili,11,3017,FRA2,2024,Extremo
Z. Ferhat,10,1745,FRA2,2024,Extremo
Z. Ould Khaled,8,1235,FRA2,2024,Segundo Volante
Ž. Vipotnik,12,2631,FRA2,2024,Atacante
A. Andronikashvili,7,2864,GEO,2024,Primeiro Volante
A. Datuashvili,4,1047,GEO,2024,Zagueiro
A. Giunashvili,4,2613,GEO,2024,Zagueiro
A. Kalandadze,4,2639,GEO,2024,Zagueiro
A. Konté,12,3342,GEO,2024,Atacante
A. Labadze,0,1514,GEO,2024,Goleiro
A. Mylchenko,7,973,GEO,2024,Primeiro Volante
A. Tolordava,4,1638,GEO,2024,Zagueiro
A. Verulidze,10,1097,GEO,2024,Extremo
Alef,7,1623,GEO,2024,Primeiro Volante
André Mensalão,9,1333,GEO,2024,Meia
António Lopes,1,1372,GEO,2024,Lateral
Auro,8,1670,GEO,2024,Segundo Volante
B. Anang,1,1627,GEO,2024,Lateral
B. Gabiskiria,1,1458,GEO,2024,Lateral
B. Johnsen,12,3323,GEO,2024,Atacante
B. Kardava,8,3232,GEO,2024,Segundo Volante
B. Kharshiladze,4,1920,GEO,2024,Zagueiro
B. Kurdadze,0,1665,GEO,2024,Goleiro
B. Markovina,4,1915,GEO,2024,Zagueiro
B. Tambedou,10,1033,GEO,2024,Extremo
Bull,1,1703,GEO,2024,Lateral
C. Sylla,12,2785,GEO,2024,Atacante
D. Agyakwa,4,3130,GEO,2024,Zagueiro
D. Chikhladze,8,2469,GEO,2024,Segundo Volante
D. Georgijević,12,1107,GEO,2024,Atacante
D. Gogotishvili,1,1439,GEO,2024,Lateral
D. Gvasalia,10,967,GEO,2024,Extremo
D. Kereselidze,0,3480,GEO,2024,Goleiro
D. Mujiri,12,1490,GEO,2024,Atacante
D. Owusu,10,1573,GEO,2024,Extremo
D. Pachulia,12,1776,GEO,2024,Atacante
D. Paghava,1,1469,GEO,2024,Lateral
D. Ryabenko,0,1018,GEO,2024,Goleiro
D. Simon,7,1348,GEO,2024,Primeiro Volante
D. Tsnobiladze,8,2930,GEO,2024,Segundo Volante
D. Ubilava,1,3527,GEO,2024,Lateral
D. Zurabiani,1,1717,GEO,2024,Lateral
E. Barrios,8,2880,GEO,2024,Segundo Volante
E. Jijavadze,8,2142,GEO,2024,Segundo Volante
E. Parkinashvili,10,2121,GEO,2024,Extremo
Eliton Júnior,7,1974,GEO,2024,Primeiro Volante
F. Boskovski,1,978,GEO,2024,Lateral
F. Ekongolo,10,1203,GEO,2024,Extremo
F. Kljajić,0,3114,GEO,2024,Goleiro
F. Lesniak,8,1834,GEO,2024,Segundo Volante
Felipe Pires,9,3392,GEO,2024,Meia
G. Abuashvili,10,2686,GEO,2024,Extremo
G. Akhaladze,1,1712,GEO,2024,Lateral
G. Arabidze,9,1251,GEO,2024,Meia
G. Gaprindashvili,1,1643,GEO,2024,Lateral
G. Jgerenaia,4,2881,GEO,2024,Zagueiro
G. Kharebashvili,12,3108,GEO,2024,Atacante
G. Kharebava,10,2008,GEO,2024,Extremo
G. Kimadze,1,1684,GEO,2024,Lateral
G. Kokhreidze,12,2702,GEO,2024,Atacante
G. Kveladze,1,1345,GEO,2024,Lateral
G. Lomtadze,10,2811,GEO,2024,Extremo
G. Loria,0,1260,GEO,2024,Goleiro
G. Maisuradze,1,1308,GEO,2024,Lateral
G. Makaridze,0,1831,GEO,2024,Goleiro
G. Mamageishvili,10,2078,GEO,2024,Extremo
G. Manjgaladze,1,1744,GEO,2024,Lateral
G. Melkadze,12,2885,GEO,2024,Atacante
G. Moistsrapishvili,9,1298,GEO,2024,Meia
G. Mtchedlishvili,1,1857,GEO,2024,Lateral
G. Nadareishvili,7,1275,GEO,2024,Primeiro Volante
G. Papuashvili,8,2629,GEO,2024,Segundo Volante
G. Peruzzi,1,1434,GEO,2024,Lateral
G. Tsitaishvili,10,1728,GEO,2024,Extremo
G. Ubilava,1,1091,GEO,2024,Lateral
Gean Carlos,10,3050,GEO,2024,Extremo
H. Gomis,10,2428,GEO,2024,Extremo
I. Akhvlediani,10,2077,GEO,2024,Extremo
I. Dramé,10,1738,GEO,2024,Extremo
I. Gelashvili,4,1068,GEO,2024,Zagueiro
I. Iakobidze,4,1081,GEO,2024,Zagueiro
I. Janjghava,7,2240,GEO,2024,Primeiro Volante
I. Komakhidze,1,1063,GEO,2024,Lateral
I. Lytvynenko,8,1577,GEO,2024,Segundo Volante
I. Tabatadze,10,1437,GEO,2024,Extremo
J. Amoako,10,1008,GEO,2024,Extremo
J. Désiré,12,1297,GEO,2024,Atacante
J. Gonçalves,8,1471,GEO,2024,Segundo Volante
J. Jinjolava,1,1716,GEO,2024,Lateral
J. Tiboue,1,1040,GEO,2024,Lateral
Jefinho,8,2580,GEO,2024,Segundo Volante
João Nobrega,8,1778,GEO,2024,Segundo Volante
Jorginho,10,1725,GEO,2024,Extremo
José Carrillo,4,2458,GEO,2024,Zagueiro
K. Klimov,12,2303,GEO,2024,Atacante
Kaly,4,1955,GEO,2024,Zagueiro
Kike Cadete,1,1544,GEO,2024,Lateral
L. Gegetchkori,1,3028,GEO,2024,Lateral
L. Kakubava,4,1382,GEO,2024,Zagueiro
L. Kapianidze,4,2086,GEO,2024,Zagueiro
L. Kharabadze,1,1609,GEO,2024,Lateral
L. Kharatishvili,0,1604,GEO,2024,Goleiro
L. Khmaladze,8,1955,GEO,2024,Segundo Volante
L. Khorkheli,8,2702,GEO,2024,Segundo Volante
L. Kokhreidze,12,1462,GEO,2024,Atacante
L. Kupatadze,0,1846,GEO,2024,Goleiro
L. Kutaladze,0,1018,GEO,2024,Goleiro
L. Kutalia,12,2306,GEO,2024,Atacante
L. Kvaratskhelia,1,2221,GEO,2024,Lateral
L. Lakvekheliani,1,1792,GEO,2024,Lateral
L. Odishvili,4,2383,GEO,2024,Zagueiro
L. Osikmashvili,7,2188,GEO,2024,Primeiro Volante
L. Shergelashvili,1,2777,GEO,2024,Lateral
L. Tandilashvili,0,2010,GEO,2024,Goleiro
Léo Assunpção,4,3016,GEO,2024,Zagueiro
M. Abuladze,4,2109,GEO,2024,Zagueiro
M. Aknazarov,8,1115,GEO,2024,Segundo Volante
M. Gigauri,7,1792,GEO,2024,Primeiro Volante
M. Kobakhidze,4,2821,GEO,2024,Zagueiro
M. Makatsaria,0,2281,GEO,2024,Goleiro
M. Sakho,4,1011,GEO,2024,Zagueiro
M. Thiam,4,1315,GEO,2024,Zagueiro
M. Tsintsadze,4,2287,GEO,2024,Zagueiro
M. Vatsadze,12,1864,GEO,2024,Atacante
Mário Balbúrdia,8,1150,GEO,2024,Segundo Volante
N. Edokpolor,1,1114,GEO,2024,Lateral
N. Gagnidze,8,1487,GEO,2024,Segundo Volante
N. Kalandarishvili,1,2259,GEO,2024,Lateral
N. Kalichava,0,2633,GEO,2024,Goleiro
N. Kavtaradze,12,1369,GEO,2024,Atacante
N. Lominadze,8,1989,GEO,2024,Segundo Volante
N. Mali,1,2611,GEO,2024,Lateral
N. Ninković,9,915,GEO,2024,Meia
N. Ninua,8,1101,GEO,2024,Segundo Volante
N. Sandokhadze,4,2745,GEO,2024,Zagueiro
N. Ugrekhelidze,4,2373,GEO,2024,Zagueiro
O. Aptsiauri,8,2199,GEO,2024,Segundo Volante
O. Mamageishvili,8,2608,GEO,2024,Segundo Volante
O. Parulava,10,1270,GEO,2024,Extremo
O. Patarkatsishvili,4,3318,GEO,2024,Zagueiro
O. Santis,10,1980,GEO,2024,Extremo
O. Vorobey,0,2805,GEO,2024,Goleiro
O. Yitzhak,4,1449,GEO,2024,Zagueiro
Omran Haydary,12,1424,GEO,2024,Atacante
P. Gabitashvili,1,2868,GEO,2024,Lateral
P. Gudushauri,10,1068,GEO,2024,Extremo
Pedro Monteiro,4,1724,GEO,2024,Zagueiro
R. Ardazishvili,12,1350,GEO,2024,Atacante
R. Chiteishvili,1,1651,GEO,2024,Lateral
R. Etou,4,1319,GEO,2024,Zagueiro
R. Injgia,12,1798,GEO,2024,Atacante
R. Kvaskhvadze,0,1523,GEO,2024,Goleiro
S. Agbalaka,1,1413,GEO,2024,Lateral
S. Bukorac,4,1429,GEO,2024,Zagueiro
S. Kharebashvili,1,1838,GEO,2024,Lateral
S. Khvadagiani,4,1525,GEO,2024,Zagueiro
S. Kvirkvelia,4,1280,GEO,2024,Zagueiro
S. Mamatsashvili,10,1236,GEO,2024,Extremo
S. Nonikashvili,9,1442,GEO,2024,Meia
S. Piranashvili,8,2399,GEO,2024,Segundo Volante
S. Shekiladze,12,2252,GEO,2024,Atacante
S. Traore,8,1252,GEO,2024,Segundo Volante
Simão Júnior,4,1422,GEO,2024,Zagueiro
