Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ganhos,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Interceptações_Ajustadas_a_Posse,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
1261,N. Gavory,Fortuna Düsseldorf,Fortuna Düsseldorf,"LB, LWB",LB,1,30.0,800000,2025-06-30,18,1355,France,France,left,183,79,no,5.311860999999999,5.25,2.1912,0.9298099999999999,3.32,GER2,Testing,2025,0.151543204938925,0.158998355713066,0.1464428361674769
1262,L. Musonda,Magdeburg,Magdeburg,"RWB, LWB",RWB,1,30.0,500000,,15,1161,Zambia,Zambia,right,171,75,no,4.8069,5.81,2.095854,0.310596,5.38,GER2,Testing,2025,0.2558426555769378,0.2465209433036857,0.2433561849055446
1263,M. Heyer,Fortuna Düsseldorf,Fortuna Düsseldorf,"LB, LDMF, LCMF",LB,1,30.0,700000,2026-06-30,19,1567,Germany,Germany,right,185,78,no,7.870799000000001,8.5,4.654557,0.6900459999999999,4.37,GER2,Testing,2025,0.4580116020043313,0.4727789535208054,0.4598083269091175
1264,J. Gyamerah,Kaiserslautern,Kaiserslautern,"RB, RWB",RB,1,29.0,700000,2025-06-30,23,1300,Germany,"Germany, Ghana",right,184,79,no,8.86256,8.45,4.63608,0.6246919999999999,5.42,GER2,Testing,2025,0.5239816365475813,0.531373367817409,0.5227414391951699
1265,M. Meyerhöfer,Greuther Fürth,Greuther Fürth,"RWB, RCB, RB",RWB,1,29.0,800000,2025-06-30,26,2071,Germany,Germany,right,179,72,no,7.732699999999999,10.73,4.563364,1.085444,6.8,GER2,Testing,2025,0.6355910740217239,0.6486879737111495,0.6383996599831119
1266,P. Hercher,Magdeburg,Magdeburg,"RWB, RCMF",RWB,1,29.0,350000,,27,1694,Germany,Germany,right,182,80,no,4.72788,6.06,3.027251,0.266688,4.18,GER2,Testing,2025,0.2080643739423055,0.209092338800846,0.2003075094385301
1267,R. Obermair,Paderborn,Paderborn,"RWB, RB",RWB,1,29.0,1500000,,33,3212,Germany,"Germany, Philippines",right,182,75,no,5.46576,6.67,2.939832,0.7307289999999999,4.48,GER2,Testing,2025,0.270246842003849,0.2830100367725706,0.2690687580202493
1268,M. Neubauer,Elversberg,Elversberg,LB,LB,1,29.0,700000,2025-06-30,34,3365,Germany,Germany,left,178,72,no,6.660881000000001,8.1,4.068791999999999,0.908144,5.44,GER2,Testing,2025,0.4368271439819429,0.456073497079357,0.4406653831264398
1269,J. Dehm,Hannover 96,Hannover 96,"RB, LWB",RB,1,29.0,900000,2025-06-30,21,1310,Germany,Germany,right,176,73,no,6.596490000000001,7.15,3.021858,0.825,5.08,GER2,Testing,2025,0.3544860122996722,0.3591725095331024,0.3501077278655779
1270,L. Bell Bell,Eintracht Braunschweig,Eintracht Braunschweig,"LWB, LB",LWB,1,28.0,650000,2026-06-30,24,1416,Germany,"Germany, Cameroon",left,180,78,no,11.247259,10.23,5.277671000000001,0.507705,5.26,GER2,Testing,2025,0.6860389653083124,0.6875729767909289,0.6835328992368302
1271,J. Kenny,Hertha BSC,Hertha BSC,"RB, RWB",RB,1,28.0,2500000,2025-06-30,32,3125,England,England,right,176,70,no,6.161144,9.45,3.831465,0.80682,6.84,GER2,Testing,2025,0.5437535668361106,0.5414348593923479,0.5378140390059284
1272,A. Nollenberger,Magdeburg,Magdeburg,LWB,LWB,1,27.0,400000,2025-06-30,30,2112,Germany,Germany,right,180,72,no,8.055075,5.67,2.09,0.808325,5.15,GER2,Testing,2025,0.3214339226143968,0.3009001524013433,0.3039683059074949
1273,M. El Hankouri,Magdeburg,Magdeburg,"LWB, LCMF, AMF",LWB,1,27.0,1000000,,22,1911,Netherlands,"Netherlands, Morocco",right,176,63,no,8.619066,5.56,2.635671,0.8957849999999999,4.07,GER2,Testing,2025,0.2791762134519017,0.2905748968798585,0.277402061271797
1274,E. Wekesser,Kaiserslautern,Kaiserslautern,"LB, LWB",LB,1,27.0,500000,2028-06-30,20,1480,Germany,Germany,left,186,81,no,6.387791999999999,7.54,4.320844,0.669118,4.46,GER2,Testing,2025,0.3779054768963881,0.3907812610283431,0.3779093754020156
1275,E. Iyoha,Fortuna Düsseldorf,Fortuna Düsseldorf,"LB, RB, LWB",LB,1,27.0,1200000,2026-06-30,22,1519,Germany,"Germany, Nigeria",right,191,86,no,8.352267000000001,6.4,2.015332,1.12822,5.51,GER2,Testing,2025,0.3809795899978051,0.3663390694966553,0.3671136813519557
1276,S. Hefti,Hamburger SV,Hamburger SV,"RB, LB, RWB",RB,1,27.0,2500000,2028-06-30,19,1102,Switzerland,Switzerland,right,182,80,no,9.636732,9.88,5.471976999999999,1.472185,6.38,GER2,Testing,2025,0.6751206866903193,0.6877152465291277,0.678088586809458
1277,A. Donkor,Schalke 04,Schalke 04,LB,LB,1,27.0,700000,2027-06-30,26,930,Germany,"Germany, Ghana",left,186,84,no,9.192554,7.84,3.774,1.54657,5.94,GER2,Testing,2025,0.5326290077986722,0.5348206993372163,0.5288519891525333
1278,D. Zeefuik,Hertha BSC,Hertha BSC,"LB, LWB",LB,1,27.0,700000,2027-06-30,31,2861,Netherlands,"Netherlands, Suriname",right,177,76,no,9.686,8.87,4.152742,2.769914,6.1,GER2,Testing,2025,0.654735910698389,0.6521338568485695,0.6498130634053866
1279,M. Muheim,Hamburger SV,Hamburger SV,"LB, LCB",LB,1,27.0,2000000,2027-06-30,30,2903,Switzerland,Switzerland,left,182,77,no,8.896999999999998,9.49,4.590208,1.17633,6.46,GER2,Testing,2025,0.6445379922166888,0.6410806624805325,0.6390764633270167
1280,T. Handwerker,Jahn Regensburg,Jahn Regensburg,"LWB, LB",LWB,1,27.0,1000000,2025-06-30,15,1077,Germany,Germany,left,182,74,no,5.68378,7.35,2.84307,0.75,4.98,GER2,Testing,2025,0.331557765460138,0.3364626364533279,0.327050194579345
1281,M. Rittmüller,Eintracht Braunschweig,Eintracht Braunschweig,"RWB, RB",RWB,1,26.0,650000,2026-06-30,21,1517,Germany,Germany,right,178,79,no,5.220152,5.1,2.193524,0.8296000000000001,3.18,GER2,Testing,2025,0.1420732169892336,0.1428712403610381,0.1335105317155393
1282,Sergio López,Darmstadt 98,Darmstadt 98,RB,RB,1,26.0,700000,,31,2591,Spain,"Spain, Germany",right,179,70,no,5.282417000000001,5.84,3.228648,0.27693,3.46,GER2,Testing,2025,0.2087040068548332,0.2174141096513072,0.20483503743315
1283,R. Rösch,Ulm,Ulm,"RWB, LWB, LB",RWB,1,25.0,300000,2025-06-30,28,2251,Germany,Germany,right,182,75,no,8.834392999999999,9.84,4.200088,0.599928,6.36,GER2,Testing,2025,0.6150128734250639,0.6110059815910386,0.6089651360543349
1284,D. Murkin,Schalke 04,Schalke 04,LB,LB,1,25.0,1800000,2026-06-30,31,2752,England,"England, Netherlands",left,183,81,no,7.197247,7.16,2.8782,1.17624,5.61,GER2,Testing,2025,0.4004307077277608,0.3987820383502299,0.3933318873357687
1285,F. Nürnberger,Darmstadt 98,Darmstadt 98,"LB, LWB",LB,1,25.0,2500000,2026-06-30,28,2333,Bulgaria,"Bulgaria, Germany",left,181,75,no,6.906239999999999,7.68,3.70569,0.4992,5.39,GER2,Testing,2025,0.4125868540865305,0.4261210104135613,0.4132858207859506
1286,F. Kleinhansl,Kaiserslautern,Kaiserslautern,"LWB, LB",LWB,1,24.0,800000,,20,1536,Germany,Germany,left,180,72,no,9.313976,8.85,4.041206,0.9376839999999999,5.95,GER2,Testing,2025,0.578597671621841,0.5766013896827685,0.5731851838189224
1287,B. Wdowik,Hannover 96,Hannover 96,"LB, LWB",LB,1,24.0,3000000,2028-06-30,21,1704,Poland,Poland,left,184,72,yes,5.546495999999999,5.23,2.797184,0.687959,3.43,GER2,Testing,2025,0.1575490484220193,0.1743374297202095,0.1572268287244276
1288,R. Massimo,Greuther Fürth,Greuther Fürth,"LWB, LWF, RWB",LWB,1,24.0,800000,2026-06-30,28,1752,Germany,"Germany, Italy",right,183,82,no,7.347,4.32,2.259712,0.76875,2.6,GER2,Testing,2025,0.1401360643184375,0.1388624500646058,0.1305064908363947
1289,S. Asta,Greuther Fürth,Greuther Fürth,"RWB, RB",RWB,1,24.0,1800000,2025-06-30,27,1844,Germany,Germany,right,178,75,no,6.297960000000001,7.76,3.613862,0.489243,4.29,GER2,Testing,2025,0.3450099290152884,0.3590142075867304,0.345240192600249
1290,A. Gantenbein,Schalke 04,Schalke 04,"RB, RW",RB,1,24.0,1000000,2028-06-30,20,1081,Switzerland,Switzerland,right,183,78,no,8.326423,9.57,4.16321,0.9145080000000001,7.72,GER2,Testing,2025,0.6415511043474528,0.652806877180886,0.6434917924348774
1291,V. Lunddal Fridriksson,Fortuna Düsseldorf,Fortuna Düsseldorf,"RB, RWB",RB,1,23.0,1500000,2028-06-30,23,1401,Iceland,Iceland,right,191,82,no,6.939965000000001,7.58,3.402995,1.154092,4.96,GER2,Testing,2025,0.383519671834872,0.3949040428029317,0.3828287424808062
1292,B. Hein,Jahn Regensburg,Jahn Regensburg,"LWB, LCMF, LB",LWB,1,23.0,200000,2025-06-30,28,2236,Germany,"Germany, Nigeria",left,182,76,no,8.851929,7.25,3.177944,1.167862,4.45,GER2,Testing,2025,0.4146544504248963,0.4086848114123467,0.405521213740611
1293,O. Villadsen,Nürnberg,Nürnberg,"RWB, RB",RWB,1,23.0,3000000,2027-06-30,26,1772,Denmark,Denmark,right,173,67,no,7.314692,8.63,4.01122,0.458602,5.47,GER2,Testing,2025,0.4703324039637774,0.4811718477362514,0.470273410481314
1294,B. Allgeier,Ulm,Ulm,"RWB, RCB",RWB,1,23.0,300000,2025-06-30,24,1941,Germany,Germany,right,189,82,no,5.612736,7.33,3.616206,0.926614,4.83,GER2,Testing,2025,0.3428765955550328,0.3544767793052913,0.341869954931046
1295,M. John,Greuther Fürth,Greuther Fürth,"LWB, LB",LWB,1,23.0,1500000,2025-06-30,15,1259,Germany,Germany,left,184,73,no,8.150856,9.36,4.287912,0.5714,4.99,GER2,Testing,2025,0.513129173624698,0.5174988924164247,0.5102487641139603
1296,J. Thielmann,Köln,Köln,"RB, RWB",RB,1,22.0,5000000,2026-06-30,30,2279,Germany,Germany,right,178,72,no,7.624007000000001,7.74,3.04048,0.867355,6.14,GER2,Testing,2025,0.4599638130633609,0.4644750307893024,0.4565992814100578
1297,J. ter Horst,Preußen Münster,Preußen Münster,"RB, RWB",RB,1,22.0,275000,,27,2306,Germany,Germany,right,181,79,no,8.311997,10.46,4.251715000000001,2.730784,6.63,GER2,Testing,2025,0.668497847343818,0.6798274063028565,0.6707574242232992
1298,Guille Bueno,Darmstadt 98,Darmstadt 98,LB,LB,1,22.0,600000,2026-06-30,22,1431,Spain,Spain,left,176,72,yes,9.305923,8.43,4.277200000000001,0.62907,5.09,GER2,Testing,2025,0.5117268265171573,0.5168248219655959,0.5091997054092443
1299,D. Herold,Karlsruher SC,Karlsruher SC,"LB, LWB",LB,1,22.0,1200000,2026-06-30,33,2255,Germany,Germany,left,185,77,no,10.25856,9.1,4.58643,1.594567,4.94,GER2,Testing,2025,0.5853290134955094,0.5944405265078008,0.5855988115374969
1300,F. Di Michele Sánchez,Eintracht Braunschweig,Eintracht Braunschweig,"LWB, LB",LWB,1,22.0,225000,2026-06-30,28,1934,Germany,"Germany, Italy",left,180,83,no,6.656150999999999,7.77,3.068704,0.464678,6.12,GER2,Testing,2025,0.4201562950713377,0.4276679870741767,0.4178916657173847
1301,L. Günther,Karlsruher SC,Karlsruher SC,LB,LB,1,22.0,1200000,2026-06-30,20,1038,Germany,Germany,left,181,75,yes,7.456966000000001,7.28,3.03784,1.125,5.02,GER2,Testing,2025,0.3831758211573772,0.3854102353818115,0.3778585086177889
1302,W. Mikelbrencis,Hamburger SV,Hamburger SV,RB,RB,1,21.0,700000,2026-06-30,25,1811,France,France,right,176,64,no,7.05798,7.75,3.428709,0.497787,6.04,GER2,Testing,2025,0.4365231461950012,0.4503609788438143,0.4376256869535723
1303,A. Keller,Ulm,Ulm,LWB,LWB,1,21.0,800000,2026-06-30,27,2129,Switzerland,"Switzerland, Germany",right,181,77,yes,8.031851999999999,5.75,3.637725,0.253611,2.63,GER2,Testing,2025,0.2524133614831042,0.2594353412816857,0.2481482994562584
1304,A. Zehnter,Paderborn,Paderborn,"LWB, LB",LWB,1,20.0,1500000,,32,3073,Germany,Germany,left,180,70,no,4.304304,5.51,2.199747,0.410956,4.43,GER2,Testing,2025,0.1706379200138608,0.1766546667393879,0.1650103847240607
1305,B. Yılmaz,Nürnberg,Nürnberg,"LWB, LB",LWB,1,20.0,0,,24,1584,Germany,"Germany, Türkiye",left,180,75,yes,8.751086,7.05,3.40625,0.454788,4.47,GER2,Testing,2025,0.3896865814733133,0.3879893905393331,0.3824509639811751
1306,T. Janisch,Nürnberg,Nürnberg,"RWB, RB",RWB,1,19.0,0,,17,1176,Germany,Germany,right,171,65,no,10.025625,11.17,6.201359999999999,0.154278,6.04,GER2,Testing,2025,0.7311639789897818,0.7394052208172799,0.7325181598236512
1307,E. Baum,Elversberg,Elversberg,RB,RB,1,19.0,1000000,2028-06-30,33,3160,Germany,Germany,right,180,75,yes,9.142622,9.0,4.583319,0.65598,5.79,GER2,Testing,2025,0.5854835005399491,0.5913306518059477,0.5841056748919687
1308,T. Bulut,Schalke 04,Schalke 04,"RB, RCB",RB,1,19.0,0,2029-06-30,24,2163,Germany,"Germany, Türkiye",right,188,80,no,7.241156999999999,6.53,3.664738,0.831464,3.69,GER2,Testing,2025,0.3121507905537418,0.3181911005438521,0.3080140572702555
1309,V. Nikolaou,Panetolikos FC,Panetolikos FC,"LWB, LB, LCMF",LWB,1,20.0,0,2026-06-30,23,994,Greece,Greece,left,0,0,no,7.332876,7.61,4.343757999999999,1.084525,3.96,GRE,Testing,2025,0.3919789618212491,0.398089465962815,0.3887119462905436
1310,M. Mountes,Atromitos,Atromitos,RB,RB,1,21.0,0,2027-06-30,17,1113,Greece,Greece,unknown,0,0,no,9.054928,10.59,4.6892,0.8887999999999999,6.38,GRE,Testing,2025,0.6746060117049698,0.6778585239703613,0.6728486942696027
1311,A. Apostolopoulos,Panetolikos FC,Panetolikos FC,"LB, LWB",LB,1,22.0,0,2026-06-30,18,967,Greece,Greece,left,179,0,no,6.420006,7.82,3.444224,0.558966,5.54,GRE,Testing,2025,0.4021608503953815,0.4142388912853429,0.4020151925179506
1312,T. Tsapras,Levadiakos,Levadiakos,"RB, RWB",RB,1,23.0,0,2027-06-30,29,2656,Greece,Greece,right,186,80,no,6.336432000000001,9.49,3.55506,0.61125,7.27,GRE,Testing,2025,0.548751356502046,0.5524073096430174,0.5458826084193333
1313,G. Vagiannidis,Panathinaikos,Panathinaikos,RB,RB,1,23.0,0,2028-06-30,27,2447,Greece,Greece,right,182,68,no,10.702362,8.79,5.001385,0.92137,5.74,GRE,Testing,2025,0.6024950704643238,0.6142557163573186,0.6042826734272443
1314,V. Radonja,Lamia,Lamia,"RWB, RB",RWB,1,23.0,350000,2025-06-30,19,1377,Bosnia and Herzegovina,Bosnia and Herzegovina,right,182,73,yes,7.710376,9.87,4.053536,1.109889,6.12,GRE,Testing,2025,0.5823256266978966,0.5818537849370934,0.577722284098927
1315,N. Athanasiou,Atromitos,Atromitos,LB,LB,1,24.0,250000,2025-06-30,29,2496,Greece,Greece,left,177,73,no,8.002104000000001,8.58,3.784773999999999,1.046895,6.12,GRE,Testing,2025,0.5303194143311836,0.532563053067652,0.5265445040403178
1316,S. Pilios,AEK Athens,AEK Athens,LB,LB,1,24.0,700000,2027-06-30,17,1180,Greece,Greece,left,177,60,no,6.560194,5.87,2.82344,1.066988,5.53,GRE,Testing,2025,0.3263796593521409,0.3359502632376354,0.3241752203987132
1317,Costinha,Olympiacos Piraeus,Olympiacos Piraeus,RB,RB,1,25.0,0,2028-06-30,25,1602,Portugal,Portugal,right,181,76,no,12.698688,11.91,5.95242,2.471028,9.78,GRE,Testing,2025,0.9161982797373608,0.9486982337821281,0.9317422991543406
1318,M. Vichos,Levadiakos,Levadiakos,"LB, LWB",LB,1,25.0,400000,2027-06-30,30,2812,Greece,Greece,left,180,75,no,8.192426999999999,8.64,3.074156,1.888875,6.86,GRE,Testing,2025,0.5630913914281224,0.5655176516034085,0.5597512335927287
1319,F. Ortega,Olympiacos Piraeus,Olympiacos Piraeus,LB,LB,1,26.0,6000000,2028-06-30,24,2067,Argentina,Argentina,left,177,75,no,10.05918,8.49,5.222416000000001,1.349094,5.62,GRE,Testing,2025,0.5831429429822185,0.6037944594874838,0.5892201970744602
1320,Rubén García,Asteras Tripolis,Asteras Tripolis,RB,RB,1,26.0,200000,2025-06-30,20,1262,Spain,Spain,right,180,76,no,6.062661,7.56,4.0641,0.7847380000000002,3.8,GRE,Testing,2025,0.350398667223854,0.3552325159632657,0.3460521132094678
1321,N. Kainourgios,Athens Kallithea,Athens Kallithea,"LB, LWB, LCB",LB,1,26.0,0,,20,1677,Greece,Greece,left,187,84,no,8.961041999999999,7.62,4.081896,2.735299,3.81,GRE,Testing,2025,0.4579775920221225,0.4732795523303597,0.4600440593940781
1322,I. Chatzitheodoridis,OFI,OFI,LB,LB,1,27.0,350000,2026-06-30,27,2293,Greece,Greece,left,171,67,no,8.632224,5.65,2.980876,0.8244680000000001,3.61,GRE,Testing,2025,0.2903262721972735,0.2835983819078449,0.27951064121869
1323,H. Mendyl,Aris,Aris,LB,LB,1,27.0,1300000,2025-06-30,12,1131,Morocco,"Morocco, Côte d'Ivoire",left,179,73,no,7.004798999999999,7.72,3.260654,0.395865,5.88,GRE,Testing,2025,0.421517257122015,0.4308492275138778,0.4201865013788862
1324,L. Rota,AEK Athens,AEK Athens,RB,RB,1,27.0,2000000,2026-06-30,24,2033,Greece,"Greece, Albania",right,180,74,no,9.341491000000001,6.95,4.73792,1.594944,4.27,GRE,Testing,2025,0.4418930631840604,0.4540534077729465,0.4422042134798514
1325,G. Manthatis,Athens Kallithea,Athens Kallithea,"RWB, RB",RWB,1,28.0,300000,2025-06-30,28,1874,Bulgaria,"Bulgaria, Greece",right,174,75,no,9.458451,9.12,3.89181,1.63441,5.95,GRE,Testing,2025,0.6000048076231617,0.600791829730504,0.5962222333157363
1326,Joan Sastre,PAOK,PAOK,RB,RB,1,28.0,1500000,2026-06-30,18,1293,Spain,Spain,right,174,68,no,5.151984,4.8,1.601706,0.905385,5.06,GRE,Testing,2025,0.1921192967256793,0.1835939455867823,0.1793692192407267
1327,P. Silva,Gimnasia La Plata,Panetolikos FC,"LB, LWB",LB,1,28.0,500000,2025-06-30,16,1543,Argentina,"Argentina, Italy",left,174,63,no,7.349472,8.34,3.731242,0.935408,4.91,GRE,Testing,2025,0.4438006226642361,0.44224653783952,0.437202831286848
1328,Carles Soria,Lamia,Lamia,"RB, RWB",RB,1,28.0,600000,2025-06-30,14,1317,Spain,Spain,right,170,65,no,9.019058999999999,8.54,4.442763,0.615,4.74,GRE,Testing,2025,0.4944418756858393,0.5054763872978469,0.494733394342759
1329,P. Deligiannidis,Panserraikos,Panserraikos,"RB, RWB",RB,1,28.0,350000,2026-06-30,31,2577,Greece,Greece,right,180,77,no,6.950413,8.14,3.561105,0.662662,5.76,GRE,Testing,2025,0.4484308602911818,0.4502692517064249,0.4435954226283488
1330,M. Fares,Panserraikos,Panserraikos,"LB, LWB",LB,1,29.0,600000,2026-06-30,29,2497,France,"France, Algeria",left,183,72,yes,6.778485999999999,8.33,3.0296,1.08094,6.64,GRE,Testing,2025,0.4926425526912853,0.4914873690837124,0.4867567247604585
1331,Borja González,OFI,OFI,RB,RB,1,29.0,500000,2026-06-30,27,2471,Spain,Spain,right,176,72,no,6.740334000000001,8.12,3.203382,0.948228,6.6,GRE,Testing,2025,0.4821956171572834,0.4835217455507529,0.4774542338970789
1332,S. Ring,Lamia,Lamia,"LWB, LB, LW",LWB,1,30.0,300000,2025-06-30,34,2636,Sweden,Sweden,left,178,74,no,8.331037,8.4,4.266096000000001,1.1961,4.45,GRE,Testing,2025,0.4682261389549449,0.4766496474123813,0.466924542028458
1333,M. Gaćinović,AEK Athens,AEK Athens,"LB, LW",LB,1,30.0,3000000,2026-06-30,20,994,Serbia,"Serbia, Bosnia and Herzegovina",right,175,71,no,8.327988,6.7,3.52869,0.724724,5.56,GRE,Testing,2025,0.4091563988965027,0.4294033344287726,0.4132109811672262
1334,P. Soiri,Athens Kallithea,Athens Kallithea,"RB, RW, RWB",RB,1,30.0,300000,2026-06-30,32,2117,Finland,"Finland, Namibia",right,183,63,no,8.334506,6.5,3.02036,1.190102,4.39,GRE,Testing,2025,0.3480157792599461,0.3584726897404081,0.3464852357002589
1335,F. Álvarez,Asteras Tripolis,Asteras Tripolis,LB,LB,1,30.0,500000,2025-06-30,21,1614,Argentina,Argentina,left,183,75,no,6.912276,6.8,2.566457,2.11932,4.87,GRE,Testing,2025,0.3497586869723127,0.3649251522200325,0.3506257441464643
1336,D. Houhoumis,Asteras Tripolis,Asteras Tripolis,LB,LB,1,30.0,400000,2025-06-30,23,1828,Greece,Greece,left,183,76,no,6.498245,8.03,2.955564,1.576316,5.73,GRE,Testing,2025,0.439496302745038,0.4369935443612421,0.4323742346623839
1337,A. Baba,PAOK,PAOK,LB,LB,1,30.0,2000000,2026-06-30,29,2414,Ghana,Ghana,left,179,73,no,7.048337,8.13,3.619014,0.930825,7.44,GRE,Testing,2025,0.532036254953419,0.5500980003214312,0.5362709945389526
1338,G. Migas,Volos NFC,Volos NFC,"RB, RWB, LB",RB,1,31.0,300000,2025-06-30,30,2482,Greece,Greece,right,185,86,no,7.216164,7.47,3.153254,1.4144,5.29,GRE,Testing,2025,0.403761020562834,0.4110947120497446,0.40123512005778
1339,Jonny Otto,PAOK,PAOK,"RB, LB",RB,1,31.0,5000000,2025-06-30,22,1857,Spain,Spain,both,175,70,no,9.884340000000002,10.03,5.185560000000001,1.31,7.18,GRE,Testing,2025,0.7246520894254812,0.7298255904840507,0.7243883166942809
1340,C. Mavrias,Panetolikos FC,Panetolikos FC,"RB, RWB",RB,1,31.0,350000,2025-06-30,31,2544,Greece,Greece,right,178,77,no,6.542788000000001,6.65,2.760582,0.706596,4.45,GRE,Testing,2025,0.291359100956207,0.3040240650764459,0.2903520245604437
1341,V. Vitlis,Lamia,Lamia,"LB, LCB, LWB",LB,1,31.0,200000,2025-06-30,17,1143,Greece,Greece,,180,72,no,8.268458,9.45,3.779272,1.96803,5.14,GRE,Testing,2025,0.5404257308658128,0.5384754801086115,0.5346375787298715
1342,M. Odubajo,AEK Athens,AEK Athens,RB,RB,1,31.0,700000,2026-06-30,16,1029,England,"England, Nigeria",right,177,72,no,9.18459,6.91,4.546548,1.048113,4.62,GRE,Testing,2025,0.4167087125981157,0.4603430714966478,0.4326581394516177
1343,N. Alho,Asteras Tripolis,Asteras Tripolis,RB,RB,1,32.0,400000,2026-06-30,20,1506,Finland,"Finland, England",right,172,74,no,5.557580000000001,7.17,2.927750000000001,1.134661,5.15,GRE,Testing,2025,0.3320229399458124,0.3377551922174182,0.3279382443897628
1344,F. Ferrari,Volos NFC,Volos NFC,"LB, LW",LB,1,33.0,500000,2025-06-30,30,2615,Argentina,"Argentina, Italy",left,167,67,no,9.533088000000001,11.77,5.400935,0.552112,6.96,GRE,Testing,2025,0.7601692382606039,0.7593682836897496,0.7572581955610179
1345,M. Frýdek,Aris,Aris,LB,LB,1,33.0,400000,2026-06-30,14,1129,Czech Republic,Czech Republic,left,179,74,no,6.298764,7.17,3.3495,1.194183,5.27,GRE,Testing,2025,0.3733320332201168,0.3836338558702171,0.3719877059156335
1346,Rodinei,Olympiacos Piraeus,Olympiacos Piraeus,"RB, RAMF",RB,1,33.0,1500000,2027-06-30,29,2545,Brazil,Brazil,right,175,70,no,9.335414,6.15,3.325779,0.991695,4.83,GRE,Testing,2025,0.3727299949211421,0.395362548793854,0.3776091734481736
1347,P. Kassos,Levadiakos U19,Levadiakos,"RWB, RB",RWB,1,33.0,200000,,19,1138,Greece,Greece,right,180,75,no,10.202771,9.02,3.877125,4.112176,6.57,GRE,Testing,2025,0.698147339434012,0.7034502870452445,0.6976719753046241
1348,F. Mladenović,Panathinaikos,Panathinaikos,LB,LB,1,33.0,0,,28,2467,Serbia,Serbia,left,180,72,no,5.76688,5.91,2.8809,0.6549299999999999,4.66,GRE,Testing,2025,0.2637875809307255,0.2741537347469213,0.2613309479051146
1349,Hugo Mallo,Aris,Aris,RB,RB,1,33.0,1500000,2026-06-30,19,1714,Spain,Spain,right,174,69,no,6.931362,8.19,3.781684,1.36617,6.12,GRE,Testing,2025,0.4906687990648995,0.493521045809071,0.4867869994267159
1350,Martín Montoya,Aris,Aris,RB,RB,1,34.0,800000,2025-06-30,21,1468,Spain,Spain,right,175,73,no,6.682802000000001,8.58,4.288836,0.798031,5.93,GRE,Testing,2025,0.4802038315837939,0.5012880068408384,0.485423898281838
1351,M. Bakakis,Panetolikos FC,Panetolikos FC,"RB, RWB",RB,1,34.0,175000,2025-06-30,25,1341,Greece,Greece,right,175,65,no,6.97935,7.18,3.35625,1.477942,4.44,GRE,Testing,2025,0.3545815096186098,0.3626357510264813,0.3519056927854097
1352,D. Sundgren,Volos NFC,Volos NFC,"RB, LB, LCB",RB,1,34.0,300000,2025-06-30,25,2051,Sweden,Sweden,right,178,69,no,5.881932000000001,6.41,3.071022000000001,0.963133,4.47,GRE,Testing,2025,0.2861108689628492,0.2984129932571334,0.2848656294247838
1353,E. Hajisafi,AEK Athens,AEK Athens,LB,LB,1,35.0,600000,2025-06-30,15,1111,Iran,Iran,left,178,81,no,5.99265,7.78,3.564743,0.56875,8.43,GRE,Testing,2025,0.467120466441067,0.5202777712380263,0.4884079606764394
1354,Quini,Atromitos,Atromitos,"RB, LB",RB,1,35.0,350000,2026-06-30,27,2613,Spain,Spain,right,178,74,no,8.715907999999999,10.61,5.372639999999999,0.965,6.46,GRE,Testing,2025,0.6855931152598909,0.6960969241612153,0.6876141584608659
1355,Ivo Pinto,Fortuna Sittard,Fortuna Sittard,RB,RB,1,35.0,450000,2026-06-30,31,2670,Portugal,Portugal,right,182,75,no,6.404475,7.79,4.1124,0.5703360000000001,3.92,HOL,Testing,2025,0.3590919023284741,0.364036466963689,0.354892134484353
1356,P. van Aanholt,Sparta Rotterdam,Sparta Rotterdam,LB,LB,1,34.0,2000000,2025-06-30,21,1845,Netherlands,"Netherlands, Curaçao",left,176,74,no,4.927825,7.56,3.268386,0.242298,4.61,HOL,Testing,2025,0.3241996483074085,0.3277466827223768,0.3189291671334066
1357,L. Bacuna,Groningen,Groningen,"RB, RDMF",RB,1,33.0,400000,2025-06-30,31,2510,Netherlands,"Netherlands, Curaçao",right,180,77,no,6.59712,7.21,2.72272,1.149888,5.17,HOL,Testing,2025,0.3556440575902141,0.3574570611530819,0.3498261137168744
1358,M. Dijks,Fortuna Sittard,Fortuna Sittard,LB,LB,1,32.0,850000,2026-06-30,25,1809,Netherlands,Netherlands,left,194,90,no,8.256489,7.51,4.325724,0.495873,3.68,HOL,Testing,2025,0.4065179817102059,0.4113139969746845,0.4027387949024423
1359,M. Tirpan,Willem II,Willem II,"RB, RCB",RB,1,31.0,500000,2026-06-30,24,2105,Belgium,"Belgium, Türkiye",right,177,74,no,9.622071,9.41,5.087712,1.32556,4.57,HOL,Testing,2025,0.5871701856089205,0.5958586457369944,0.5872454880166008
