Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
24,F. Jainikoski,Argentinos Juniors Res.,Argentinos Juniors,"LWF, LW, LAMF",LWF,11,18,0,,17,764,Argentina,Argentina,,0,0,no,5.418613999999999,2.71,2.355314,0.59,2.12,0.16,0.588936,5.556,0.08,0.71,0.59,0.71,0.35,ARG1,Testing,2026,0.3190159940921026,0.3192909413590974,0.3191534677255999
25,T. Aranda,Boca Juniors,Boca Juniors,"LW, RW, LWF",LW,10,19,0,2029-12-31,14,853,Argentina,Argentina,,0,0,no,6.227247999999999,2.95,2.956448,0.32,2.0,0.12,0.4221799999999999,5.556,0.19,1.16,1.48,0.84,0.74,ARG1,Testing,2026,0.3702823251173153,0.3695139565529705,0.3698981408351429
26,T. Andrada,Vélez Sarsfield,Vélez Sarsfield,"RAMF, RDMF",RAMF,10,19,0,2029-12-31,16,1561,Argentina,Argentina,right,179,0,no,2.710564,0.98,0.6922499999999999,0.4,0.81,0.1,0.2875,6.25,0.05,0.69,0.52,0.46,0.46,ARG1,Testing,2026,0.184515588031688,0.1798213958290536,0.1821684919303708
27,I. Subiabre,River Plate,River Plate,"LAMF, LW, RAMF",LAMF,10,19,0,2028-12-31,17,857,Argentina,"Argentina, Chile",left,171,61,no,4.935231,3.68,3.255168,0.53,2.0,0.21,0.736593,4.762,0.13,1.16,0.84,0.63,0.74,ARG1,Testing,2026,0.4481355662638875,0.4205348498370814,0.4343352080504844
28,S. López,Tigre,Tigre,"LAMF, CF, LW",LAMF,10,20,0,2026-12-31,15,974,Argentina,Argentina,right,170,60,yes,5.358839,2.59,2.957437,0.74,1.76,0.15,0.4625,0.0,0.21,1.66,0.18,0.65,0.37,ARG1,Testing,2026,0.3625348729014186,0.3304708674914004,0.3465028701964095
29,F. Perez,Estudiantes,Estudiantes,"LW, RAMF, AMF",LW,10,20,0,2027-12-31,15,883,Argentina,Argentina,right,180,0,no,3.56631,2.75,2.346,0.82,2.75,0.23,0.713125,18.75,0.11,1.12,0.51,1.12,0.51,ARG1,Testing,2026,0.5025949719751731,0.4944968350172247,0.4985459034961989
30,Diego Barrera,Central Córdoba SdE,Central Córdoba SdE,"LW, LB",LW,10,21,0,2027-12-31,15,1115,Argentina,Argentina,right,171,70,yes,4.278906,1.94,1.9383,0.81,2.18,0.07,0.564375,18.75,0.07,0.57,0.08,0.89,0.16,ARG1,Testing,2026,0.3652451800582904,0.3310890602528816,0.348167120155586
31,S. Salle,Sarmiento,Sarmiento,"LW, RW, LAMF",LW,10,22,0,2027-12-31,15,926,Argentina,Argentina,right,185,0,yes,4.957511999999999,1.56,2.04,0.78,1.26,0.05,0.291448,0.0,0.13,1.17,0.97,0.58,0.78,ARG1,Testing,2026,0.2607212180074708,0.252979830921244,0.2568505244643574
32,J. Gauto,Platense,Platense,"LAMF, LW",LAMF,10,22,2500000,2028-06-30,16,1078,Argentina,Argentina,right,172,64,yes,2.17056,2.67,1.670504,0.75,3.17,0.13,0.418232,0.0,0.09,1.09,1.17,1.0,0.33,ARG1,Testing,2026,0.2826337482070226,0.2770678895322249,0.2798508188696237
33,M. Abaldo,Independiente,Independiente,"LW, LWF, LAMF",LW,10,22,0,2027-12-31,16,1453,Uruguay,"Uruguay, Germany",right,172,60,yes,2.97445,2.97,2.23012,0.25,1.86,0.13,0.927852,18.519,0.05,0.81,0.74,0.56,0.19,ARG1,Testing,2026,0.4387816680364486,0.4071309306937544,0.4229562993651015
34,A. Luna,Instituto,Instituto,"LWF, LW",LWF,11,22,0,2029-12-31,15,1319,Argentina,Argentina,right,174,71,no,7.299477,2.52,2.99985,0.61,1.5,0.36,1.092,12.5,0.07,0.55,0.96,0.48,0.07,ARG1,Testing,2026,0.3944212905719719,0.4309646695000094,0.4126929800359906
35,J. Fernández,Rosario Central,Rosario Central,"RAMF, LW, LAMF",RAMF,10,22,0,2027-12-31,11,773,Argentina,Argentina,left,183,73,yes,5.820222,2.68,2.675426,0.58,2.56,0.08,0.23338,8.333,0.22,1.28,1.63,0.93,0.82,ARG1,Testing,2026,0.4539930845370503,0.4065256148200415,0.4302593496785458
36,Ó. Cortés,Huracán,Huracán,"LAMF, LW",LAMF,10,22,0,2029-06-30,16,1172,Colombia,Colombia,right,178,76,yes,3.992328,2.23,2.381379,0.69,1.69,0.08,0.462299,5.882,0.16,1.08,0.46,0.77,0.61,ARG1,Testing,2026,0.3171765908525925,0.3049823744372299,0.3110794826449112
37,L. Gómez,Banfield Res.,Banfield,"RW, LW, LCMF",RW,10,22,0,,16,759,Argentina,Argentina,left,166,63,no,4.1492,2.02,1.540149,0.0,0.95,0.08,0.356631,33.333,0.06,0.71,0.83,0.36,0.71,ARG1,Testing,2026,0.3990238249055613,0.3800263819089799,0.3895251034072705
38,J. Contrera,Sarmiento,Sarmiento,"RW, RAMF, RWF",RW,10,23,0,2027-12-31,15,976,Argentina,Argentina,right,0,0,yes,4.148753,2.4,1.935,0.18,2.12,0.05,0.46152,0.0,0.18,1.11,0.74,1.57,0.37,ARG1,Testing,2026,0.3375270405591605,0.3185675504315696,0.328047295495365
39,A. Palavecino,Aldosivi,Aldosivi,"LAMF, RW, LW",LAMF,10,23,0,2027-12-31,15,989,Argentina,Argentina,right,185,77,no,3.732555,2.0,1.363308,0.64,1.82,0.11,0.2727,0.0,0.07,0.36,0.27,1.18,0.18,ARG1,Testing,2026,0.212272265359215,0.2128849288876597,0.2125785971234373
40,W. Nunez,Newell's Old Boys,Newell's Old Boys,"LW, LAMF, LWF",LW,10,23,0,2027-12-31,15,821,Argentina,Argentina,right,177,0,yes,6.685913999999999,2.3,3.398508,0.22,1.1,0.19,0.656601,5.556,0.09,0.66,1.1,0.44,0.44,ARG1,Testing,2026,0.3104437236301279,0.3071255236386051,0.3087846236343665
41,M. Panaro,Gimnasia La Plata,Gimnasia La Plata,"LW, LAMF",LW,10,23,0,2027-12-31,16,889,Argentina,Argentina,right,181,73,no,4.149616,2.63,1.721412,0.61,1.82,0.18,0.606988,5.882,0.09,0.51,0.51,0.3,0.2,ARG1,Testing,2026,0.2823557905122522,0.2789488605690311,0.2806523255406416
