Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Passes criativos (p90),xT Passes no último terço (p90),xT Passes para último terço (p90),xT Passes (p90),xT Cruzamentos (p90)
BRA1,2024,398130.0,Matheuzinho,Corinthians,2549.0,DR,Lateral,Lateral,-0.0413624418408556,-0.2551044130323474,-0.6308508134102931,-0.4328757756233281,-0.6870073994218173
BRA1,2024,403654.0,Ewerthon,Juventude,1352.0,DR,Lateral,Lateral,-1.0674529956210472,-1.493322666001501,-1.135445773445921,-1.783104935587341,-1.350147841299616
BRA1,2024,404979.0,Lucas Esquivel,Athletico Paranaense,3007.0,DL,Lateral,Lateral,1.6068565864164823,0.8557107468312579,1.8829446179972813,1.7664073483765856,1.7547094344190997
BRA1,2024,406718.0,Vanderlan,Palmeiras,1244.0,DL,Lateral,Lateral,-1.3943487997907087,-0.5939760677305462,-1.390661914521927,-1.5489291038013917,0.0327281481063236
BRA1,2024,414213.0,Eros Mancuso,Fortaleza,1007.0,DL,Lateral,Lateral,0.4660142271656982,-1.2604495562029483,-0.4683031624961768,-0.8268024111066704,-1.4197725633625795
BRA1,2024,416790.0,Paulo Henrique,Vasco da Gama,2781.0,DR,Lateral,Lateral,-0.4081459325905829,-0.6202650710830898,-0.7047652608497731,-0.5739833236333325,-0.0547715798818218
BRA1,2024,417929.0,Bruno Tubarão,Atletico GO,1786.0,DR,Lateral,Lateral,0.007156194290185,0.0222768020096754,0.0335676031696987,0.0269661321050985,0.3203789844131985
BRA1,2024,418751.0,Andrés Hurtado,Red Bull Bragantino,1483.0,DR,Lateral,Lateral,-0.3035711164752117,1.1728674680847455,-0.4493701658105559,0.2259918328562429,1.5805710434065006
BRA1,2024,418965.0,Matheus Alexandre,Cuiaba,2843.0,DR,Lateral,Lateral,-1.1888399548214412,-1.410192410100302,-0.8079018887073918,-0.9960854318600688,-0.8006458824587553
BRA1,2024,422035.0,Joaquín Piquerez,Palmeiras,1460.0,DL,Lateral,Lateral,0.5002893961915706,1.0668980090897666,0.6077364435610653,0.6445002008172172,1.6153516924031217
BRA1,2024,429481.0,Wesley,Flamengo,2624.0,DR,Lateral,Lateral,0.121148430965076,1.8546458160823167,-0.5660196136930313,0.7255272941857449,0.5769911908061788
BRA1,2024,436560.0,Hugo,Corinthians,2061.0,DL,Lateral,Lateral,-0.8802932383961218,-1.316736267761491,-0.3234830689174175,-1.0787048123720808,-1.6719563998492348
