Unnamed: 0,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Acelerações_LM,Passes_Longos_Recebidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_Chave_LM,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,Passes_Longos_Recebidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_Chave_Rank,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,Passes_Longos_Recebidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_Chave_Percentil
1030,0.230559,0.333801,0.230539,0.039801,0.357631,0.25,0.220681,0.06522,0.21875,0.282051,0.141946,0.113314,0.171123,0.290024,Y. Gladyshev,Dinamo Moskva,Dinamo Moskva,"RAMF, RW, RWF",RAMF,10,23,1800000,2030-06-30,22,1116,Russia,Russia,left,181,74,no,RUS,Testing,2026,Extremo Agudo,0.29,22,27,18,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,18,15.0,14.0,24.0,9.0,16.5,20.0,25.0,10.5,9.5,19.0,24.0,22.0,33,44,48,11,66,38,25,7,61,64,29,11,18
1023,0.493356,0.338008,0.360412,0.243781,0.323462,0.191176,0.130491,0.03846,0.234375,0.312354,0.188198,0.150142,0.219251,0.281295,L. Sadulaev,Akhmat Grozny,Akhmat Grozny,"LAMF, LW, RAMF",LAMF,10,26,2500000,2028-06-30,28,2214,Russia,Russia,left,179,65,no,RUS,Testing,2026,Extremo Agudo,0.281,23,27,14,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,2,14.0,6.0,3.0,11.0,20.5,24.0,26.0,8.0,7.0,12.5,18.5,14.0,92,48,77,88,59,24,11,3,70,74,53,31,48
1024,0.18504,0.245442,0.109346,0.094527,0.100228,0.205882,0.106692,0.111104,0.1875,0.270396,0.133971,0.15864,0.197861,0.23957,N. Titkov,Baltika,Baltika,"RWF, RCMF, LCMF",RWF,11,25,200000,2028-06-30,28,1932,Russia,Russia,right,177,67,no,RUS,Testing,2026,Extremo Agudo,0.24,24,27,11,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,22,20.5,24.0,19.0,27.0,18.5,25.0,21.0,14.0,12.0,20.0,17.0,18.0,18,24,11,29,0,31,7,22,48,55,25,37,33
1012,0.183807,0.154278,0.172041,0.144279,0.455581,0.014706,0.045721,0.0,0.171875,0.268065,0.183413,0.382436,0.203209,0.233501,R. Ezhov,Sochi,Sochi,"RW, RAMF, RWF",RW,10,28,0,2028-06-30,18,952,Russia,Russia,left,181,74,no,RUS,Testing,2026,Extremo Agudo,0.234,25,27,7,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,23,25.0,17.0,8.0,4.5,27.0,27.0,27.0,16.5,13.0,14.0,3.0,16.0,14,7,37,70,83,0,0,0,38,51,48,88,40
1014,0.154682,0.119215,0.097214,0.029851,0.154897,0.058824,0.083537,0.136364,0.21875,0.314685,0.127592,0.087819,0.229947,0.21131,I. Akhmetov,Krylya Sovetov,Krylya Sovetov,"LWF, LCMF, AMF",LWF,11,28,2500000,2027-06-30,23,1470,Kyrgyzstan,"Kyrgyzstan, Russia",right,173,67,yes,RUS,Testing,2026,Extremo Agudo,0.211,26,27,3,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,25,27.0,25.0,25.0,25.0,26.0,26.0,20.0,10.5,6.0,21.5,25.0,12.5,7,0,7,7,7,3,3,25,61,77,20,7,53
1028,0.174487,0.255259,0.197432,0.074627,0.205011,0.147059,0.166105,0.100004,0.078125,0.102564,0.08134,0.124646,0.15508,0.19474,R. Bezrukov,Rubin Kazan',Rubin Kazan',"RWF, LWF, LB",RWF,11,24,900000,2029-06-30,24,1234,Russia,Russia,right,175,65,no,RUS,Testing,2026,Extremo Agudo,0.195,27,27,0,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,24,19.0,15.0,21.0,23.0,24.0,21.0,23.0,26.0,26.0,27.0,22.5,23.0,11,29,44,22,14,11,22,14,3,3,0,16,14
1068,0.534991,0.625526,0.487314,0.238806,0.482916,0.794118,0.716397,0.267329,0.359375,0.440559,0.311005,0.280453,0.411765,0.748759,Y. Carrasco,Al Shabab,Al Shabab,"LW, LAMF, CF",LW,10,32,14000000,2027-06-30,29,2810,Belgium,"Belgium, Spain",right,181,72,no,SAUD,Testing,2026,Extremo Agudo,0.749,1,40,97,0.305582,0.367006,0.289205,0.180473,0.452392,0.264706,0.303618,0.170483,0.239062,0.256294,0.200997,0.224575,0.308957,1,4.0,3.0,12.0,14.0,1.0,1.0,7.0,9.5,5.0,9.0,11.0,11.0,97,90,92,70,65,97,97,82,76,87,77,72,72
1074,0.375474,0.746143,0.376984,0.094527,0.33713,0.544118,0.515352,0.241934,0.34375,0.389277,0.409888,0.243626,0.647059,0.732307,S. Mané,Al Nassr,Al Nassr,"LW, LAMF, CF",LW,10,34,15000000,2027-06-30,25,2312,Senegal,Senegal,right,174,69,no,SAUD,Testing,2026,Extremo Agudo,0.732,2,40,95,0.305582,0.367006,0.289205,0.180473,0.452392,0.264706,0.303618,0.170483,0.239062,0.256294,0.200997,0.224575,0.308957,13,1.0,12.0,30.0,31.0,4.0,3.0,8.0,13.0,7.0,4.0,17.0,1.0,67,97,70,25,22,90,92,80,67,82,90,57,97
1072,0.312142,0.657784,0.273859,0.323383,0.448747,0.676471,0.398089,0.235289,0.359375,0.384615,0.430622,0.331445,0.417112,0.7183,Salem Al Dawsari,Al Hilal,Al Hilal,"LW, LWF",LW,10,34,2000000,2027-06-30,26,2070,Saudi Arabia,Saudi Arabia,right,173,71,no,SAUD,Testing,2026,Extremo Agudo,0.718,3,40,92,0.305582,0.367006,0.289205,0.180473,0.452392,0.264706,0.303618,0.170483,0.239062,0.256294,0.200997,0.224575,0.308957,18,3.0,20.0,6.0,20.0,2.0,10.0,9.0,9.5,8.0,3.0,7.0,10.0,55,92,50,85,50,95,75,77,76,80,92,82,75
1061,0.431543,0.729313,0.43696,0.19403,0.530752,0.558824,0.4571,0.187499,0.390625,0.412587,0.333333,0.345609,0.518717,0.706982,K. Coman,Al Nassr,Al Nassr,"RW, RAMF",RW,10,30,50000000,2028-06-30,30,2795,France,"France, Guadeloupe",right,181,75,no,SAUD,Testing,2026,Extremo Agudo,0.707,4,40,90,0.305582,0.367006,0.289205,0.180473,0.452392,0.264706,0.303618,0.170483,0.239062,0.256294,0.200997,0.224575,0.308957,8,2.0,9.0,16.0,9.0,3.0,5.0,16.0,6.0,6.0,6.0,5.0,5.0,80,95,77,60,77,92,87,60,85,85,85,87,87
